date,weightclass,fighter,rank
2015-01-26,Women's Strawweight,Claudia Gadelha,2
2015-01-26,Women's Strawweight,Jessica Penne,3
2015-01-26,Women's Strawweight,Rose Namajunas,4
2015-01-26,Women's Strawweight,Tecia Torres,5
2015-01-26,Women's Strawweight,Joanne Calderwood,6
2015-01-26,Women's Strawweight,Randa Markos,7
2015-01-26,Women's Strawweight,Felice Herrig,8
2015-01-26,Women's Strawweight,Aisling Daly,9
2015-01-26,Women's Strawweight,Paige VanZant,10
2015-01-26,Women's Strawweight,Heather Clark,11
2015-01-26,Women's Strawweight,Juliana Lima,12
2015-01-26,Women's Strawweight,Angela Hill,13
2015-01-26,Women's Strawweight,Seohee Ham,14
2015-01-26,Women's Strawweight,Bec Rawlings,15
2015-01-26,Women's Bantamweight,Ronda Rousey,0
2015-01-26,Women's Bantamweight,Cat Zingano,1
2015-01-26,Women's Bantamweight,Miesha Tate,2
2015-01-26,Women's Bantamweight,Sara McMann,3
2015-01-26,Women's Bantamweight,Alexis Davis,4
2015-01-26,Women's Bantamweight,Sarah Kaufman,5
2015-01-26,Women's Bantamweight,Jessica Eye,6
2015-01-26,Women's Bantamweight,Liz Carmouche,7
2015-01-26,Women's Bantamweight,Bethe Correia,8
2015-01-26,Women's Bantamweight,Amanda Nunes,9
2015-01-26,Women's Bantamweight,Jessica Andrade,10
2015-01-26,Women's Bantamweight,Julianna Pena,11
2015-01-26,Women's Bantamweight,Raquel Pennington,12
2015-01-26,Women's Bantamweight,Holly Holm,13
2015-01-26,Women's Bantamweight,Germaine de Randamie,14
2015-01-26,Women's Bantamweight,Leslie Smith,15
2015-02-02,Pound-for-Pound,Jon Jones,1
2015-02-02,Pound-for-Pound,Jose Aldo,2
2015-02-02,Pound-for-Pound,Demetrious Johnson,3
2015-02-02,Pound-for-Pound,Chris Weidman,4
2015-02-02,Pound-for-Pound,Anthony Pettis,5
2015-02-02,Pound-for-Pound,Cain Velasquez,6
2015-02-02,Pound-for-Pound,Ronda Rousey,7
2015-02-02,Pound-for-Pound,Anderson Silva,8
2015-02-02,Pound-for-Pound,TJ Dillashaw,9
2015-02-02,Pound-for-Pound,Robbie Lawler,10
2015-02-02,Pound-for-Pound,Renan Barao,11
2015-02-02,Pound-for-Pound,Johny Hendricks,12
2015-02-02,Pound-for-Pound,Vitor Belfort,13
2015-02-02,Pound-for-Pound,Dominick Cruz,14
2015-02-02,Pound-for-Pound,Fabricio Werdum,15
2015-02-02,Flyweight,Demetrious Johnson,0
2015-02-02,Flyweight,John Dodson,1
2015-02-02,Flyweight,Joseph Benavidez,2
2015-02-02,Flyweight,Ian McCall,3
2015-02-02,Flyweight,John Moraga,4
2015-02-02,Flyweight,Jussier Formiga,5
2015-02-02,Flyweight,Ali Bagautinov,6
2015-02-02,Flyweight,John Lineker,7
2015-02-02,Flyweight,Kyoji Horiguchi,8
2015-02-02,Flyweight,Chris Cariaso,9
2015-02-02,Flyweight,Zach Makovsky,10
2015-02-02,Flyweight,Tim Elliott,11
2015-02-02,Flyweight,Dustin Ortiz,12
2015-02-02,Flyweight,Brad Pickett,13
2015-02-02,Flyweight,Wilson Reis,14
2015-02-02,Flyweight,Chico Camus,15
2015-02-02,Bantamweight,TJ Dillashaw,0
2015-02-02,Bantamweight,Renan Barao,1
2015-02-02,Bantamweight,Dominick Cruz,2
2015-02-02,Bantamweight,Urijah Faber,3
2015-02-02,Bantamweight,Raphael Assuncao,4
2015-02-02,Bantamweight,Michael McDonald,5
2015-02-02,Bantamweight,Eddie Wineland,6
2015-02-02,Bantamweight,Takeya Mizugaki,7
2015-02-02,Bantamweight,Iuri Alcantara,8
2015-02-02,Bantamweight,Johnny Eduardo,9
2015-02-02,Bantamweight,Bryan Caraway,10
2015-02-02,Bantamweight,Francisco Rivera,11
2015-02-02,Bantamweight,Erik Perez,12
2015-02-02,Bantamweight,Alex Caceres,13
2015-02-02,Bantamweight,Mitch Gagnon,14
2015-02-02,Bantamweight,Joe Soto,15
2015-02-02,Featherweight,Jose Aldo,0
2015-02-02,Featherweight,Frankie Edgar,1
2015-02-02,Featherweight,Chad Mendes,2
2015-02-02,Featherweight,Conor McGregor,3
2015-02-02,Featherweight,Ricardo Lamas,4
2015-02-02,Featherweight,Cub Swanson,5
2015-02-02,Featherweight,Dennis Bermudez,6
2015-02-02,Featherweight,Dustin Poirier,7
2015-02-02,Featherweight,Nik Lentz,8
2015-02-02,Featherweight,Charles Oliveira,9
2015-02-02,Featherweight,Jeremy Stephens,10
2015-02-02,Featherweight,Clay Guida,11
2015-02-02,Featherweight,Dennis Siver,12
2015-02-02,Featherweight,Max Holloway,13
2015-02-02,Featherweight,Darren Elkins,14
2015-02-02,Featherweight,Hacran Dias,15
2015-02-02,Lightweight,Anthony Pettis,0
2015-02-02,Lightweight,Rafael Dos Anjos,1
2015-02-02,Lightweight,Khabib Nurmagomedov,2
2015-02-02,Lightweight,Donald Cerrone,3
2015-02-02,Lightweight,Gilbert Melendez,4
2015-02-02,Lightweight,Benson Henderson,5
2015-02-02,Lightweight,Edson Barboza,6
2015-02-02,Lightweight,Josh Thomson,7
2015-02-02,Lightweight,Myles Jury,8
2015-02-02,Lightweight,Bobby Green,9
2015-02-02,Lightweight,Eddie Alvarez,10
2015-02-02,Lightweight,Jim Miller,11
2015-02-02,Lightweight,Michael Johnson,12
2015-02-02,Lightweight,Jorge Masvidal,13
2015-02-02,Lightweight,Rustam Khabilov,14
2015-02-02,Lightweight,Al Iaquinta,15
2015-02-02,Welterweight,Robbie Lawler,0
2015-02-02,Welterweight,Johny Hendricks,1
2015-02-02,Welterweight,Rory MacDonald,2
2015-02-02,Welterweight,Tyron Woodley,3
2015-02-02,Welterweight,Carlos Condit,4
2015-02-02,Welterweight,Hector Lombard,5
2015-02-02,Welterweight,Matt Brown,6
2015-02-02,Welterweight,Demian Maia,7
2015-02-02,Welterweight,Tarec Saffiedine,8
2015-02-02,Welterweight,Dong Hyun Kim,9
2015-02-02,Welterweight,Kelvin Gastelum,10
2015-02-02,Welterweight,Jake Ellenberger,11
2015-02-02,Welterweight,Rick Story,12
2015-02-02,Welterweight,Thiago Alves,13
2015-02-02,Welterweight,Gunnar Nelson,14
2015-02-02,Welterweight,Ryan LaFlare,15
2015-02-02,Middleweight,Chris Weidman,0
2015-02-02,Middleweight,Anderson Silva,1
2015-02-02,Middleweight,Ronaldo Souza,2
2015-02-02,Middleweight,Lyoto Machida,3
2015-02-02,Middleweight,Vitor Belfort,4
2015-02-02,Middleweight,Luke Rockhold,5
2015-02-02,Middleweight,Yoel Romero,6
2015-02-02,Middleweight,Gegard Mousasi,7
2015-02-02,Middleweight,Tim Kennedy,8
2015-02-02,Middleweight,Michael Bisping,9
2015-02-02,Middleweight,Thales Leites,10
2015-02-02,Middleweight,CB Dollaway,11
2015-02-02,Middleweight,Costas Philippou,12
2015-02-02,Middleweight,Mark Munoz,13
2015-02-02,Middleweight,Tim Boetsch,14
2015-02-02,Middleweight,Brad Tavares,15
2015-02-02,Light Heavyweight,Jon Jones,0
2015-02-02,Light Heavyweight,Anthony Johnson,1
2015-02-02,Light Heavyweight,Alexander Gustafsson,2
2015-02-02,Light Heavyweight,Daniel Cormier,3
2015-02-02,Light Heavyweight,Rashad Evans,4
2015-02-02,Light Heavyweight,Ryan Bader,5
2015-02-02,Light Heavyweight,Glover Teixeira,6
2015-02-02,Light Heavyweight,Phil Davis,7
2015-02-02,Light Heavyweight,Ovince Saint Preux,8
2015-02-02,Light Heavyweight,Jimi Manuwa,9
2015-02-02,Light Heavyweight,Mauricio Rua,10
2015-02-02,Light Heavyweight,Rafael Cavalcante,11
2015-02-02,Light Heavyweight,Fabio Maldonado,12
2015-02-02,Light Heavyweight,Rogerio Nogueira,13
2015-02-02,Light Heavyweight,Patrick Cummins,14
2015-02-02,Light Heavyweight,Dan Henderson,15
2015-02-02,Heavyweight,Cain Velasquez,0
2015-02-02,Heavyweight,Fabricio Werdum,1
2015-02-02,Heavyweight,Junior Dos Santos,2
2015-02-02,Heavyweight,Travis Browne,3
2015-02-02,Heavyweight,Stipe Miocic,4
2015-02-02,Heavyweight,Mark Hunt,5
2015-02-02,Heavyweight,Josh Barnett,6
2015-02-02,Heavyweight,Andrei Arlovski,7
2015-02-02,Heavyweight,Antonio Silva,8
2015-02-02,Heavyweight,Roy Nelson,9
2015-02-02,Heavyweight,Ben Rothwell,10
2015-02-02,Heavyweight,Alistair Overeem,11
2015-02-02,Heavyweight,Matt Mitrione,12
2015-02-02,Heavyweight,Frank Mir,13
2015-02-02,Heavyweight,Gabriel Gonzaga,14
2015-02-02,Heavyweight,Stefan Struve,15
2015-02-02,Women's Strawweight,Carla Esparza,0
2015-02-02,Women's Strawweight,Joanna Jedrzejczyk,1
2015-02-02,Women's Strawweight,Claudia Gadelha,2
2015-02-02,Women's Strawweight,Jessica Penne,3
2015-02-02,Women's Strawweight,Rose Namajunas,4
2015-02-02,Women's Strawweight,Tecia Torres,5
2015-02-02,Women's Strawweight,Joanne Calderwood,6
2015-02-02,Women's Strawweight,Randa Markos,7
2015-02-02,Women's Strawweight,Felice Herrig,8
2015-02-02,Women's Strawweight,Aisling Daly,9
2015-02-02,Women's Strawweight,Paige VanZant,10
2015-02-02,Women's Strawweight,Heather Clark,11
2015-02-02,Women's Strawweight,Juliana Lima,12
2015-02-02,Women's Strawweight,Angela Hill,13
2015-02-02,Women's Strawweight,Seohee Ham,14
2015-02-02,Women's Strawweight,Bec Rawlings,15
2015-02-02,Women's Bantamweight,Ronda Rousey,0
2015-02-02,Women's Bantamweight,Cat Zingano,1
2015-02-02,Women's Bantamweight,Miesha Tate,2
2015-02-02,Women's Bantamweight,Alexis Davis,3
2015-02-02,Women's Bantamweight,Sara McMann,4
2015-02-02,Women's Bantamweight,Sarah Kaufman,5
2015-02-02,Women's Bantamweight,Jessica Eye,6
2015-02-02,Women's Bantamweight,Bethe Correia,7
2015-02-02,Women's Bantamweight,Liz Carmouche,8
2015-02-02,Women's Bantamweight,Amanda Nunes,9
2015-02-02,Women's Bantamweight,Jessica Andrade,10
2015-02-02,Women's Bantamweight,Julianna Pena,11
2015-02-02,Women's Bantamweight,Raquel Pennington,12
2015-02-02,Women's Bantamweight,Holly Holm,13
2015-02-02,Women's Bantamweight,Germaine de Randamie,14
2015-02-02,Women's Bantamweight,Leslie Smith,15
2015-02-16,Pound-for-Pound,Jon Jones,1
2015-02-16,Pound-for-Pound,Jose Aldo,2
2015-02-16,Pound-for-Pound,Demetrious Johnson,3
2015-02-16,Pound-for-Pound,Chris Weidman,4
2015-02-16,Pound-for-Pound,Anthony Pettis,5
2015-02-16,Pound-for-Pound,Cain Velasquez,6
2015-02-16,Pound-for-Pound,Ronda Rousey,7
2015-02-16,Pound-for-Pound,TJ Dillashaw,8
2015-02-16,Pound-for-Pound,Anderson Silva,9
2015-02-16,Pound-for-Pound,Robbie Lawler,10
2015-02-16,Pound-for-Pound,Renan Barao,11
2015-02-16,Pound-for-Pound,Johny Hendricks,12
2015-02-16,Pound-for-Pound,Vitor Belfort,13
2015-02-16,Pound-for-Pound,Dominick Cruz,14
2015-02-16,Pound-for-Pound,Fabricio Werdum,15
2015-02-16,Flyweight,Demetrious Johnson,0
2015-02-16,Flyweight,John Dodson,1
2015-02-16,Flyweight,Joseph Benavidez,2
2015-02-16,Flyweight,Ian McCall,3
2015-02-16,Flyweight,Jussier Formiga,4
2015-02-16,Flyweight,John Moraga,5
2015-02-16,Flyweight,Ali Bagautinov,6
2015-02-16,Flyweight,John Lineker,7
2015-02-16,Flyweight,Kyoji Horiguchi,8
2015-02-16,Flyweight,Zach Makovsky,9
2015-02-16,Flyweight,Chris Cariaso,10
2015-02-16,Flyweight,Dustin Ortiz,11
2015-02-16,Flyweight,Tim Elliott,12
2015-02-16,Flyweight,Wilson Reis,13
2015-02-16,Flyweight,Brad Pickett,14
2015-02-16,Flyweight,Chico Camus,15
2015-02-16,Bantamweight,TJ Dillashaw,0
2015-02-16,Bantamweight,Renan Barao,1
2015-02-16,Bantamweight,Dominick Cruz,2
2015-02-16,Bantamweight,Urijah Faber,3
2015-02-16,Bantamweight,Raphael Assuncao,4
2015-02-16,Bantamweight,Michael McDonald,5
2015-02-16,Bantamweight,Takeya Mizugaki,6
2015-02-16,Bantamweight,Eddie Wineland,7
2015-02-16,Bantamweight,Iuri Alcantara,8
2015-02-16,Bantamweight,Johnny Eduardo,9
2015-02-16,Bantamweight,Bryan Caraway,10
2015-02-16,Bantamweight,Francisco Rivera,11
2015-02-16,Bantamweight,Erik Perez,12
2015-02-16,Bantamweight,Alex Caceres,13
2015-02-16,Bantamweight,Mitch Gagnon,14
2015-02-16,Bantamweight,Joe Soto,15
2015-02-16,Featherweight,Jose Aldo,0
2015-02-16,Featherweight,Frankie Edgar,1
2015-02-16,Featherweight,Chad Mendes,2
2015-02-16,Featherweight,Conor McGregor,3
2015-02-16,Featherweight,Ricardo Lamas,4
2015-02-16,Featherweight,Cub Swanson,5
2015-02-16,Featherweight,Dennis Bermudez,6
2015-02-16,Featherweight,Dustin Poirier,7
2015-02-16,Featherweight,Nik Lentz,8
2015-02-16,Featherweight,Charles Oliveira,9
2015-02-16,Featherweight,Max Holloway,10
2015-02-16,Featherweight,Jeremy Stephens,11
2015-02-16,Featherweight,Clay Guida,12
2015-02-16,Featherweight,Dennis Siver,13
2015-02-16,Featherweight,Darren Elkins,14
2015-02-16,Featherweight,Hacran Dias,15
2015-02-16,Lightweight,Anthony Pettis,0
2015-02-16,Lightweight,Rafael Dos Anjos,1
2015-02-16,Lightweight,Khabib Nurmagomedov,2
2015-02-16,Lightweight,Donald Cerrone,3
2015-02-16,Lightweight,Gilbert Melendez,4
2015-02-16,Lightweight,Benson Henderson,5
2015-02-16,Lightweight,Edson Barboza,6
2015-02-16,Lightweight,Josh Thomson,7
2015-02-16,Lightweight,Myles Jury,8
2015-02-16,Lightweight,Bobby Green,9
2015-02-16,Lightweight,Eddie Alvarez,10
2015-02-16,Lightweight,Jim Miller,11
2015-02-16,Lightweight,Michael Johnson,12
2015-02-16,Lightweight,Jorge Masvidal,13
2015-02-16,Lightweight,Rustam Khabilov,14
2015-02-16,Lightweight,Al Iaquinta,15
2015-02-16,Welterweight,Robbie Lawler,0
2015-02-16,Welterweight,Johny Hendricks,1
2015-02-16,Welterweight,Rory MacDonald,2
2015-02-16,Welterweight,Tyron Woodley,3
2015-02-16,Welterweight,Carlos Condit,4
2015-02-16,Welterweight,Matt Brown,5
2015-02-16,Welterweight,Hector Lombard,6
2015-02-16,Welterweight,Demian Maia,7
2015-02-16,Welterweight,Tarec Saffiedine,8
2015-02-16,Welterweight,Dong Hyun Kim,9
2015-02-16,Welterweight,Kelvin Gastelum,10
2015-02-16,Welterweight,Jake Ellenberger,11
2015-02-16,Welterweight,Rick Story,12
2015-02-16,Welterweight,Thiago Alves,13
2015-02-16,Welterweight,Ryan LaFlare,14
2015-02-16,Welterweight,Gunnar Nelson,15
2015-02-16,Middleweight,Chris Weidman,0
2015-02-16,Middleweight,Anderson Silva,1
2015-02-16,Middleweight,Ronaldo Souza,2
2015-02-16,Middleweight,Lyoto Machida,3
2015-02-16,Middleweight,Vitor Belfort,4
2015-02-16,Middleweight,Luke Rockhold,5
2015-02-16,Middleweight,Yoel Romero,6
2015-02-16,Middleweight,Gegard Mousasi,7
2015-02-16,Middleweight,Tim Kennedy,8
2015-02-16,Middleweight,Michael Bisping,9
2015-02-16,Middleweight,Thales Leites,10
2015-02-16,Middleweight,CB Dollaway,11
2015-02-16,Middleweight,Costas Philippou,12
2015-02-16,Middleweight,Mark Munoz,13
2015-02-16,Middleweight,Tim Boetsch,14
2015-02-16,Middleweight,Brad Tavares,15
2015-02-16,Light Heavyweight,Jon Jones,0
2015-02-16,Light Heavyweight,Anthony Johnson,1
2015-02-16,Light Heavyweight,Alexander Gustafsson,2
2015-02-16,Light Heavyweight,Daniel Cormier,3
2015-02-16,Light Heavyweight,Rashad Evans,4
2015-02-16,Light Heavyweight,Ryan Bader,5
2015-02-16,Light Heavyweight,Glover Teixeira,6
2015-02-16,Light Heavyweight,Phil Davis,7
2015-02-16,Light Heavyweight,Ovince Saint Preux,8
2015-02-16,Light Heavyweight,Jimi Manuwa,9
2015-02-16,Light Heavyweight,Mauricio Rua,10
2015-02-16,Light Heavyweight,Rafael Cavalcante,11
2015-02-16,Light Heavyweight,Fabio Maldonado,12
2015-02-16,Light Heavyweight,Rogerio Nogueira,13
2015-02-16,Light Heavyweight,Patrick Cummins,14
2015-02-16,Light Heavyweight,Dan Henderson,15
2015-02-16,Heavyweight,Cain Velasquez,0
2015-02-16,Heavyweight,Fabricio Werdum,1
2015-02-16,Heavyweight,Junior Dos Santos,2
2015-02-16,Heavyweight,Travis Browne,3
2015-02-16,Heavyweight,Stipe Miocic,4
2015-02-16,Heavyweight,Mark Hunt,5
2015-02-16,Heavyweight,Josh Barnett,6
2015-02-16,Heavyweight,Andrei Arlovski,7
2015-02-16,Heavyweight,Antonio Silva,8
2015-02-16,Heavyweight,Roy Nelson,9
2015-02-16,Heavyweight,Ben Rothwell,10
2015-02-16,Heavyweight,Alistair Overeem,11
2015-02-16,Heavyweight,Matt Mitrione,12
2015-02-16,Heavyweight,Frank Mir,13
2015-02-16,Heavyweight,Gabriel Gonzaga,14
2015-02-16,Heavyweight,Stefan Struve,15
2015-02-16,Women's Strawweight,Carla Esparza,0
2015-02-16,Women's Strawweight,Joanna Jedrzejczyk,1
2015-02-16,Women's Strawweight,Claudia Gadelha,2
2015-02-16,Women's Strawweight,Jessica Penne,3
2015-02-16,Women's Strawweight,Rose Namajunas,4
2015-02-16,Women's Strawweight,Tecia Torres,5
2015-02-16,Women's Strawweight,Joanne Calderwood,6
2015-02-16,Women's Strawweight,Randa Markos,7
2015-02-16,Women's Strawweight,Felice Herrig,8
2015-02-16,Women's Strawweight,Aisling Daly,9
2015-02-16,Women's Strawweight,Paige VanZant,10
2015-02-16,Women's Strawweight,Heather Clark,11
2015-02-16,Women's Strawweight,Juliana Lima,12
2015-02-16,Women's Strawweight,Angela Hill,13
2015-02-16,Women's Strawweight,Seohee Ham,14
2015-02-16,Women's Strawweight,Bec Rawlings,15
2015-02-16,Women's Bantamweight,Ronda Rousey,0
2015-02-16,Women's Bantamweight,Cat Zingano,1
2015-02-16,Women's Bantamweight,Miesha Tate,2
2015-02-16,Women's Bantamweight,Alexis Davis,3
2015-02-16,Women's Bantamweight,Sara McMann,4
2015-02-16,Women's Bantamweight,Sarah Kaufman,5
2015-02-16,Women's Bantamweight,Jessica Eye,6
2015-02-16,Women's Bantamweight,Bethe Correia,7
2015-02-16,Women's Bantamweight,Liz Carmouche,8
2015-02-16,Women's Bantamweight,Amanda Nunes,9
2015-02-16,Women's Bantamweight,Jessica Andrade,10
2015-02-16,Women's Bantamweight,Julianna Pena,11
2015-02-16,Women's Bantamweight,Raquel Pennington,12
2015-02-16,Women's Bantamweight,Holly Holm,13
2015-02-16,Women's Bantamweight,Germaine de Randamie,14
2015-02-16,Women's Bantamweight,Leslie Smith,15
2015-02-24,Pound-for-Pound,Jon Jones,1
2015-02-24,Pound-for-Pound,Jose Aldo,2
2015-02-24,Pound-for-Pound,Demetrious Johnson,3
2015-02-24,Pound-for-Pound,Chris Weidman,4
2015-02-24,Pound-for-Pound,Anthony Pettis,5
2015-02-24,Pound-for-Pound,Cain Velasquez,6
2015-02-24,Pound-for-Pound,Ronda Rousey,7
2015-02-24,Pound-for-Pound,TJ Dillashaw,8
2015-02-24,Pound-for-Pound,Anderson Silva,9
2015-02-24,Pound-for-Pound,Robbie Lawler,10
2015-02-24,Pound-for-Pound,Renan Barao,11
2015-02-24,Pound-for-Pound,Johny Hendricks,12
2015-02-24,Pound-for-Pound,Vitor Belfort,13
2015-02-24,Pound-for-Pound,Dominick Cruz,14
2015-02-24,Pound-for-Pound,Fabricio Werdum,15
2015-02-24,Flyweight,Demetrious Johnson,0
2015-02-24,Flyweight,John Dodson,1
2015-02-24,Flyweight,Joseph Benavidez,2
2015-02-24,Flyweight,Ian McCall,3
2015-02-24,Flyweight,John Moraga,4
2015-02-24,Flyweight,Jussier Formiga,5
2015-02-24,Flyweight,Ali Bagautinov,6
2015-02-24,Flyweight,John Lineker,7
2015-02-24,Flyweight,Kyoji Horiguchi,8
2015-02-24,Flyweight,Zach Makovsky,9
2015-02-24,Flyweight,Chris Cariaso,10
2015-02-24,Flyweight,Tim Elliott,11
2015-02-24,Flyweight,Dustin Ortiz,12
2015-02-24,Flyweight,Wilson Reis,13
2015-02-24,Flyweight,Brad Pickett,14
2015-02-24,Flyweight,Chico Camus,15
2015-02-24,Bantamweight,TJ Dillashaw,0
2015-02-24,Bantamweight,Renan Barao,1
2015-02-24,Bantamweight,Dominick Cruz,2
2015-02-24,Bantamweight,Urijah Faber,3
2015-02-24,Bantamweight,Raphael Assuncao,4
2015-02-24,Bantamweight,Michael McDonald,5
2015-02-24,Bantamweight,Takeya Mizugaki,6
2015-02-24,Bantamweight,Eddie Wineland,7
2015-02-24,Bantamweight,Johnny Eduardo,8
2015-02-24,Bantamweight,Bryan Caraway,9
2015-02-24,Bantamweight,Iuri Alcantara,10
2015-02-24,Bantamweight,Francisco Rivera,11
2015-02-24,Bantamweight,Frankie Saenz,12
2015-02-24,Bantamweight,Erik Perez,13
2015-02-24,Bantamweight,Alex Caceres,14
2015-02-24,Bantamweight,Mitch Gagnon,15
2015-02-24,Featherweight,Jose Aldo,0
2015-02-24,Featherweight,Frankie Edgar,1
2015-02-24,Featherweight,Chad Mendes,2
2015-02-24,Featherweight,Conor McGregor,3
2015-02-24,Featherweight,Ricardo Lamas,4
2015-02-24,Featherweight,Cub Swanson,5
2015-02-24,Featherweight,Dennis Bermudez,6
2015-02-24,Featherweight,Dustin Poirier,7
2015-02-24,Featherweight,Nik Lentz,8
2015-02-24,Featherweight,Charles Oliveira,9
2015-02-24,Featherweight,Max Holloway,10
2015-02-24,Featherweight,Jeremy Stephens,11
2015-02-24,Featherweight,Clay Guida,12
2015-02-24,Featherweight,Dennis Siver,13
2015-02-24,Featherweight,Darren Elkins,14
2015-02-24,Featherweight,Hacran Dias,15
2015-02-24,Lightweight,Anthony Pettis,0
2015-02-24,Lightweight,Rafael Dos Anjos,1
2015-02-24,Lightweight,Khabib Nurmagomedov,2
2015-02-24,Lightweight,Donald Cerrone,3
2015-02-24,Lightweight,Gilbert Melendez,4
2015-02-24,Lightweight,Benson Henderson,5
2015-02-24,Lightweight,Michael Johnson,6
2015-02-24,Lightweight,Josh Thomson,7
2015-02-24,Lightweight,Edson Barboza,8
2015-02-24,Lightweight,Myles Jury,9
2015-02-24,Lightweight,Bobby Green,10
2015-02-24,Lightweight,Eddie Alvarez,11
2015-02-24,Lightweight,Jim Miller,12
2015-02-24,Lightweight,Jorge Masvidal,13
2015-02-24,Lightweight,Al Iaquinta,14
2015-02-24,Lightweight,Nate Diaz,15
2015-02-24,Welterweight,Robbie Lawler,0
2015-02-24,Welterweight,Johny Hendricks,1
2015-02-24,Welterweight,Rory MacDonald,2
2015-02-24,Welterweight,Tyron Woodley,3
2015-02-24,Welterweight,Carlos Condit,4
2015-02-24,Welterweight,Matt Brown,5
2015-02-24,Welterweight,Hector Lombard,6
2015-02-24,Welterweight,Demian Maia,7
2015-02-24,Welterweight,Tarec Saffiedine,8
2015-02-24,Welterweight,Kelvin Gastelum,9
2015-02-24,Welterweight,Dong Hyun Kim,10
2015-02-24,Welterweight,Jake Ellenberger,11
2015-02-24,Welterweight,Rick Story,12
2015-02-24,Welterweight,Thiago Alves,13
2015-02-24,Welterweight,Gunnar Nelson,14
2015-02-24,Welterweight,Ryan LaFlare,15
2015-02-24,Middleweight,Chris Weidman,0
2015-02-24,Middleweight,Ronaldo Souza,1
2015-02-24,Middleweight,Anderson Silva,2
2015-02-24,Middleweight,Lyoto Machida,3
2015-02-24,Middleweight,Vitor Belfort,4
2015-02-24,Middleweight,Luke Rockhold,5
2015-02-24,Middleweight,Yoel Romero,6
2015-02-24,Middleweight,Gegard Mousasi,7
2015-02-24,Middleweight,Tim Kennedy,8
2015-02-24,Middleweight,Michael Bisping,9
2015-02-24,Middleweight,Thales Leites,10
2015-02-24,Middleweight,CB Dollaway,11
2015-02-24,Middleweight,Costas Philippou,12
2015-02-24,Middleweight,Mark Munoz,13
2015-02-24,Middleweight,Tim Boetsch,14
2015-02-24,Middleweight,Brad Tavares,15
2015-02-24,Light Heavyweight,Jon Jones,0
2015-02-24,Light Heavyweight,Anthony Johnson,1
2015-02-24,Light Heavyweight,Alexander Gustafsson,2
2015-02-24,Light Heavyweight,Daniel Cormier,3
2015-02-24,Light Heavyweight,Rashad Evans,4
2015-02-24,Light Heavyweight,Ryan Bader,5
2015-02-24,Light Heavyweight,Glover Teixeira,6
2015-02-24,Light Heavyweight,Phil Davis,7
2015-02-24,Light Heavyweight,Ovince Saint Preux,8
2015-02-24,Light Heavyweight,Jimi Manuwa,9
2015-02-24,Light Heavyweight,Mauricio Rua,10
2015-02-24,Light Heavyweight,Rafael Cavalcante,11
2015-02-24,Light Heavyweight,Fabio Maldonado,12
2015-02-24,Light Heavyweight,Rogerio Nogueira,13
2015-02-24,Light Heavyweight,Patrick Cummins,14
2015-02-24,Light Heavyweight,Dan Henderson,15
2015-02-24,Heavyweight,Cain Velasquez,0
2015-02-24,Heavyweight,Fabricio Werdum,1
2015-02-24,Heavyweight,Junior Dos Santos,2
2015-02-24,Heavyweight,Travis Browne,3
2015-02-24,Heavyweight,Stipe Miocic,4
2015-02-24,Heavyweight,Mark Hunt,5
2015-02-24,Heavyweight,Josh Barnett,6
2015-02-24,Heavyweight,Andrei Arlovski,7
2015-02-24,Heavyweight,Roy Nelson,8
2015-02-24,Heavyweight,Alistair Overeem,9
2015-02-24,Heavyweight,Ben Rothwell,10
2015-02-24,Heavyweight,Frank Mir,11
2015-02-24,Heavyweight,Antonio Silva,12
2015-02-24,Heavyweight,Matt Mitrione,13
2015-02-24,Heavyweight,Gabriel Gonzaga,14
2015-02-24,Heavyweight,Stefan Struve,15
2015-02-24,Women's Strawweight,Carla Esparza,0
2015-02-24,Women's Strawweight,Joanna Jedrzejczyk,1
2015-02-24,Women's Strawweight,Claudia Gadelha,2
2015-02-24,Women's Strawweight,Jessica Penne,3
2015-02-24,Women's Strawweight,Rose Namajunas,4
2015-02-24,Women's Strawweight,Tecia Torres,5
2015-02-24,Women's Strawweight,Joanne Calderwood,6
2015-02-24,Women's Strawweight,Randa Markos,7
2015-02-24,Women's Strawweight,Felice Herrig,8
2015-02-24,Women's Strawweight,Aisling Daly,9
2015-02-24,Women's Strawweight,Paige VanZant,10
2015-02-24,Women's Strawweight,Heather Clark,11
2015-02-24,Women's Strawweight,Juliana Lima,12
2015-02-24,Women's Strawweight,Angela Hill,13
2015-02-24,Women's Strawweight,Seohee Ham,14
2015-02-24,Women's Strawweight,Bec Rawlings,15
2015-02-24,Women's Bantamweight,Ronda Rousey,0
2015-02-24,Women's Bantamweight,Cat Zingano,1
2015-02-24,Women's Bantamweight,Miesha Tate,2
2015-02-24,Women's Bantamweight,Alexis Davis,3
2015-02-24,Women's Bantamweight,Sara McMann,4
2015-02-24,Women's Bantamweight,Sarah Kaufman,5
2015-02-24,Women's Bantamweight,Jessica Eye,6
2015-02-24,Women's Bantamweight,Bethe Correia,7
2015-02-24,Women's Bantamweight,Liz Carmouche,8
2015-02-24,Women's Bantamweight,Amanda Nunes,9
2015-02-24,Women's Bantamweight,Marion Reneau,10
2015-02-24,Women's Bantamweight,Jessica Andrade,11
2015-02-24,Women's Bantamweight,Julianna Pena,12
2015-02-24,Women's Bantamweight,Holly Holm,13
