date,link
2/15/2020,/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
7/13/2019,/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
7/20/2019,/events/ufc-on-espn-4-dos-anjos-vs-edwards-1717
7/27/2019,/events/ufc-240-holloway-vs-edgar-1713
8/3/2019,/events/ufc-on-espn-5-covington-vs-lawler-1734
2/8/2020,/events/ufc-247-jones-vs-reyes-1837
8/10/2019,/events/ufc-on-espn-14-shevchenko-vs-carmouche-2-1724
8/17/2019,/events/ufc-241-cormier-vs-miocic-2-1709
8/31/2019,/events/ufc-on-espn-15-andrade-vs-zhang-1733
9/7/2019,/events/ufc-242-khabib-vs-poirier-1715
9/14/2019,/events/ufc-on-espn-16-cowboy-vs-gaethje-1735
9/21/2019,/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
9/28/2019,/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
10/5/2019,/events/ufc-243-whittaker-vs-adesanya-1752
1/25/2020,/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
10/12/2019,/events/ufc-on-espn-19-joanna-vs-waterson-1751
10/18/2019,/events/ufc-on-espn-6-reyes-vs-weidman-1764
10/26/2019,/events/ufc-on-espn-20-maia-vs-askren-1793
1/18/2020,/events/ufc-246-mcgregor-vs-cowboy-1839
11/2/2019,/events/ufc-244-masvidal-vs-diaz-1771
11/9/2019,/events/ufc-on-espn-21-zabit-vs-kattar-1795
11/16/2019,/events/ufc-on-espn-22-blachowicz-vs-jacare-1755
12/21/2019,/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
12/14/2019,/events/ufc-245-usman-vs-covington-1787
12/7/2019,/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
6/8/2019,/events/ufc-238-cejudo-vs-moraes-1677
6/1/2019,/events/ufc-on-espn-11-gustafsson-vs-smith-1676
5/18/2019,/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
5/11/2019,/events/ufc-237-namajunas-vs-andrade-1647
5/4/2019,/events/ufc-on-espn-9-iaquinta-vs-cowboy-1672
4/27/2019,/events/ufc-on-espn-8-jacare-vs-hermansson-1657
4/20/2019,/events/ufc-on-espn-7-overeem-vs-oleinik-1673
4/13/2019,/events/ufc-236-holloway-vs-poirier-2-1666
3/30/2019,/events/ufc-on-espn-2-barboza-vs-gaethje-1648
3/23/2019,/events/ufc-on-espn-6-thompson-vs-pettis-1654
3/16/2019,/events/ufc-on-espn-5-till-vs-masvidal-1626
3/9/2019,/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
3/2/2019,/events/ufc-235-jones-vs-smith-1625
2/23/2019,/events/ufc-on-espn-3-blachowicz-vs-santos-1638
2/17/2019,/events/ufc-on-espn-1-ngannou-vs-velasquez-1637
2/9/2019,/events/ufc-234-adesanya-vs-silva-1620
2/2/2019,/events/ufc-on-espn-2-assuncao-vs-moraes-2-1628
1/19/2019,/events/ufc-on-espn-1-cejudo-vs-dillashaw-1623
12/29/2018,/events/ufc-232-jones-vs-gustafsson-2-1583
12/15/2018,/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
12/8/2018,/events/ufc-231-holloway-vs-ortega-1584
12/1/2018,/events/ufc-fight-night-142-dos-santos-vs-tuivasa-1574
