Andrea Lee,Antonina Shevchenko,,,,,2021-05-15,"Houston, Texas, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,1,0,3.87,0.56,0.6,0.57,0.6,2,2,15,0,0,0,1,2,1,0,4,Southpaw,172.72,170.18,125,3,0,0,5.48,0.5,0.9,1.95,0.52,3,3,18,0,0,0,3,0,0,0,3,Orthodox,167.64,175.26,125,32,36,-3,1,-1,1,-1,-3,0,2,1,5.079999999999984,-5.079999999999984,4,-1.6100000000000003,-0.3,-1.38,1,1,12.0,11.0,11.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,Red,SUB,Triangle Armbar,2,4:52,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gina Mazany,Priscila Cachoeira,,,,,2021-05-15,"Houston, Texas, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,1,0,3.81,0.4,0.0,0.0,0.0,1,3,9,0,0,0,0,1,0,0,1,Orthodox,170.18,165.1,135,0,1,0,3.43,0.49,0.3,4.7,0.58,1,4,12,0,0,0,1,1,0,0,2,Southpaw,167.64,172.72,125,32,32,0,0,0,-1,-1,-3,0,0,0,2.539999999999992,-7.620000000000003,0,0.3799999999999999,-0.3,-4.7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,2,4:51,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Aguilar,Tucker Lutz,,,,,2021-05-15,"Houston, Texas, USA",USA,Blue,False,Featherweight,MALE,3,0,2,0,5.09,0.52,0.3,2.33,0.63,2,0,6,0,0,0,2,0,0,0,2,Orthodox,172.72,182.88,155,3,0,0,3.96,0.4,0.0,0.16,0.16,3,3,16,0,0,1,2,0,0,0,3,Orthodox,170.18,185.42,155,32,26,-3,2,-1,-1,-3,-10,0,0,0,2.539999999999992,-2.5400000000000205,-6,1.13,0.3,2.17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christos Giagos,Sean Soriano,,,,,2021-05-15,"Houston, Texas, USA",USA,Red,False,Lightweight,MALE,3,3,0,0,3.49,0.61,0.0,1.08,0.42,0,3,8,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,0,1,0,2.93,0.41,0.5,3.38,0.41,2,4,19,0,0,0,3,0,1,0,4,Orthodox,177.8,180.34,155,31,31,3,-1,-2,-4,-1,-11,0,0,-1,-2.5400000000000205,-2.539999999999992,0,0.56,-0.5,-2.3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,D'Arce Choke,2,0:59,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marina Rodriguez,Michelle Waterson,,,,,2021-05-08,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,5,0,1,0,3.57,0.48,0.8,1.4,0.32,4,4,36,0,0,2,2,0,4,0,8,Orthodox,160.02,157.48,115,0,1,2,4.89,0.48,0.1,0.28,0.33,2,1,18,0,0,0,2,2,0,0,4,Orthodox,167.64,165.1,115,34,35,0,0,2,4,3,18,0,-2,4,-7.620000000000003,-7.620000000000003,1,-1.3199999999999998,0.7000000000000001,1.12,1,1,,,,,6.0,,,,,,,,,,,,,9.0,,,,,,,,,,,neither,U-DEC,,5,5:00,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald Cerrone,Alex Morono,,,,,2021-05-08,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,1,0,0,5.05,0.42,0.4,0.43,0.25,3,4,29,0,0,1,4,1,1,0,7,Orthodox,180.34,182.88,170,4,0,0,4.43,0.46,1.2,1.18,0.33,8,15,103,1,0,0,9,10,10,0,29,Orthodox,185.42,185.42,170,38,30,-3,0,-5,-22,-11,-74,-1,-9,-9,-5.0800000000000125,-2.5400000000000205,-8,0.6200000000000001,-0.7999999999999999,-0.75,1,1,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1,4:40,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Magny,Geoff Neal,,,,,2021-05-08,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,1,0,0,4.42,0.48,0.2,0.6,0.5,6,1,15,0,0,0,1,4,1,0,6,Southpaw,180.34,190.5,170,1,0,0,3.67,0.46,0.3,2.44,0.42,7,7,66,0,0,1,10,5,1,0,17,Orthodox,190.5,203.2,170,33,30,0,0,-1,-11,-6,-51,0,-1,0,-10.159999999999997,-12.699999999999989,-3,0.75,-0.0999999999999999,-1.84,1,1,10.0,9.0,,,,,,,,9.0,,,,,,,,,,,,,10.0,,,,,,Red,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Greene,Marcos Rogerio de Lima,,,,,2021-05-08,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,1,0,0,3.24,0.54,0.6,1.14,0.66,2,6,18,0,0,0,1,4,1,0,6,Orthodox,185.42,190.5,253,1,0,0,3.28,0.45,0.4,0.0,0.0,3,3,13,0,0,1,0,1,2,0,4,Orthodox,200.66,203.2,258,34,35,0,0,-1,2,3,5,0,3,-1,-15.23999999999998,-12.699999999999989,1,-0.0399999999999995,0.1999999999999999,1.14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Ferreira,Gregor Gillespie,,,,,2021-05-08,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,1,0,0,3.74,0.52,0.8,6.86,0.48,6,1,12,0,0,0,1,3,2,0,6,Orthodox,170.18,180.34,155,1,0,0,4.7,0.37,0.8,0.81,0.24,6,3,24,0,0,0,3,3,2,0,8,Orthodox,175.26,187.96,155,36,34,0,0,0,-2,-2,-12,0,0,0,-5.079999999999984,-7.620000000000003,-2,-0.96,0.0,6.050000000000001,1,1,14.0,12.0,,,,,,,,,12.0,,,,,,,,,,,,,14.0,,,,,Red,KO/TKO,Punches,2,4:51,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Hawes,Kyle Daukaus,,,,,2021-05-08,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,1,0,3.23,0.53,1.2,1.75,0.29,1,1,9,0,0,0,2,0,0,0,2,Southpaw,190.5,193.04,185,0,3,0,3.44,0.58,0.4,2.7,0.38,3,1,7,0,1,0,0,2,0,0,3,Orthodox,182.88,195.58,185,32,28,0,-2,-2,-1,0,2,0,-2,0,7.620000000000003,-2.5400000000000205,-4,-0.2099999999999999,0.7999999999999999,-0.9500000000000002,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
