R_fighter,B_fighter,date,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Mike Pyle,James Head,12/15/2012,1,0,9,13,17,25,.52,.52,9,15,17,27,0,0,0,0,.0,.0,0,0,0,0,0,0
Chris Leben,Jason Thacker,4/ 9/2005,0,0,27,1,40,3,.67,.33,34,3,47,5,1,0,1,0,1,.0,0,0,1,0,0,0
Justin Scoggins,Dustin Ortiz,7/ 6/2014,0,0,24,39,37,64,.64,.60,32,100,45,134,5,2,8,7,.62,.28,3,0,1,3,0,2
Nam Phan,Leonard Garcia,12/ 4/2010,0,0,102,64,227,282,.44,.22,116,70,241,288,0,2,0,3,.0,.66,1,0,1,0,0,0
Joshua Burkman,Sammy Morgan,11/ 5/2005,0,0,4,1,5,2,.80,.50,4,1,5,2,1,0,1,0,1,.0,0,0,0,0,0,0
Ben Saunders,Dan Barrera,12/ 8/2007,0,0,18,12,25,17,.72,.70,143,59,153,64,0,1,0,12,.0,.8,4,0,2,0,0,1
Dooho Choi,Thiago Tavares,7/ 8/2016,1,0,4,2,7,5,.57,.40,6,13,11,17,0,2,0,2,.0,1,0,0,0,0,0,0
Robert McDaniel,Gilbert Smith,4/13/2013,0,0,35,14,54,34,.64,.41,97,24,117,45,0,3,0,5,.0,.60,3,1,8,0,2,1
Chuck O'Neil,Chris Cope,6/ 4/2011,0,0,47,66,125,238,.37,.27,48,83,126,256,0,0,2,0,.0,.0,0,0,0,0,0,0
Jamie Yager,Rich Attonito,6/19/2010,0,0,29,24,74,65,.39,.36,31,38,76,79,0,1,1,3,.0,.33,0,0,0,1,0,0
Tatsuya Kawajiri,Jason Knight,12/11/2015,0,0,28,28,38,42,.73,.66,97,44,113,61,6,0,8,0,.75,.0,0,1,5,0,0,0
Junie Browning,David Kaplan,12/13/2008,0,0,31,12,63,29,.49,.41,38,14,71,32,2,2,2,2,1,1,2,1,6,0,1,1
Rory Singer,Ross Pointon,6/24/2006,0,1,2,4,4,20,.50,.20,2,7,4,23,0,0,0,0,.0,.0,1,0,0,0,0,0
Joe Lauzon,Brandon Melendez,6/23/2007,0,0,4,6,11,23,.36,.26,27,12,35,29,3,0,4,0,.75,.0,6,0,9,1,1,2
Matthew Riddle,Dante Rivera,6/21/2008,0,0,60,34,80,64,.75,.53,129,64,151,95,5,0,6,5,.83,.0,2,0,4,0,0,0
Roxanne Modafferi,Raquel Pennington,11/30/2013,0,0,42,80,194,133,.21,.60,63,86,218,140,0,1,7,1,.0,1,0,1,0,2,0,0
Pete Spratt,Jeremy Jackson,11/11/2006,0,0,12,5,15,14,.80,.35,40,20,43,33,0,2,0,5,.0,.40,0,0,0,2,1,1
Sara McMann,Alexis Davis,12/ 3/2016,0,0,14,21,36,29,.38,.72,25,55,47,66,2,0,2,0,1,.0,1,1,2,0,0,0
Roxanne Modafferi,Barb Honchak,7/ 6/2018,0,0,51,24,129,80,.39,.30,86,24,172,80,1,0,1,1,1,.0,0,0,4,0,0,0
Joe Stevenson,Nate Diaz,6/20/2009,0,0,27,6,47,29,.57,.20,49,58,71,86,8,1,14,2,.57,.50,1,4,3,1,1,2
Tsuyoshi Kohsaka,Pete Williams,10/16/1998,0,0,14,13,40,67,.35,.19,30,15,59,70,3,0,5,0,.60,.0,5,0,8,2,1,0
David Abbott,Yoji Anjo,12/21/1997,0,0,13,9,31,9,.41,1,69,29,90,30,3,0,4,1,.75,.0,0,1,1,0,0,0
Marco Ruas,Keith Hackney,12/16/1995,0,0,7,1,10,4,.70,.25,11,1,15,4,1,0,2,0,.50,.0,1,0,1,0,0,0
Kimo Leopoldo,Paul Varelans,12/ 7/1996,0,0,9,21,11,28,.81,.75,25,101,33,129,0,0,3,0,.0,.0,0,0,0,1,1,0
Ken Shamrock,Patrick Smith,11/12/1993,0,0,1,4,1,8,1,.50,4,16,4,20,1,0,2,0,.50,.0,2,0,0,0,0,0
Mark Coleman,Moti Horenstein,7/12/1996,0,0,25,0,30,1,.83,.0,33,19,38,21,1,0,2,0,.50,.0,0,0,1,0,0,0
Yoshihiro Akiyama,Alan Belcher,7/11/2009,0,1,55,76,156,156,.35,.48,70,76,173,156,3,0,4,0,.75,.0,0,0,2,0,0,0
Ricardo Almeida,Kendall Grove,8/ 8/2009,0,0,38,25,62,62,.61,.40,70,85,102,127,6,0,14,0,.42,.0,0,2,2,0,0,0
Brandon Vera,Krzysztof Soszynski,8/29/2009,0,0,62,41,134,127,.46,.32,73,55,146,143,1,1,1,5,1,.20,0,0,0,0,0,0
Tyson Griffin,Hermes Franca,9/19/2009,1,0,67,11,149,71,.44,.15,72,12,154,72,0,0,0,0,.0,.0,0,0,0,0,0,0
Anthony Johnson,Anthony Johnson,10/24/2009,1,0,10,0,20,1,.50,.0,10,0,20,1,0,0,0,0,.0,.0,0,0,0,0,0,0
Ross Pearson,Aaron Riley,11/14/2009,0,0,59,15,122,73,.48,.20,70,19,135,77,0,0,0,2,.0,.0,0,0,0,0,0,0
Amir Sadollah,Phil Baroni,11/21/2009,0,0,134,51,222,140,.60,.36,147,103,236,200,0,1,1,4,.0,.25,0,0,0,0,0,0
Stefan Struve,Paul Buentello,12/12/2009,0,1,54,37,115,89,.46,.41,91,43,157,98,1,0,1,0,1,.0,2,0,1,0,0,1
Junior Dos Santos,Gilbert Yvel,1/ 2/2010,1,0,14,3,33,18,.42,.16,17,3,37,18,0,0,0,0,.0,.0,0,0,0,0,0,0
