R_fighter,B_fighter,date,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Roy Nelson,Stefan Struve,3/31/2010,1,0,9,2,15,5,.60,.40,9,2,15,5,0,0,0,0,.0,.0,0,0,0,0,0,0
Gray Maynard,Frankie Edgar,4/ 2/2008,0,0,19,26,65,75,.29,.34,27,31,74,80,9,1,10,5,.90,.20,0,0,3,1,0,0
Michael Johnson,Andre Fili,8/25/2018,0,0,65,37,116,117,.56,.31,70,40,122,120,0,2,3,4,.0,.50,0,1,0,1,1,0
Jimi Manuwa,Jan Blachowicz,4/11/2015,0,0,43,44,86,106,.50,.41,81,58,130,120,0,0,2,3,.0,.0,0,0,0,0,0,0
Michael Johnson,Melvin Guillard,3/ 8/2014,0,0,48,22,146,103,.32,.21,51,22,153,103,1,0,4,1,.25,.0,0,0,0,0,0,0
Jimi Manuwa,Aleksandar Rakic,6/ 1/2019,0,1,2,2,3,7,.66,.28,2,2,3,7,0,0,0,0,.0,.0,0,0,0,0,0,0
Volkan Oezdemir,Misha Cirkunov,5/28/2017,1,0,5,9,7,19,.71,.47,5,9,7,19,0,0,0,0,.0,.0,0,0,0,0,0,0
Mike Pyle,Jordan Mein,8/23/2014,0,1,2,10,8,15,.25,.66,2,10,8,15,0,0,2,0,.0,.0,0,0,0,0,0,0
Diego Sanchez,Ross Pearson,6/ 7/2014,0,1,33,51,134,122,.24,.41,33,51,134,122,0,1,1,1,.0,1,0,0,0,0,0,0
Dong Hyun Kim,Dominic Waters,11/28/2015,0,0,6,0,8,0,.75,.0,91,0,95,0,1,0,2,0,.50,.0,0,0,1,0,0,0
Max Holloway,Cole Miller,2/14/2015,0,0,57,31,176,132,.32,.23,66,35,186,137,1,0,1,2,1,.0,0,0,0,0,0,0
Roy Nelson,Jared Rosholt,2/ 6/2016,0,0,42,36,121,120,.34,.30,42,36,121,120,0,0,1,2,.0,.0,0,0,0,0,0,0
Mark Madsen,Danilo Belluardo,9/28/2019,0,0,22,0,29,1,.75,.0,24,0,31,1,1,0,2,0,.50,.0,0,0,1,0,0,0
Neil Magny,Erick Silva,8/23/2015,0,0,68,29,131,59,.51,.49,132,37,204,68,4,3,9,4,.44,.75,0,0,3,2,0,0
Andrei Arlovski,Marcin Tybura,6/17/2017,0,0,28,51,56,92,.50,.55,41,127,74,188,0,2,2,3,.0,.66,0,0,0,6,0,0
Norman Parke,Reza Madadi,10/24/2015,0,0,47,33,145,95,.32,.34,56,40,154,104,1,1,6,12,.16,.8,0,0,1,0,0,0
Ryan Bader,Anthony Perosh,12/ 6/2013,0,0,70,9,100,37,.70,.24,156,11,188,39,3,0,3,2,1,.0,0,0,10,0,0,0
Hector Lombard,Neil Magny,3/19/2016,2,0,60,148,79,197,.75,.75,75,196,95,250,1,1,3,2,.33,.50,0,2,2,5,0,0
Myles Jury,Takanori Gomi,9/20/2014,1,0,10,1,23,4,.43,.25,10,1,23,4,0,0,1,0,.0,.0,0,0,0,0,0,0
Jan Blachowicz,Nikita Krylov,9/15/2018,0,0,10,4,18,22,.55,.18,24,21,33,40,1,1,1,1,1,1,1,1,4,0,0,0
Derek Brunson,Elias Theodorou,5/ 4/2019,0,0,56,65,94,170,.59,.38,65,87,103,194,4,0,9,1,.44,.0,0,0,5,0,0,0
Dennis Bermudez,Andre Fili,1/27/2018,0,0,103,80,196,229,.52,.34,133,93,227,242,1,4,11,12,.9,.33,0,0,1,1,0,0
Greg Hardy,Dmitrii Smoliakov,4/27/2019,0,0,14,1,30,3,.46,.33,17,1,33,3,0,0,0,2,.0,.0,0,0,0,0,0,0
Alistair Overeem,Ben Rothwell,9/ 5/2014,0,1,20,17,21,27,.95,.62,20,22,21,32,0,0,1,0,.0,.0,0,0,0,0,0,0
Dennis Siver,Tatsuya Kawajiri,6/20/2015,0,0,22,22,60,39,.36,.56,90,47,137,68,0,4,0,14,.0,.28,1,0,0,5,0,0
Cub Swanson,Kron Gracie,10/12/2019,0,0,135,86,288,200,.46,.43,143,109,296,225,0,0,0,2,.0,.0,0,0,0,0,0,0
Sai Wang,Lipeng Zhang,3/ 1/2014,0,0,31,10,79,25,.39,.40,100,37,172,60,0,4,0,10,.0,.40,0,2,2,4,2,0
Donald Cerrone,Mike Perry,11/10/2018,0,0,9,11,13,20,.69,.55,10,11,14,20,0,1,1,1,.0,1,1,0,2,1,1,0
Cain Velasquez,Denis Stojnic,2/ 7/2009,0,0,88,7,140,39,.62,.17,124,8,183,41,1,0,4,0,.25,.0,0,1,1,0,0,0
Ricardo Lamas,Josh Emmett,12/16/2017,0,1,17,10,37,38,.45,.26,17,10,37,38,0,0,0,0,.0,.0,0,0,0,0,0,0
Edson Barboza,Dan Hooker,12/15/2018,1,0,126,81,226,204,.55,.39,127,111,227,234,0,0,1,1,.0,.0,0,0,0,1,0,0
Demian Maia,Gilbert Burns,3/14/2020,0,1,4,13,7,16,.57,.81,4,14,7,17,2,0,2,0,1,.0,0,0,1,0,0,0
Francis Ngannou,Anthony Hamilton,12/ 9/2016,0,0,1,0,1,3,1,.0,1,0,1,3,0,1,0,2,.0,.50,1,0,0,0,0,0
Johny Hendricks,Hector Lombard,2/19/2017,0,0,51,37,136,103,.37,.35,69,43,155,109,0,2,0,9,.0,.22,0,0,0,0,0,0
Elizeu Zaleski dos Santos,Curtis Millender,3/ 9/2019,0,0,6,0,9,1,.66,.0,10,0,13,1,1,0,1,0,1,.0,1,0,2,0,0,0
Derek Brunson,Daniel Kelly,6/10/2017,1,0,8,1,17,4,.47,.25,8,1,17,4,0,0,0,0,.0,.0,0,0,0,0,0,0
Will Brooks,Alex Oliveira,10/ 1/2016,0,0,16,48,17,59,.94,.81,29,80,37,102,4,4,8,10,.50,.40,0,1,4,2,0,0
Raphael Assuncao,Bryan Caraway,10/ 4/2014,0,0,75,39,133,128,.56,.30,83,46,141,139,2,2,6,8,.33,.25,0,0,0,0,0,0
Donald Cerrone,Patrick Cote,6/18/2016,3,0,73,46,119,93,.61,.49,92,57,140,111,2,0,3,2,.66,.0,1,0,2,0,0,0
Valentina Shevchenko,Priscila Cachoeira,2/ 3/2018,0,0,95,2,113,12,.84,.16,230,3,254,13,2,0,2,0,1,.0,2,0,4,0,0,0
Renan Barao,Mitch Gagnon,12/20/2014,1,0,59,58,138,111,.42,.52,64,66,143,119,2,0,4,7,.50,.0,1,0,1,0,0,0
Jacare Souza,Francis Carmont,2/15/2014,0,0,16,19,47,71,.34,.26,51,44,89,107,2,0,4,1,.50,.0,3,0,3,0,0,1
Jimi Manuwa,Ryan Jimmo,10/26/2013,0,0,48,36,72,54,.66,.66,51,37,76,55,0,0,4,1,.0,.0,0,0,0,0,0,0
Santiago Ponzinibbio,Lorenz Larkin,6/27/2015,0,1,33,64,101,115,.32,.55,36,71,104,122,0,0,3,0,.0,.0,0,0,0,1,0,0
Ricardo Lamas,Diego Sanchez,11/21/2015,0,0,57,30,109,86,.52,.34,69,36,122,92,3,1,6,2,.50,.50,0,0,0,0,0,0
Ricardo Lamas,Darren Elkins,11/17/2018,0,0,70,62,123,174,.56,.35,80,81,134,196,3,3,5,6,.60,.50,0,0,1,2,1,0
Michael Johnson,Stevie Ray,10/26/2019,0,0,78,85,173,188,.45,.45,81,104,176,207,0,1,0,4,.0,.25,0,0,0,1,0,0
Erick Silva,Josh Koscheck,3/21/2015,0,0,14,4,32,21,.43,.19,16,7,34,24,0,0,1,3,.0,.0,1,0,0,0,0,0
Erick Silva,Dong Hyun Kim,10/ 9/2013,0,1,28,11,60,31,.46,.35,31,30,63,50,0,1,0,4,.0,.25,0,0,0,1,0,0
Alexa Grasso,Tatiana Suarez,5/19/2018,0,0,6,2,8,9,.75,.22,21,4,23,11,0,2,0,3,.0,.66,0,1,0,4,0,0
Gunnar Nelson,Alan Jouban,3/18/2017,0,0,8,17,18,33,.44,.51,17,17,28,33,1,0,2,0,.50,.0,1,0,5,0,0,0
Efrain Escudero,Charles Oliveira,9/15/2010,0,0,13,35,76,91,.17,.38,26,60,89,118,0,2,1,9,.0,.22,0,1,2,1,0,0
Alex Oliveira,Carlo Pedersoli Jr.,9/22/2018,0,0,7,2,10,4,.70,.50,10,2,13,4,0,0,0,0,.0,.0,0,0,0,0,0,0
Evan Dunham,Efrain Escudero,1/11/2010,0,1,22,26,80,74,.27,.35,48,38,109,86,3,0,4,1,.75,.0,1,2,4,0,0,1
Tony Ferguson,Lando Vannata,7/13/2016,0,1,66,40,119,110,.55,.36,69,42,122,112,0,0,0,2,.0,.0,3,0,0,0,0,0
Gunnar Nelson,Zak Cummings,7/19/2014,0,0,13,18,24,75,.54,.24,23,21,34,79,1,0,1,1,1,.0,1,0,1,0,0,0
Donald Cerrone,Benson Henderson,1/18/2015,0,0,57,86,125,155,.45,.55,58,93,126,162,1,0,7,1,.14,.0,0,0,1,0,0,0
Jorge Masvidal,Al Iaquinta,4/ 4/2015,0,0,83,55,170,153,.48,.35,86,55,173,153,0,0,0,9,.0,.0,0,0,1,0,0,0
Clay Guida,Tatsuya Kawajiri,4/11/2014,1,0,47,19,68,51,.69,.37,92,36,113,68,3,1,10,5,.30,.20,0,1,1,0,0,0
Brad Tavares,Robert Whittaker,5/ 9/2015,0,1,2,10,7,14,.28,.71,2,10,7,14,0,0,0,0,.0,.0,0,0,0,0,0,0
Vitor Miranda,Antonio Carlos Junior,5/31/2014,0,0,21,19,47,70,.44,.27,103,33,136,85,0,5,1,6,.0,.83,0,1,0,6,0,0
Josh Thomson,Tony Ferguson,7/15/2015,0,1,33,83,100,149,.33,.55,35,101,102,167,1,0,6,1,.16,.0,0,2,0,0,0,1
Bryan Barberena,Randy Brown,6/22/2019,0,1,47,89,101,152,.46,.58,122,91,178,154,0,0,0,0,.0,.0,0,0,1,0,0,0
Ross Pearson,Stevie Ray,11/19/2016,0,0,38,49,92,117,.41,.41,48,50,104,119,0,1,0,3,.0,.33,0,0,0,0,0,0
Francis Carmont,CB Dollaway,5/31/2014,0,1,29,44,86,79,.33,.55,41,64,100,109,1,3,4,4,.25,.75,1,0,0,7,0,1
Jim Miller,Michael Chiesa,12/10/2015,0,0,7,13,15,30,.46,.43,19,33,31,55,0,2,0,2,.0,1,1,1,1,3,1,0
Joanne Calderwood,Cynthia Calvillo,7/16/2017,0,0,63,54,176,111,.35,.48,68,62,181,119,0,2,0,5,.0,.40,0,2,0,2,1,0
Akira Corassani,Max Holloway,10/ 4/2014,0,1,11,31,29,51,.37,.60,11,38,29,62,0,0,0,0,.0,.0,0,0,0,0,0,0
Jussier Formiga,Joseph Benavidez,6/29/2019,0,1,15,50,48,115,.31,.43,15,72,48,138,1,0,3,0,.33,.0,0,0,1,1,0,0
James Vick,Paul Felder,2/17/2019,0,0,61,55,121,119,.50,.46,69,70,129,134,0,0,0,0,.0,.0,0,0,0,0,0,0
Anthony Johnson,Dan Hardy,3/26/2011,1,0,20,2,36,13,.55,.15,107,10,135,21,4,0,5,1,.80,.0,2,3,3,0,0,0
Michael Johnson,Artem Lobov,10/27/2018,0,0,99,67,219,189,.45,.35,101,67,222,189,1,0,1,0,1,.0,0,0,0,0,0,0
Antonio Silva,Stefan Struve,5/ 8/2016,0,1,0,13,1,16,.0,.81,0,15,1,18,0,0,0,0,.0,.0,0,0,0,0,0,0
Claudia Gadelha,Angela Hill,5/16/2020,0,1,84,90,210,176,.40,.51,92,93,218,179,1,0,4,0,.25,.0,0,0,1,0,0,0
Islam Makhachev,Arman Tsarukyan,4/20/2019,0,0,14,13,20,43,.70,.30,47,60,53,90,4,1,9,12,.44,.8,0,0,2,0,0,0
Stefan Struve,Ben Rothwell,12/ 7/2019,0,1,53,58,77,101,.68,.57,63,71,87,114,0,0,1,1,.0,.0,0,0,0,0,0,0
Randa Markos,Alexa Grasso,8/ 5/2017,0,0,45,64,113,157,.39,.40,71,121,141,224,4,0,11,0,.36,.0,0,0,5,1,1,1
Carlos Condit,Alex Oliveira,4/14/2018,0,0,12,9,18,23,.66,.39,42,22,49,37,1,3,1,3,1,1,1,1,2,4,1,0
Mike Perry,Mickey Gall,6/27/2020,1,0,76,55,131,106,.58,.51,103,59,158,111,1,0,1,6,1,.0,0,0,6,0,0,1
Uriah Hall,Derek Brunson,9/17/2016,0,1,1,4,3,7,.33,.57,4,15,6,18,0,0,0,3,.0,.0,0,0,0,0,0,0
Matt Brown,Diego Sanchez,11/11/2017,1,0,18,12,34,20,.52,.60,20,13,36,21,0,0,0,3,.0,.0,0,0,0,0,0,0
Yair Rodriguez,Jeremy Stephens,10/18/2019,0,0,96,50,170,95,.56,.52,136,99,213,156,0,3,3,4,.0,.75,0,0,0,1,0,0
Gregor Gillespie,Vinc Pichel,6/ 1/2018,0,0,13,7,26,22,.50,.31,30,35,48,51,7,0,9,0,.77,.0,2,0,7,0,0,0
Ross Pearson,Al Iaquinta,11/ 7/2014,0,2,20,31,60,93,.33,.33,21,32,61,94,0,0,1,1,.0,.0,0,0,0,0,0,0
Mike Perry,Alex Reyes,9/16/2017,1,0,11,6,18,13,.61,.46,11,6,18,13,0,0,0,0,.0,.0,0,0,0,0,0,0
Lorenz Larkin,Brad Tavares,1/15/2014,0,0,39,45,113,112,.34,.40,43,62,117,132,0,2,0,9,.0,.22,0,0,0,1,1,0
Dennis Bermudez,Rony Jason,8/ 6/2016,0,0,48,9,95,41,.50,.21,77,16,127,48,5,0,10,0,.50,.0,0,0,1,1,1,0
Joe Lauzon,Marcin Held,1/15/2017,0,0,20,23,62,78,.32,.29,44,32,86,90,1,5,2,5,.50,1,1,0,0,4,0,0
Irene Aldana,Vanessa Melo,9/21/2019,0,0,125,68,333,250,.37,.27,127,68,335,250,0,0,0,1,.0,.0,0,0,0,0,0,0
Derrick Lewis,Gabriel Gonzaga,4/10/2016,1,0,17,5,25,7,.68,.71,21,6,29,8,0,1,0,6,.0,.16,0,0,0,2,0,0
Tatsuya Kawajiri,Sean Soriano,1/ 4/2014,0,0,32,19,36,26,.88,.73,62,23,66,30,3,0,12,0,.25,.0,1,0,3,0,0,0
Claudia Gadelha,Jessica Andrade,9/22/2017,0,0,42,141,91,241,.46,.58,47,242,96,355,0,4,7,7,.0,.57,2,0,0,5,0,0
Josh Koscheck,Jeff Joslin,12/13/2006,0,0,14,18,44,54,.31,.33,48,83,80,119,6,0,12,0,.50,.0,1,1,2,0,0,0
Vicente Luque,Mike Perry,8/10/2019,0,0,84,87,179,175,.46,.49,85,116,180,204,0,0,0,2,.0,.0,1,0,0,0,0,0
Court McGee,Dongi Yang,9/17/2011,0,1,62,50,201,134,.30,.37,66,51,205,135,2,1,7,2,.28,.50,1,0,3,0,0,0
Cezar Ferreira,CB Dollaway,3/23/2014,0,1,3,12,8,16,.37,.75,3,13,8,17,0,0,0,0,.0,.0,0,0,0,0,0,0
Glover Teixeira,Corey Anderson,7/22/2018,0,0,20,48,46,97,.43,.49,27,88,54,140,0,7,4,19,.0,.36,1,0,0,7,0,0
Alistair Overeem,Travis Browne,8/17/2013,2,1,41,14,66,27,.62,.51,46,14,71,27,0,0,1,0,.0,.0,0,0,0,0,0,0
Gegard Mousasi,Thales Leites,2/27/2016,0,0,81,17,171,70,.47,.24,95,19,187,72,0,0,0,10,.0,.0,0,0,1,0,0,0
Ben Rothwell,Ovince Saint Preux,5/13/2020,0,1,56,42,110,82,.50,.51,86,46,142,87,1,0,3,0,.33,.0,0,0,0,0,0,0
Paige VanZant,Jessica-Rose Clark,1/14/2018,0,0,54,55,118,98,.45,.56,96,78,162,122,0,2,2,3,.0,.66,0,1,0,4,1,1
Justin McCully,Antoni Hardonk,4/ 5/2007,0,0,21,26,40,35,.52,.74,80,50,120,61,3,0,5,0,.60,.0,0,1,1,0,0,0
Jon Fitch,Roan Carneiro,6/12/2007,0,0,18,4,34,10,.52,.40,54,5,70,11,0,2,1,4,.0,.50,1,1,1,0,0,0
Al Iaquinta,Diego Sanchez,4/22/2017,2,0,12,4,19,15,.63,.26,12,4,19,15,0,0,0,0,.0,.0,0,0,0,0,0,0
Jason Knight,Gabriel Benitez,12/ 9/2017,0,0,36,85,181,192,.19,.44,37,91,182,199,1,0,9,0,.11,.0,0,0,0,1,0,0
Kelvin Gastelum,Nicholas Musoke,6/28/2014,0,0,67,36,174,128,.38,.28,97,42,207,134,0,2,0,6,.0,.33,0,0,0,1,1,0
Patrick Cote,Drew McFedries,1/23/2008,1,0,14,8,31,15,.45,.53,14,8,31,15,0,0,0,0,.0,.0,0,0,0,0,0,0
Soa Palelei,Jared Rosholt,6/28/2014,0,0,11,43,25,58,.44,.74,46,148,62,177,0,1,5,4,.0,.25,0,0,1,2,0,0
Yushin Okami,Jacare Souza,9/ 4/2013,0,1,1,28,11,48,.9,.58,1,29,11,49,0,0,0,1,.0,.0,0,0,0,0,0,0
Michael Johnson,Beneil Dariush,8/ 8/2015,0,0,84,75,222,201,.37,.37,85,75,223,201,0,0,0,7,.0,.0,0,0,0,0,0,0
Chris Leben,Terry Martin,9/19/2007,1,0,53,45,101,104,.52,.43,208,76,256,135,0,4,1,6,.0,.66,1,0,0,1,0,0
Curtis Blaydes,Justin Willis,3/23/2019,0,0,22,2,33,9,.66,.22,72,9,90,16,7,0,11,0,.63,.0,0,0,4,0,0,0
Neil Magny,Craig White,5/27/2018,1,0,18,6,29,17,.62,.35,40,13,53,28,0,0,2,2,.0,.0,0,0,1,0,0,0
Leon Edwards,Gunnar Nelson,3/16/2019,1,0,31,9,49,18,.63,.50,47,27,69,38,2,3,3,4,.66,.75,0,0,1,1,0,0
Siyar Bahadurzada,Rob Wilkinson,9/ 2/2017,3,0,43,24,81,46,.53,.52,44,34,82,58,0,2,0,5,.0,.40,1,0,0,0,0,0
Dennis Bermudez,Darren Elkins,7/22/2017,0,0,69,70,160,154,.43,.45,101,99,194,189,1,3,6,10,.16,.30,0,2,0,2,0,0
Bec Rawlings,Jessica-Rose Clark,11/18/2017,0,0,65,101,145,174,.44,.58,81,108,162,181,2,2,3,3,.66,.66,1,1,2,3,0,1
Jimi Manuwa,Jan Blachowicz,3/17/2018,0,1,37,97,110,191,.33,.50,37,124,110,219,0,1,2,6,.0,.16,0,0,0,0,0,0
Jake Matthews,Andrew Holbrook,11/26/2016,0,0,22,30,62,53,.35,.56,29,80,70,106,3,2,3,2,1,1,0,3,0,1,0,0
Blagoy Ivanov,Augusto Sakai,5/30/2020,0,0,66,78,125,161,.52,.48,71,89,130,174,1,0,3,0,.33,.0,0,0,1,0,0,0
Alexander Volkov,Greg Hardy,11/ 9/2019,0,0,86,46,152,135,.56,.34,86,51,152,140,0,0,0,2,.0,.0,0,0,0,0,0,0
Pat Barry,Stefan Struve,10/ 1/2011,0,0,30,31,45,82,.66,.37,30,31,45,82,0,0,0,0,.0,.0,0,1,0,0,0,0
Jim Miller,Benson Henderson,8/14/2011,0,0,14,65,44,132,.31,.49,24,119,55,195,0,7,0,7,.0,1,6,2,0,6,0,0
Mark Munoz,Yushin Okami,8/ 1/2010,1,1,16,22,44,83,.36,.26,19,101,48,162,1,1,15,1,.6,1,0,0,0,0,0,0
Charlie Brenneman,Rick Story,6/26/2011,0,0,11,17,26,46,.42,.36,70,61,86,91,5,2,8,4,.62,.50,0,4,5,1,1,0
CB Dollaway,Mark Munoz,3/ 3/2011,0,1,2,4,5,7,.40,.57,2,4,5,7,1,0,1,0,1,.0,0,0,0,0,0,0
Junior Dos Santos,Gabriel Gonzaga,3/21/2010,1,0,20,9,35,19,.57,.47,20,9,35,19,0,1,0,1,.0,1,0,0,0,0,0,0
Dong Hyun Kim,Paulo Thiago,11/10/2012,0,0,22,2,40,10,.55,.20,76,4,104,12,3,0,6,0,.50,.0,2,0,3,0,0,0
Josh Koscheck,Johny Hendricks,5/ 5/2012,0,0,33,55,89,120,.37,.45,57,82,115,153,1,2,2,6,.50,.33,0,0,1,0,0,0
Miesha Tate,Jessica Eye,7/25/2015,1,0,58,56,122,143,.47,.39,84,81,148,168,1,0,4,0,.25,.0,2,0,3,0,0,0
Junior Dos Santos,Alistair Overeem,12/19/2015,0,1,22,32,46,43,.47,.74,22,32,46,43,0,0,0,1,.0,.0,0,0,0,0,0,0
Rafael Dos Anjos,Nate Diaz,12/13/2014,0,0,77,13,119,104,.64,.12,129,51,175,145,2,0,2,0,1,.0,0,0,5,0,0,0
Chael Sonnen,Michael Bisping,1/28/2012,0,0,40,30,97,86,.41,.34,135,102,203,163,4,1,7,3,.57,.33,0,0,2,0,0,0
Dan Henderson,Gegard Mousasi,1/24/2015,0,1,4,4,11,22,.36,.18,4,5,11,24,0,0,0,0,.0,.0,0,0,0,0,0,0
Mauricio Rua,Alexander Gustafsson,12/ 8/2012,0,0,41,72,95,156,.43,.46,51,128,105,215,1,6,3,12,.33,.50,1,0,0,2,0,0
Frank Mir,Daniel Cormier,4/20/2013,0,0,24,59,60,96,.40,.61,53,102,89,139,0,0,0,1,.0,.0,0,0,0,0,0,0
Stipe Miocic,Gabriel Gonzaga,1/25/2014,0,0,63,29,187,82,.33,.35,77,33,205,87,1,1,1,6,1,.16,0,0,0,0,0,0
Edson Barboza,Gilbert Melendez,7/23/2016,0,0,56,39,136,129,.41,.30,63,42,144,135,1,0,1,5,1,.0,0,0,0,0,0,0
Josh Barnett,Ben Rothwell,1/30/2016,0,0,35,35,68,91,.51,.38,35,38,68,94,0,0,1,0,.0,.0,0,1,0,0,0,0
Urijah Faber,Michael McDonald,12/14/2013,1,0,29,9,46,27,.63,.33,59,11,79,29,1,0,2,0,.50,.0,1,0,0,0,0,0
Quinton Jackson,Glover Teixeira,1/26/2013,0,1,53,80,169,179,.31,.44,54,103,170,207,0,5,4,5,.0,1,0,0,0,5,0,0
Rory MacDonald,Jake Ellenberger,7/27/2013,0,0,46,19,118,97,.38,.19,48,27,120,106,0,1,1,3,.0,.33,0,0,0,0,0,0
Rose Namajunas,Michelle Waterson,4/15/2017,1,0,47,22,72,33,.65,.66,56,31,86,44,1,1,1,1,1,1,1,0,3,0,1,0
Anthony Johnson,Rogerio Nogueira,7/26/2014,1,0,8,0,17,2,.47,.0,8,0,17,2,0,0,0,0,.0,.0,0,0,0,0,0,0
Jacare Souza,Chris Camozzi,4/18/2015,0,0,6,7,9,14,.66,.50,10,7,13,14,1,0,1,0,1,.0,1,0,1,0,0,0
Anthony Pettis,Charles Oliveira,8/27/2016,0,0,53,41,87,86,.60,.47,77,60,114,105,0,4,0,11,.0,.36,1,0,2,6,5,0
Donald Cerrone,Jorge Masvidal,1/28/2017,0,2,30,58,65,102,.46,.56,30,58,65,102,0,0,1,0,.0,.0,0,0,0,0,0,0
Lyoto Machida,Ryan Bader,8/ 4/2012,1,0,21,7,31,32,.67,.21,21,7,31,32,0,0,0,0,.0,.0,0,0,0,0,0,0
Rose Namajunas,Tecia Torres,4/16/2016,0,0,46,61,156,121,.29,.50,48,93,160,155,2,0,4,1,.50,.0,0,0,0,0,0,0
Sage Northcutt,Mickey Gall,12/17/2016,1,1,13,9,23,18,.56,.50,22,29,32,40,0,2,1,2,.0,1,0,3,1,4,0,0
Clay Guida,Benson Henderson,11/12/2011,0,1,11,40,40,89,.27,.44,35,102,65,158,2,2,9,7,.22,.28,4,0,1,3,0,0
Miesha Tate,Liz Carmouche,4/19/2014,0,0,27,18,57,34,.47,.52,82,75,124,95,1,5,7,7,.14,.71,2,0,3,1,0,0
Cub Swanson,Dustin Poirier,2/16/2013,0,0,58,58,126,140,.46,.41,80,70,150,158,2,2,2,9,1,.22,0,0,3,0,0,0
Brian Stann,Alessio Sakara,4/14/2012,1,0,18,7,33,14,.54,.50,28,13,47,20,0,0,0,0,.0,.0,0,0,0,0,0,0
Amir Sadollah,Jorge Lopez,5/15/2012,0,0,36,32,83,61,.43,.52,77,39,129,72,1,4,3,14,.33,.28,1,0,0,2,0,0
Ryan Couture,Ross Pearson,4/ 6/2013,0,1,29,28,77,41,.37,.68,35,48,83,62,1,1,7,1,.14,1,0,0,0,0,0,0
James Te Huna,Joey Beltran,7/11/2012,1,0,122,73,249,278,.49,.26,172,90,301,296,3,1,9,2,.33,.50,0,0,1,0,0,0
William Macario,Leonardo Santos,6/ 8/2013,0,0,35,22,57,46,.61,.47,45,34,67,63,2,1,4,7,.50,.14,0,1,0,2,0,0
Stefan Struve,Dave Herman,2/15/2012,1,0,47,51,81,74,.58,.68,82,51,124,74,1,0,1,0,1,.0,0,0,4,0,0,0
Stefan Struve,Mark Hunt,3/ 2/2013,0,1,24,47,67,82,.35,.57,56,61,116,100,0,1,0,2,.0,.50,1,0,3,2,1,1
Dan Hardy,Amir Sadollah,9/29/2012,0,0,65,61,141,134,.46,.45,102,70,180,144,3,0,7,2,.42,.0,0,0,0,0,0,0
Joseph Benavidez,Yasuhiro Urushitani,3/ 2/2012,1,0,18,8,50,18,.36,.44,33,12,65,22,1,0,5,0,.20,.0,1,0,4,0,0,0
Daniel Sarafian,CB Dollaway,1/19/2013,1,0,38,62,98,152,.38,.40,41,73,102,164,0,2,6,6,.0,.33,0,0,2,3,0,1
Jacare Souza,Chris Camozzi,5/18/2013,0,0,8,4,16,14,.50,.28,12,10,21,21,1,0,3,0,.33,.0,1,0,4,0,1,0
Jake Ellenberger,Jay Hieron,10/ 5/2012,0,0,25,32,81,127,.30,.25,27,43,83,139,2,0,4,2,.50,.0,0,0,0,0,0,0
Duane Ludwig,Josh Neer,1/20/2012,0,0,24,5,46,20,.52,.25,30,6,53,21,0,1,0,3,.0,.33,0,1,0,0,0,0
Erick Silva,Charlie Brenneman,6/ 8/2012,0,0,10,3,14,12,.71,.25,11,14,15,30,0,1,0,7,.0,.14,2,0,1,0,0,0
Sam Stout,Spencer Fisher,6/22/2012,0,0,64,65,189,156,.33,.41,96,89,234,184,4,0,8,1,.50,.0,0,0,1,0,0,0
Robert Whittaker,Brad Scott,12/14/2012,1,0,83,55,202,171,.41,.32,89,82,208,205,0,1,0,5,.0,.20,0,0,0,1,0,0
Brandon Vera,Reese Andy,7/19/2008,0,0,38,30,74,53,.51,.56,51,95,89,118,2,1,4,5,.50,.20,0,0,2,0,0,0
Darrell Montague,Willie Gates,7/12/2015,0,1,4,19,13,33,.30,.57,4,21,13,35,0,0,1,0,.0,.0,0,0,0,0,0,0
Roosevelt Roberts,Darrell Horcher,11/30/2018,0,0,16,10,35,33,.45,.30,23,19,42,43,0,0,0,1,.0,.0,1,0,0,0,0,0
Gray Maynard,Teruto Ishihara,7/ 7/2017,0,0,16,8,24,13,.66,.61,37,14,46,19,11,0,11,0,1,.0,2,0,6,0,0,0
Jared Papazian,Tim Elliott,12/15/2012,0,1,36,36,97,69,.37,.52,46,189,109,256,0,7,1,14,.0,.50,0,4,1,9,1,0
Rich Attonito,David Branch,12/ 4/2010,0,0,6,16,15,27,.40,.59,17,53,32,79,0,4,0,10,.0,.40,0,0,0,7,0,0
Jake Matthews,Kevin Lee,7/ 8/2016,0,0,5,24,13,38,.38,.63,5,36,13,51,0,1,0,2,.0,.50,0,0,0,2,0,0
Sam Sicilia,Maximo Blanco,4/13/2013,0,0,26,52,99,145,.26,.35,32,86,107,180,1,2,7,4,.14,.50,1,1,0,1,0,0
Reuben Duran,Francisco Rivera,6/ 4/2011,0,0,42,22,71,38,.59,.57,101,54,132,70,2,0,5,1,.40,.0,2,3,5,0,0,0
