,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,constant_1,label
993,Ashley Yoder,Mackenzie Dern,390.0,-490.0,390.0,20.40816327,2018-03-03,"Las Vegas, Nevada, USA", USA,Blue,False,Women's Strawweight,FEMALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,162.56,160.02,115.0,2.0,0.0,0.0,35.0,0.305,0.0,2.0,0.5,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,170.18,175.26,115.0,30.0,24.0,2.0,0.0,0.0,0.0,2.0,-6.0,0.0,0.0,0.0,-7.62,-15.24,6.0,-0.305,0.0,-2.0,1.0,0
994,Beneil Dariush,Alexander Hernandez,-420.0,335.0,23.80952381,335.0,2018-03-03,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,175.26,182.88,155.0,2.0,0.0,0.0,39.16666667,0.4775,0.41666666700000005,0.75,0.2425,5.0,4.0,26.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,8.0,Southpaw,177.8,182.88,155.0,28.0,25.0,2.0,0.0,-5.0,-8.0,4.0,-26.0,0.0,-1.0,-3.0,-2.54,0.0,3.0,-0.4775,-0.41666666700000005,-0.75,1.0,0
995,John Dodson,Pedro Munhoz,-160.0,140.0,62.5,140.0,2018-03-03,"Las Vegas, Nevada, USA", USA,Red,False,Bantamweight,MALE,3.0,0.0,4.0,0.0,31.5,0.49875,0.875,0.75,0.225,4.0,3.0,15.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,5.0,Orthodox,167.64,165.1,135.0,1.0,0.0,0.0,44.08333333,0.4325,0.0,0.75,0.27,3.0,4.0,34.0,3.0,0.0,0.0,3.0,4.0,0.0,1.0,8.0,Orthodox,160.02,167.64,135.0,33.0,31.0,1.0,4.0,1.0,-3.0,1.0,-19.0,-3.0,-4.0,3.0,7.62,-2.54,2.0,0.06625,0.875,0.0,1.0,1
996,CB Dollaway,Hector Lombard,-110.0,-110.0,90.90909091,90.90909091,2018-03-03,"Las Vegas, Nevada, USA", USA,Red,False,Middleweight,MALE,3.0,5.0,0.0,0.0,37.0,0.483,0.2,1.5,0.42100000000000004,2.0,7.0,25.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Southpaw,175.26,180.34,185.0,0.0,1.0,0.0,23.27777778,0.452222222,0.5555555560000001,2.055555556,0.444444444,3.0,8.0,36.0,1.0,0.0,1.0,5.0,2.0,2.0,0.0,10.0,Orthodox,187.96,193.04,185.0,34.0,40.0,-5.0,-1.0,-1.0,-7.0,1.0,-11.0,-1.0,0.0,-2.0,-12.7,-12.7,-6.0,0.030777778,-0.355555556,-0.5555555560000001,1.0,1
997,Mike Pyle,Zak Ottow,270.0,-330.0,270.0,30.303030300000003,2018-03-03,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3.0,1.0,0.0,0.0,37.75,0.3775,0.25,0.5,0.165,1.0,2.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,Orthodox,180.34,182.88,170.0,2.0,0.0,0.0,21.05555556,0.385,0.7777777779999999,0.8888888890000001,0.210555556,4.0,8.0,36.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,10.0,Orthodox,182.88,187.96,170.0,42.0,31.0,1.0,0.0,-3.0,-8.0,6.0,-26.0,0.0,-5.0,-2.0,-2.54,-5.08,11.0,-0.0075,-0.5277777779999999,-0.38888888899999996,1.0,0
998,Bryan Caraway,Cody Stamann,-105.0,-115.0,95.23809524,86.95652174,2018-03-03,"Las Vegas, Nevada, USA", USA,Blue,False,Bantamweight,MALE,3.0,0.0,2.0,0.0,80.0,0.485,0.0,6.0,0.73,2.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Orthodox,167.64,162.56,135.0,0.0,2.0,0.0,28.75,0.3225,0.75,2.25,0.395,2.0,2.0,22.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,Orthodox,172.72,172.72,135.0,33.0,28.0,0.0,0.0,0.0,-4.0,2.0,-16.0,0.0,0.0,-4.0,-5.08,-10.16,5.0,0.1625,-0.75,3.75,1.0,0
999,Jordan Johnson,Adam Milstead,-255.0,215.0,39.21568627,215.0,2018-03-03,"Las Vegas, Nevada, USA", USA,Red,False,Light Heavyweight,MALE,3.0,1.0,0.0,0.0,29.5,0.75,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,190.5,193.04,205.0,0.0,2.0,0.0,40.5,0.44,1.0,3.0,0.565,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Orthodox,187.96,200.66,205.0,29.0,30.0,-1.0,-2.0,-1.0,-1.0,-1.0,-2.0,0.0,1.0,0.0,2.54,-7.62,-1.0,0.31,-1.0,-3.0,1.0,1
1000,Josh Emmett,Jeremy Stephens,110.0,-130.0,110.0,76.92307692,2018-02-24,"Orlando, Florida, USA", USA,Blue,False,Featherweight,MALE,5.0,0.0,2.0,0.0,38.59259259,0.44222222200000005,0.37037037,1.0,0.261851852,3.0,13.0,73.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,14.0,Orthodox,172.72,180.34,145.0,0.0,2.0,0.0,51.8,0.348,0.2,1.8,0.23199999999999998,2.0,1.0,13.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,Orthodox,167.64,177.8,145.0,32.0,31.0,0.0,0.0,1.0,10.0,-12.0,60.0,0.0,6.0,0.0,5.08,2.54,1.0,0.094222222,0.17037037,-0.8,1.0,0
1001,Jessica Andrade,Tecia Torres,-250.0,210.0,40.0,210.0,2018-02-24,"Orlando, Florida, USA", USA,Red,False,Women's Strawweight,FEMALE,3.0,0.0,3.0,0.0,65.28571429,0.508571429,0.14285714300000002,0.7142857140000001,0.308571429,3.0,1.0,20.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,Orthodox,154.94,152.4,115.0,0.0,1.0,0.0,74.16666667,0.555,0.41666666700000005,1.9166666669999999,0.5425,3.0,4.0,29.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,8.0,Orthodox,154.94,157.48,115.0,26.0,28.0,0.0,2.0,0.0,-2.0,3.0,-9.0,-1.0,-1.0,-1.0,0.0,-5.08,-2.0,-0.046428570999999995,-0.27380952399999997,-1.202380953,1.0,1
1002,Ovince Saint Preux,Ilir Latifi,-165.0,145.0,60.60606061,145.0,2018-02-24,"Orlando, Florida, USA", USA,Blue,False,Light Heavyweight,MALE,3.0,0.0,1.0,0.0,14.22222222,0.42666666700000005,0.222222222,1.111111111,0.375555556,3.0,3.0,16.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,6.0,Orthodox,177.8,185.42,205.0,0.0,3.0,0.0,26.0,0.46,0.26666666699999997,0.6,0.277333333,4.0,5.0,36.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,10.0,Southpaw,190.5,203.2,205.0,34.0,34.0,0.0,-2.0,-1.0,-4.0,2.0,-20.0,-1.0,-2.0,-2.0,-12.7,-17.78,0.0,-0.033333333,-0.044444445,0.5111111110000001,1.0,0
1003,Mike Perry,Max Griffin,-300.0,250.0,33.33333333,250.0,2018-02-24,"Orlando, Florida, USA", USA,Blue,False,Welterweight,MALE,3.0,1.0,0.0,0.0,26.33333333,0.41666666700000005,0.333333333,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,180.34,193.04,170.0,1.0,0.0,0.0,41.0,0.483333333,0.0,0.166666667,0.166666667,2.0,2.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,Orthodox,177.8,180.34,170.0,26.0,32.0,0.0,0.0,-1.0,-3.0,0.0,-6.0,0.0,-3.0,0.0,2.54,12.7,-6.0,-0.066666666,0.333333333,-0.166666667,1.0,0
1004,Renan Barao,Brian Kelleher,-165.0,145.0,60.60606061,145.0,2018-02-24,"Orlando, Florida, USA", USA,Blue,False,Bantamweight,MALE,3.0,0.0,1.0,0.0,30.33333333,0.43,0.666666667,0.666666667,0.443333333,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Switch,167.64,167.64,135.0,1.0,0.0,0.0,51.07692308,0.366153846,0.23076923100000002,1.4615384619999998,0.279230769,7.0,4.0,40.0,6.0,0.0,0.0,4.0,2.0,3.0,0.0,9.0,Orthodox,167.64,177.8,135.0,31.0,31.0,1.0,1.0,-6.0,-7.0,3.0,-35.0,-6.0,-1.0,-2.0,0.0,-10.16,0.0,0.063846154,0.435897436,-0.794871795,1.0,0
1005,Sara McMann,Marion Reneau,-190.0,165.0,52.63157895,165.0,2018-02-24,"Orlando, Florida, USA", USA,Blue,False,Women's Bantamweight,FEMALE,3.0,0.0,1.0,0.0,50.0,0.401428571,1.142857143,0.28571428600000004,0.28571428600000004,2.0,3.0,19.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,Orthodox,167.64,172.72,135.0,1.0,0.0,0.0,18.55555556,0.472222222,0.333333333,1.6666666669999999,0.5166666670000001,3.0,4.0,17.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,Orthodox,167.64,167.64,135.0,37.0,40.0,1.0,1.0,-1.0,-1.0,1.0,2.0,-1.0,1.0,-1.0,0.0,5.08,-3.0,-0.070793651,0.80952381,-1.380952381,1.0,0
1006,Maryna Moroz,Angela Hill,130.0,-150.0,130.0,66.66666667,2018-02-24,"Orlando, Florida, USA", USA,Blue,False,Women's Strawweight,FEMALE,3.0,1.0,0.0,0.0,64.83333333,0.49166666700000006,0.0,0.166666667,0.166666667,1.0,4.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Orthodox,160.02,162.56,115.0,0.0,2.0,0.0,29.75,0.295,0.5,0.25,0.0825,2.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,Orthodox,170.18,170.18,125.0,26.0,33.0,-1.0,-2.0,-1.0,-1.0,-3.0,6.0,0.0,0.0,-1.0,-10.16,-7.62,-7.0,0.196666667,-0.5,-0.083333333,1.0,0
1007,Ben Saunders,Alan Jouban,210.0,-250.0,210.0,40.0,2018-02-24,"Orlando, Florida, USA", USA,Blue,False,Welterweight,MALE,3.0,2.0,0.0,0.0,39.3,0.542,0.0,0.3,0.14,3.0,4.0,19.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,Southpaw,182.88,185.42,170.0,1.0,0.0,0.0,28.61538462,0.560769231,0.692307692,0.153846154,0.153846154,3.0,5.0,27.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,8.0,Orthodox,187.96,195.58,170.0,34.0,36.0,-1.0,0.0,0.0,-2.0,1.0,-8.0,0.0,1.0,-3.0,-5.08,-10.16,-2.0,-0.018769231,-0.692307692,0.146153846,1.0,0
1008,Sam Alvey,Marcin Prachnio,180.0,-220.0,180.0,45.45454545,2018-02-24,"Orlando, Florida, USA", USA,Red,False,Light Heavyweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,190.5,187.96,205.0,1.0,0.0,0.0,30.0,0.493846154,0.076923077,0.0,0.0,4.0,5.0,28.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,8.0,Southpaw,187.96,190.5,205.0,31.0,29.0,1.0,0.0,-4.0,-8.0,5.0,-28.0,0.0,-4.0,-1.0,2.54,-2.54,2.0,-0.493846154,-0.076923077,0.0,1.0,1
1009,Rani Yahya,Russell Doane,-220.0,180.0,45.45454545,180.0,2018-02-24,"Orlando, Florida, USA", USA,Red,False,Bantamweight,MALE,3.0,0.0,1.0,0.0,19.28571429,0.408571429,0.571428571,1.428571429,0.19,2.0,4.0,14.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,Orthodox,170.18,177.8,135.0,0.0,1.0,0.0,19.38461538,0.438461538,1.307692308,2.461538462,0.361538462,4.0,4.0,32.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,9.0,Orthodox,167.64,170.18,135.0,33.0,31.0,0.0,0.0,-2.0,-6.0,0.0,-18.0,0.0,1.0,-3.0,2.54,7.62,2.0,-0.029890108999999998,-0.736263737,-1.032967033,1.0,1
1010,Eric Shelton,Alex Perez,-140.0,120.0,71.42857143,120.0,2018-02-24,"Orlando, Florida, USA", USA,Blue,False,Flyweight,MALE,3.0,0.0,1.0,0.0,24.0,0.6,3.0,2.0,0.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,167.64,165.1,135.0,0.0,1.0,0.0,49.66666667,0.47666666700000004,0.333333333,3.333333333,0.513333333,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,167.64,172.72,125.0,27.0,25.0,0.0,0.0,0.0,0.0,2.0,-7.0,0.0,0.0,1.0,0.0,-7.62,2.0,0.123333333,2.666666667,-1.333333333,1.0,0
1011,Albert Morales,Manny Bermudez,155.0,-175.0,155.0,57.14285714,2018-02-24,"Orlando, Florida, USA", USA,Blue,False,Bantamweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,177.8,180.34,135.0,2.0,0.0,0.0,51.8,0.326,0.0,0.4,0.166,1.0,4.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Orthodox,175.26,182.88,135.0,26.0,23.0,2.0,0.0,-1.0,-1.0,4.0,-14.0,0.0,0.0,0.0,2.54,-2.54,3.0,-0.326,0.0,-0.4,1.0,0
1012,Donald Cerrone,Yancy Medeiros,100.0,-120.0,100.0,83.33333333,2018-02-18,"Austin, Texas, USA", USA,Red,False,Welterweight,MALE,5.0,0.0,3.0,0.0,32.18181818,0.36272727299999996,0.363636364,0.090909091,0.090909091,3.0,5.0,20.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,6.0,Orthodox,177.8,190.5,155.0,3.0,0.0,0.0,43.65384615,0.495384615,0.384615385,0.7307692309999999,0.309615385,8.0,7.0,54.0,1.0,0.0,0.0,6.0,8.0,5.0,0.0,19.0,Orthodox,185.42,185.42,155.0,34.0,30.0,3.0,3.0,-5.0,-13.0,2.0,-34.0,-1.0,-6.0,-2.0,-7.62,5.08,4.0,-0.13265734199999998,-0.020979021,-0.63986014,1.0,1
1013,Derrick Lewis,Marcin Tybura,-110.0,-110.0,90.90909091,90.90909091,2018-02-18,"Austin, Texas, USA", USA,Red,False,Heavyweight,MALE,3.0,1.0,0.0,0.0,58.2,0.5,0.0,1.0,0.498,3.0,2.0,16.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,Orthodox,190.5,198.12,249.0,1.0,0.0,0.0,27.16666667,0.558333333,0.0,0.333333333,0.235833333,6.0,3.0,25.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,9.0,Orthodox,190.5,200.66,260.0,33.0,32.0,0.0,0.0,-3.0,-6.0,1.0,-9.0,0.0,-6.0,0.0,0.0,-2.54,1.0,-0.058333333,0.0,0.666666667,1.0,1
1014,James Vick,Francisco Trinaldo,-210.0,175.0,47.61904762,175.0,2018-02-18,"Austin, Texas, USA", USA,Red,False,Lightweight,MALE,3.0,0.0,1.0,0.0,38.6875,0.50125,0.375,0.8125,0.31625,7.0,4.0,39.0,0.0,0.0,1.0,6.0,2.0,2.0,1.0,12.0,Southpaw,175.26,177.8,155.0,0.0,3.0,0.0,35.22222222,0.321111111,0.5555555560000001,0.111111111,0.055555556,5.0,1.0,18.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,8.0,Orthodox,190.5,193.04,155.0,30.0,39.0,0.0,-2.0,2.0,4.0,-3.0,21.0,0.0,1.0,-1.0,-15.24,-15.24,-9.0,0.180138889,-0.180555556,0.7013888890000001,1.0,1
1015,Thiago Alves,Curtis Millender,-150.0,130.0,66.66666667,130.0,2018-02-18,"Austin, Texas, USA", USA,Blue,False,Welterweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,187.96,193.04,170.0,0.0,1.0,0.0,39.22727273,0.46227272700000005,0.272727273,0.545454545,0.31772727300000003,7.0,8.0,53.0,1.0,0.0,0.0,5.0,7.0,1.0,1.0,14.0,Orthodox,175.26,177.8,170.0,34.0,30.0,0.0,-1.0,-7.0,-14.0,8.0,-53.0,-1.0,-8.0,-1.0,12.7,15.24,4.0,-0.46227272700000005,-0.272727273,-0.545454545,1.0,0
1016,Steven Peterson,Brandon Davis,130.0,-150.0,130.0,66.66666667,2018-02-18,"Austin, Texas, USA", USA,Blue,False,Featherweight,MALE,3.0,1.0,0.0,0.0,38.0,0.33,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,177.8,182.88,135.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,177.8,177.8,145.0,27.0,27.0,-1.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,5.08,0.0,0.33,0.0,1.0,1.0,0
1017,Sage Northcutt,Thibault Gouti,-375.0,313.0,26.66666667,313.0,2018-02-18,"Austin, Texas, USA", USA,Red,False,Lightweight,MALE,3.0,0.0,1.0,0.0,18.5,0.285,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,177.8,182.88,155.0,0.0,1.0,0.0,30.0,0.6033333329999999,0.333333333,1.166666667,0.46666666700000003,2.0,2.0,13.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,Orthodox,182.88,180.34,170.0,21.0,30.0,0.0,0.0,-1.0,-3.0,-1.0,-7.0,0.0,0.0,-1.0,-5.08,2.54,-9.0,-0.318333333,-0.333333333,-1.166666667,1.0,1
1018,Jared Gordon,Diego Ferreira,-175.0,155.0,57.14285714,155.0,2018-02-18,"Austin, Texas, USA", USA,Blue,False,Lightweight,MALE,3.0,0.0,1.0,0.0,27.6,0.41200000000000003,0.6,0.2,0.2,2.0,2.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,Orthodox,175.26,187.96,155.0,0.0,2.0,0.0,84.0,0.515,0.0,3.0,0.47,2.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Orthodox,175.26,172.72,155.0,29.0,33.0,0.0,-1.0,0.0,1.0,-2.0,5.0,0.0,0.0,1.0,0.0,15.24,-4.0,-0.10300000000000001,0.6,-2.8,1.0,0
1019,Geoff Neal,Brian Camozzi,-210.0,175.0,47.61904762,175.0,2018-02-18,"Austin, Texas, USA", USA,Red,False,Welterweight,MALE,3.0,2.0,0.0,0.0,29.0,0.28,0.5,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,187.96,198.12,170.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,180.34,190.5,170.0,27.0,26.0,-2.0,0.0,0.0,0.0,-2.0,5.0,0.0,0.0,0.0,7.62,7.62,1.0,0.28,0.5,0.0,1.0,1
1020,Roberto Sanchez,Joby Sanchez,135.0,-145.0,135.0,68.96551724,2018-02-18,"Austin, Texas, USA", USA,Red,False,Flyweight,MALE,3.0,1.0,0.0,0.0,44.33333333,0.283333333,0.333333333,0.666666667,0.333333333,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Orthodox,167.64,172.72,135.0,1.0,0.0,0.0,2.0,0.33,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,167.64,167.64,125.0,31.0,26.0,0.0,0.0,1.0,1.0,-1.0,7.0,0.0,0.0,0.0,0.0,5.08,5.0,-0.046666667,0.333333333,-0.333333333,1.0,1
1021,Sarah Moras,Lucie Pudilova,130.0,-150.0,130.0,66.66666667,2018-02-18,"Austin, Texas, USA", USA,Blue,False,Women's Bantamweight,FEMALE,3.0,0.0,1.0,0.0,76.0,0.395,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Orthodox,172.72,170.18,125.0,0.0,1.0,0.0,12.0,0.42,0.666666667,0.333333333,0.166666667,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,Orthodox,170.18,170.18,135.0,29.0,23.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,2.54,0.0,6.0,-0.025,0.333333333,-0.333333333,1.0,0
1022,Joshua Burkman,Alex Morono,300.0,-360.0,300.0,27.77777778,2018-02-18,"Austin, Texas, USA", USA,Blue,False,Welterweight,MALE,3.0,2.0,0.0,0.0,59.25,0.3925,0.25,0.0,0.0,2.0,2.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,Orthodox,180.34,182.88,170.0,4.0,0.0,0.0,29.94444444,0.521111111,0.222222222,1.888888889,0.380555556,2.0,12.0,44.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,6.0,Orthodox,177.8,182.88,170.0,37.0,27.0,2.0,0.0,0.0,-4.0,10.0,-33.0,0.0,-1.0,-1.0,2.54,0.0,10.0,-0.128611111,0.027777778,-1.888888889,1.0,0
1023,Oskar Piechota,Tim Williams,-340.0,280.0,29.41176471,280.0,2018-02-18,"Austin, Texas, USA", USA,Red,False,Middleweight,MALE,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,187.96,193.04,185.0,0.0,1.0,0.0,56.0,0.6,3.0,1.0,0.33,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Southpaw,182.88,193.04,185.0,28.0,31.0,0.0,-1.0,-1.0,-1.0,0.0,-3.0,0.0,0.0,0.0,5.08,0.0,-3.0,-0.6,-3.0,-1.0,1.0,1
1024,Yoel Romero,Luke Rockhold,160.0,-185.0,160.0,54.05405405,2018-02-10,"Perth, Western Australia, Australia", Australia,Red,True,Middleweight,MALE,5.0,0.0,1.0,0.0,33.25,0.60125,0.75,0.625,0.2375,5.0,2.0,14.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,Southpaw,190.5,195.58,185.0,1.0,0.0,0.0,38.44444444,0.58,0.0,1.888888889,0.30111111100000004,8.0,1.0,27.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,8.0,Southpaw,182.88,185.42,185.0,40.0,33.0,1.0,1.0,-3.0,-2.0,-1.0,-13.0,1.0,-3.0,3.0,7.62,10.16,7.0,0.02125,0.75,-1.263888889,1.0,1
1025,Mark Hunt,Curtis Blaydes,165.0,-190.0,165.0,52.63157895,2018-02-10,"Perth, Western Australia, Australia", Australia,Blue,False,Heavyweight,MALE,3.0,0.0,2.0,0.0,42.4,0.52,0.0,3.8,0.5920000000000001,2.0,2.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,Orthodox,193.04,203.2,265.0,0.0,1.0,0.0,29.33333333,0.429333333,0.066666667,0.46666666700000003,0.226666667,4.0,7.0,39.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,8.0,Orthodox,177.8,182.88,265.0,43.0,26.0,0.0,1.0,-2.0,-5.0,5.0,-28.0,-1.0,-5.0,0.0,15.24,20.32,17.0,0.09066666699999999,-0.066666667,3.333333333,1.0,0
1026,Tai Tuivasa,Cyril Asker,-275.0,235.0,36.36363636,235.0,2018-02-10,"Perth, Western Australia, Australia", Australia,Red,False,Heavyweight,MALE,3.0,0.0,1.0,0.0,13.5,0.36,0.25,1.25,0.5,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Orthodox,182.88,187.96,247.0,0.0,1.0,0.0,22.0,0.61,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Southpaw,187.96,190.5,264.0,24.0,32.0,0.0,0.0,0.0,1.0,-2.0,4.0,0.0,0.0,1.0,-5.08,-2.54,-8.0,-0.25,0.25,1.25,1.0,1
1027,Jake Matthews,Li Jingliang,125.0,-145.0,125.0,68.96551724,2018-02-10,"Perth, Western Australia, Australia", Australia,Red,False,Welterweight,MALE,3.0,0.0,3.0,0.0,37.85714286,0.424285714,0.0,0.857142857,0.368571429,3.0,2.0,14.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,Orthodox,182.88,180.34,170.0,0.0,1.0,0.0,29.375,0.4375,0.5,1.75,0.38125,2.0,3.0,18.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0,Orthodox,180.34,185.42,170.0,23.0,29.0,0.0,2.0,1.0,0.0,1.0,-4.0,0.0,3.0,-3.0,2.54,-5.08,-6.0,-0.013214286,-0.5,-0.892857143,1.0,1
1028,Tyson Pedro,Saparbeg Safarov,-300.0,250.0,33.33333333,250.0,2018-02-10,"Perth, Western Australia, Australia", Australia,Red,False,Light Heavyweight,MALE,3.0,1.0,0.0,0.0,37.0,0.28,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,185.42,198.12,205.0,1.0,0.0,0.0,19.33333333,0.596666667,0.333333333,0.666666667,0.333333333,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,Orthodox,190.5,200.66,205.0,26.0,31.0,0.0,0.0,-2.0,-2.0,0.0,-3.0,0.0,-1.0,-1.0,-5.08,-2.54,-5.0,-0.316666667,-0.333333333,-0.666666667,1.0,1
