R_fighter,B_fighter,R_odds,B_odds,date,location,country,Winner,title_bout,weight_class,gender
Khalil Rountree Jr.,Johnny Walker,-155,135,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Blue,FALSE,Light Heavyweight,MALE
Cezar Ferreira,Ian Heinisch,-185,160,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Blue,FALSE,Middleweight,MALE
Guido Cannetti,Marlon Vera,260,-320,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Blue,FALSE,Bantamweight,MALE
Cynthia Calvillo,Poliana Botelho,150,-170,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Red,FALSE,Women's Strawweight,FEMALE
Michel Prazeres,Bartosz Fabinski,-145,125,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Red,FALSE,Welterweight,MALE
Alexandre Pantoja,Ulka Sasaki,-320,260,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Red,FALSE,Flyweight,MALE
Humberto Bandenay,Austin Arnett,-235,195,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Blue,FALSE,Featherweight,MALE
Laureano Staropoli,Hector Aldana,100,-120,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Red,FALSE,Welterweight,MALE
Devin Powell,Jesus Pinedo,200,-240,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Blue,FALSE,Lightweight,MALE
Nad Narimani,Anderson Dos Santos,-420,335,11/17/2018,"Buenos Aires, Buenos Aires, Argentina", Argentina,Red,FALSE,Featherweight,MALE
Chan Sung Jung,Yair Rodriguez,110,-130,11/10/2018,"Denver, Colorado, USA", USA,Blue,FALSE,Featherweight,MALE
Donald Cerrone,Mike Perry,170,-200,11/10/2018,"Denver, Colorado, USA", USA,Red,FALSE,Welterweight,MALE
Raquel Pennington,Germaine de Randamie,180,-220,11/10/2018,"Denver, Colorado, USA", USA,Blue,FALSE,Women's Bantamweight,FEMALE
Beneil Dariush,Thiago Moises,-160,140,11/10/2018,"Denver, Colorado, USA", USA,Red,FALSE,Lightweight,MALE
Maycee Barber,Hannah Cifers,-470,375,11/10/2018,"Denver, Colorado, USA", USA,Red,FALSE,Women's Strawweight,FEMALE
Michael Trizano,Luis Pena,145,-165,11/10/2018,"Denver, Colorado, USA", USA,Red,FALSE,Lightweight,MALE
Ashley Yoder,Amanda Cooper,-140,120,11/10/2018,"Denver, Colorado, USA", USA,Red,FALSE,Women's Strawweight,FEMALE
Chas Skelly,Bobby Moffett,100,-120,11/10/2018,"Denver, Colorado, USA", USA,Blue,FALSE,Featherweight,MALE
Davi Ramos,John Gunther,-1000,650,11/10/2018,"Denver, Colorado, USA", USA,Red,FALSE,Lightweight,MALE
Devonte Smith,Julian Erosa,-230,210,11/10/2018,"Denver, Colorado, USA", USA,Red,FALSE,Lightweight,MALE
Joseph Morales,Eric Shelton,125,-145,11/10/2018,"Denver, Colorado, USA", USA,Blue,FALSE,Flyweight,MALE
Mark De La Rosa,Joby Sanchez,-230,190,11/10/2018,"Denver, Colorado, USA", USA,Red,FALSE,Bantamweight,MALE
Daniel Cormier,Derrick Lewis,-380,315,11/3/2018,"New York City, New York, USA", USA,Red,TRUE,Heavyweight,MALE
Chris Weidman,Jacare Souza,-160,140,11/3/2018,"New York City, New York, USA", USA,Blue,FALSE,Middleweight,MALE
David Branch,Jared Cannonier,-325,265,11/3/2018,"New York City, New York, USA", USA,Blue,FALSE,Middleweight,MALE
Karl Roberson,Jack Marshman,-325,265,11/3/2018,"New York City, New York, USA", USA,Red,FALSE,Middleweight,MALE
Derek Brunson,Israel Adesanya,245,-290,11/3/2018,"New York City, New York, USA", USA,Blue,FALSE,Middleweight,MALE
Jason Knight,Jordan Rinaldi,-300,250,11/3/2018,"New York City, New York, USA", USA,Blue,FALSE,Featherweight,MALE
Sijara Eubanks,Roxanne Modafferi,-600,450,11/3/2018,"New York City, New York, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Julio Arce,Sheymon Moraes,-255,215,11/3/2018,"New York City, New York, USA", USA,Blue,FALSE,Featherweight,MALE
Lyman Good,Ben Saunders,-630,465,11/3/2018,"New York City, New York, USA", USA,Red,FALSE,Welterweight,MALE
Matt Frevola,Lando Vannata,200,-240,11/3/2018,"New York City, New York, USA", USA,Draw,FALSE,Lightweight,MALE
Shane Burgos,Kurt Holobaugh,-400,325,11/3/2018,"New York City, New York, USA", USA,Red,FALSE,Featherweight,MALE
Adam Wieczorek,Marcos Rogerio de Lima,-170,150,11/3/2018,"New York City, New York, USA", USA,Blue,FALSE,Heavyweight,MALE
Volkan Oezdemir,Anthony Smith,-160,140,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Blue,FALSE,Light Heavyweight,MALE
Michael Johnson,Artem Lobov,-700,500,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Red,FALSE,Featherweight,MALE
Misha Cirkunov,Patrick Cummins,-345,285,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Red,FALSE,Light Heavyweight,MALE
Andre Soukhamthath,Jonathan Martinez,-140,120,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Red,FALSE,Bantamweight,MALE
Gian Villante,Ed Herman,-235,195,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Red,FALSE,Light Heavyweight,MALE
Alex Garcia,Court McGee,-245,205,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Blue,FALSE,Welterweight,MALE
Nordine Taleb,Sean Strickland,-120,100,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Blue,FALSE,Welterweight,MALE
Thibault Gouti,Nasrat Haqparast,600,-750,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Blue,FALSE,Lightweight,MALE
Calvin Kattar,Chris Fishgold,-200,170,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Red,FALSE,Featherweight,MALE
Sarah Moras,Talita Bernardo,-170,150,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Blue,FALSE,Women's Bantamweight,FEMALE
Te Edwards,Don Madge,-450,360,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Blue,FALSE,Lightweight,MALE
Arjan Bhullar,Marcelo Golm,-160,140,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Red,FALSE,Heavyweight,MALE
Stevie Ray,Jessin Ayari,-160,140,10/27/2018,"Moncton, New Brunswick, Canada", Canada,Red,FALSE,Lightweight,MALE
Khabib Nurmagomedov,Conor McGregor,-190,165,10/6/2018,"Las Vegas, Nevada, USA", USA,Red,TRUE,Lightweight,MALE
Tony Ferguson,Anthony Pettis,-355,295,10/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE
Ovince Saint Preux,Dominick Reyes,190,-230,10/6/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Light Heavyweight,MALE
Derrick Lewis,Alexander Volkov,135,-155,10/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Heavyweight,MALE
Michelle Waterson,Felice Herrig,115,-135,10/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Strawweight,FEMALE
Sergio Pettis,Jussier Formiga,-190,165,10/6/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Flyweight,MALE
Vicente Luque,Jalin Turner,-700,500,10/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE
Aspen Ladd,Tonya Evinger,-185,160,10/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE
Scott Holtzman,Alan Patrick,260,-320,10/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE
Lina Lansberg,Yana Kunitskaya,205,-245,10/6/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Women's Bantamweight,FEMALE
Gray Maynard,Nik Lentz,190,-230,10/6/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Lightweight,MALE
Ryan LaFlare,Anthony Rocco Martin,-125,105,10/6/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE
Thiago Santos,Eryk Anders,-200,170,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Light Heavyweight,MALE
Alex Oliveira,Carlo Pedersoli,-500,400,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Welterweight,MALE
Sam Alvey,Rogerio Nogueira,-350,290,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Light Heavyweight,MALE
Renan Barao,Andre Ewell,-200,170,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Bantamweight,MALE
Randa Markos,Marina Rodriguez,115,-135,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Draw,FALSE,Women's Strawweight,FEMALE
Charles Oliveira,Christos Giagos,-470,375,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Lightweight,MALE
Francisco Trinaldo,Evan Dunham,-165,145,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Lightweight,MALE
Luis Henrique,Ryan Spann,-105,-115,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Blue,FALSE,Light Heavyweight,MALE
Augusto Sakai,Chase Sherman,-230,190,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Heavyweight,MALE
Sergio Moraes,Ben Saunders,-275,235,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Welterweight,MALE
Mayra Bueno Silva,Gillian Robertson,120,-140,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Women's Flyweight,FEMALE
Thales Leites,Hector Lombard,-160,140,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Middleweight,MALE
Elizeu Zaleski dos Santos,Luigi Vendramini,-1000,650,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Welterweight,MALE
Livinha Souza,Alex Chambers,-1500,1000,9/22/2018,"Sao Paulo, Sao Paulo, Brazil", Brazil,Red,FALSE,Women's Strawweight,FEMALE
Mark Hunt,Aleksei Oleinik,-120,100,9/15/2018,"Moscow, Moscow, Russia", Russia,Blue,FALSE,Heavyweight,MALE
Jan Blachowicz,Nikita Krylov,125,-145,9/15/2018,"Moscow, Moscow, Russia", Russia,Red,FALSE,Light Heavyweight,MALE
Andrei Arlovski,Shamil Abdurakhimov,120,-140,9/15/2018,"Moscow, Moscow, Russia", Russia,Blue,FALSE,Heavyweight,MALE
Aleksei Kunchenko,Thiago Alves,-440,350,9/15/2018,"Moscow, Moscow, Russia", Russia,Red,FALSE,Welterweight,MALE
Khalid Murtazaliev,CB Dollaway,-165,145,9/15/2018,"Moscow, Moscow, Russia", Russia,Red,FALSE,Middleweight,MALE
Petr Yan,Jin Soo Son,-1200,775,9/15/2018,"Moscow, Moscow, Russia", Russia,Red,FALSE,Bantamweight,MALE
Rustam Khabilov,Kajan Johnson,-840,570,9/15/2018,"Moscow, Moscow, Russia", Russia,Red,FALSE,Lightweight,MALE
Mairbek Taisumov,Desmond Green,-600,450,9/15/2018,"Moscow, Moscow, Russia", Russia,Red,FALSE,Lightweight,MALE
Magomed Ankalaev,Marcin Prachnio,-560,430,9/15/2018,"Moscow, Moscow, Russia", Russia,Red,FALSE,Light Heavyweight,MALE
Adam Yandiev,Jordan Johnson,240,-280,9/15/2018,"Moscow, Moscow, Russia", Russia,Blue,FALSE,Middleweight,MALE
Ramazan Emeev,Stefan Sekulic,-680,490,9/15/2018,"Moscow, Moscow, Russia", Russia,Red,FALSE,Welterweight,MALE
Merab Dvalishvili,Terrion Ware,-550,425,9/15/2018,"Moscow, Moscow, Russia", Russia,Red,FALSE,Bantamweight,MALE
Tyron Woodley,Darren Till,-105,-115,9/8/2018,"Dallas, Texas, USA", USA,Red,TRUE,Welterweight,MALE
Jessica Andrade,Karolina Kowalkiewicz,-450,360,9/8/2018,"Dallas, Texas, USA", USA,Red,FALSE,Women's Strawweight,FEMALE
Zabit Magomedsharipov,Brandon Davis,-1375,900,9/8/2018,"Dallas, Texas, USA", USA,Red,FALSE,Featherweight,MALE
Jimmie Rivera,John Dodson,-150,130,9/8/2018,"Dallas, Texas, USA", USA,Red,FALSE,Bantamweight,MALE
Abdul Razak Alhassan,Niko Price,-110,-110,9/8/2018,"Dallas, Texas, USA", USA,Red,FALSE,Welterweight,MALE
Carla Esparza,Tatiana Suarez,335,-420,9/8/2018,"Dallas, Texas, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE
Aljamain Sterling,Cody Stamann,-170,150,9/8/2018,"Dallas, Texas, USA", USA,Red,FALSE,Bantamweight,MALE
Geoff Neal,Frank Camacho,-210,175,9/8/2018,"Dallas, Texas, USA", USA,Red,FALSE,Welterweight,MALE
Charles Byrd,Darren Stewart,-170,150,9/8/2018,"Dallas, Texas, USA", USA,Blue,FALSE,Middleweight,MALE
Diego Sanchez,Craig White,175,-210,9/8/2018,"Dallas, Texas, USA", USA,Red,FALSE,Welterweight,MALE
Jim Miller,Alex White,155,-175,9/8/2018,"Dallas, Texas, USA", USA,Red,FALSE,Lightweight,MALE
Irene Aldana,Lucie Pudilova,-110,-110,9/8/2018,"Dallas, Texas, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE
Roberto Sanchez,Jarred Brooks,175,-190,9/8/2018,"Dallas, Texas, USA", USA,Blue,FALSE,Flyweight,MALE
Justin Gaethje,James Vick,120,-140,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Lightweight,MALE
Michael Johnson,Andre Fili,100,-120,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Featherweight,MALE
Cortney Casey,Angela Hill,115,-135,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Women's Strawweight,FEMALE
Jake Ellenberger,Bryan Barberena,335,-420,8/25/2018,"Lincoln, Nebraska, USA", USA,Blue,FALSE,Welterweight,MALE
John Moraga,Deiveson Figueiredo,150,-170,8/25/2018,"Lincoln, Nebraska, USA", USA,Blue,FALSE,Flyweight,MALE
Eryk Anders,Tim Williams,-1200,775,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Middleweight,MALE
James Krause,Warlley Alves,270,-330,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Welterweight,MALE
Cory Sandhagen,Iuri Alcantara,-200,170,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Bantamweight,MALE
Andrew Sanchez,Markus Perez,-140,120,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Middleweight,MALE
Mickey Gall,George Sullivan,-325,295,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Welterweight,MALE
Joanne Calderwood,Kalindra Faria,-185,160,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Drew Dober,Jon Tuck,-240,200,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Lightweight,MALE
Rani Yahya,Luke Sanders,-105,-115,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,FALSE,Bantamweight,MALE
TJ Dillashaw,Cody Garbrandt,-125,105,8/4/2018,"Los Angeles, California, USA", USA,Red,TRUE,Bantamweight,MALE
Demetrious Johnson,Henry Cejudo,-470,375,8/4/2018,"Los Angeles, California, USA", USA,Blue,TRUE,Flyweight,MALE
Cub Swanson,Renato Moicano,250,-300,8/4/2018,"Los Angeles, California, USA", USA,Blue,FALSE,Featherweight,MALE
Polyana Viana,JJ Aldrich,-155,135,8/4/2018,"Los Angeles, California, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE
Thiago Santos,Kevin Holland,-340,280,8/4/2018,"Los Angeles, California, USA", USA,Red,FALSE,Middleweight,MALE
Pedro Munhoz,Brett Johns,-210,175,8/4/2018,"Los Angeles, California, USA", USA,Red,FALSE,Bantamweight,MALE
Ricky Simon,Montel Jackson,105,-125,8/4/2018,"Los Angeles, California, USA", USA,Red,FALSE,Bantamweight,MALE
Ricardo Ramos,Kyung Ho Kang,-275,235,8/4/2018,"Los Angeles, California, USA", USA,Red,FALSE,Bantamweight,MALE
Matt Sayles,Sheymon Moraes,-140,120,8/4/2018,"Los Angeles, California, USA", USA,Blue,FALSE,Featherweight,MALE
Alex Perez,Jose Torres,-120,100,8/4/2018,"Los Angeles, California, USA", USA,Red,FALSE,Flyweight,MALE
Danielle Taylor,Weili Zhang,260,-320,8/4/2018,"Los Angeles, California, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE
Marlon Vera,Wuliji Buren,-470,375,8/4/2018,"Los Angeles, California, USA", USA,Red,FALSE,Bantamweight,MALE
Eddie Alvarez,Dustin Poirier,135,-155,7/28/2018,"Calgary, Alberta, Canada", Canada,Blue,FALSE,Lightweight,MALE
Jose Aldo,Jeremy Stephens,100,-120,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,FALSE,Featherweight,MALE
Joanna Jedrzejczyk,Tecia Torres,-320,260,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,FALSE,Women's Strawweight,FEMALE
Alexander Hernandez,Olivier Aubin-Mercier,-110,-110,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,FALSE,Lightweight,MALE
Jordan Mein,Alex Morono,-150,130,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,FALSE,Welterweight,MALE
Hakeem Dawodu,Austin Arnett,-470,375,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,FALSE,Featherweight,MALE
Kajan Johnson,Islam Makhachev,450,-600,7/28/2018,"Calgary, Alberta, Canada", Canada,Blue,FALSE,Lightweight,MALE
Gadzhimurad Antigulov,Ion Cutelaba,115,-135,7/28/2018,"Calgary, Alberta, Canada", Canada,Blue,FALSE,Light Heavyweight,MALE
John Makdessi,Ross Pearson,-235,195,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,FALSE,Lightweight,MALE
Alexis Davis,Katlyn Chookagian,140,-160,7/28/2018,"Calgary, Alberta, Canada", Canada,Blue,FALSE,Women's Flyweight,FEMALE
Dustin Ortiz,Matheus Nicolau,170,-200,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,FALSE,Flyweight,MALE
Randa Markos,Nina Ansaroff,120,-140,7/28/2018,"Calgary, Alberta, Canada", Canada,Blue,FALSE,Women's Strawweight,FEMALE
Devin Powell,Alvaro Herrera,-105,-115,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,FALSE,Lightweight,MALE
Mauricio Rua,Anthony Smith,-150,130,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,FALSE,Light Heavyweight,MALE
Glover Teixeira,Corey Anderson,-120,100,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,FALSE,Light Heavyweight,MALE
Vitor Miranda,Abu Azaitar,175,-210,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,FALSE,Middleweight,MALE
Marcin Tybura,Stefan Struve,-190,165,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Red,FALSE,Heavyweight,MALE
Danny Roberts,David Zawada,-210,175,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Red,FALSE,Welterweight,MALE
Nasrat Haqparast,Marc Diakiese,140,-160,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Red,FALSE,Lightweight,MALE
Nick Hein,Damir Hadzovic,-150,130,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,FALSE,Lightweight,MALE
Emil Meek,Bartosz Fabinski,-140,120,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,FALSE,Welterweight,MALE
Khalid Taha,Nad Narimani,180,-220,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,FALSE,Featherweight,MALE
Justin Ledet,Aleksandar Rakic,-105,-115,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,FALSE,Light Heavyweight,MALE
Davey Grant,Manny Bermudez,260,-320,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,FALSE,Bantamweight,MALE
Jeremy Kimball,Darko Stosic,190,-230,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,FALSE,Light Heavyweight,MALE
Damian Stasiak,Liu Pingyuan,-125,105,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,FALSE,Bantamweight,MALE
Junior Dos Santos,Blagoy Ivanov,-190,165,7/14/2018,"Boise, Idaho, USA", USA,Red,FALSE,Heavyweight,MALE
Sage Northcutt,Zak Ottow,-125,-105,7/14/2018,"Boise, Idaho, USA", USA,Red,FALSE,Welterweight,MALE
Dennis Bermudez,Rick Glenn,-185,160,7/14/2018,"Boise, Idaho, USA", USA,Blue,FALSE,Featherweight,MALE
Randy Brown,Niko Price,-130,110,7/14/2018,"Boise, Idaho, USA", USA,Blue,FALSE,Welterweight,MALE
Myles Jury,Chad Mendes,100,-120,7/14/2018,"Boise, Idaho, USA", USA,Blue,FALSE,Featherweight,MALE
Cat Zingano,Marion Reneau,-110,-110,7/14/2018,"Boise, Idaho, USA", USA,Red,FALSE,Women's Bantamweight,FEMALE
Eddie Wineland,Alejandro Perez,155,-175,7/14/2018,"Boise, Idaho, USA", USA,Blue,FALSE,Bantamweight,MALE
Darren Elkins,Alexander Volkanovski,180,-220,7/14/2018,"Boise, Idaho, USA", USA,Blue,FALSE,Featherweight,MALE
Justin Scoggins,Said Nurmagomedov,-105,-115,7/14/2018,"Boise, Idaho, USA", USA,Blue,FALSE,Flyweight,MALE
Kurt Holobaugh,Raoni Barcelos,-165,145,7/14/2018,"Boise, Idaho, USA", USA,Blue,FALSE,Featherweight,MALE
Liz Carmouche,Jennifer Maia,-115,-105,7/14/2018,"Boise, Idaho, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Mark De La Rosa,Elias Garcia,115,-135,7/14/2018,"Boise, Idaho, USA", USA,Red,FALSE,Flyweight,MALE
Jessica Aguilar,Jodie Esquibel,150,-170,7/14/2018,"Boise, Idaho, USA", USA,Red,FALSE,Women's Strawweight,FEMALE
Stipe Miocic,Daniel Cormier,-160,140,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,TRUE,Heavyweight,MALE
Francis Ngannou,Derrick Lewis,-310,255,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Heavyweight,MALE
Paul Felder,Mike Perry,-170,150,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Welterweight,MALE
Michael Chiesa,Anthony Pettis,-175,155,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Lightweight,MALE
Gokhan Saki,Khalil Rountree Jr.,-160,140,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Light Heavyweight,MALE
Uriah Hall,Paulo Costa,245,-290,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Middleweight,MALE
Raphael Assuncao,Rob Font,-140,120,7/7/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Bantamweight,MALE
Lando Vannata,Drakkar Klose,-200,170,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Lightweight,MALE
Curtis Millender,Max Griffin,-170,150,7/7/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Welterweight,MALE
Dan Hooker,Gilbert Burns,-115,-105,7/7/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE
Jamie Moyle,Emily Whitmire,-185,160,7/7/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Women's Strawweight,FEMALE
Brad Tavares,Israel Adesanya,-105,-115,7/6/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Middleweight,MALE
Michael Trizano,Joe Giannetti,130,-150,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,TRUE,Lightweight,MALE
Jay Cucciniello,Brad Katona,220,-260,7/6/2018,"Las Vegas, Nevada, USA", USA,Blue,TRUE,Featherweight,MALE
Alex Caceres,Martin Bravo,-130,110,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Featherweight,MALE
Roxanne Modafferi,Barb Honchak,130,-150,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Alessio Di Chirico,Julian Marquez,115,-135,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Middleweight,MALE
Montana De La Rosa,Rachael Ostovich,-145,125,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Women's Flyweight,FEMALE
Luis Pena,Richie Smullen,-380,315,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE
John Gunther,Allan Zuniga,-130,110,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Lightweight,MALE
Tyler Diamond,Bryce Mitchell,120,-140,7/6/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Featherweight,MALE
Matt Bessette,Steven Peterson,-125,105,7/6/2018,"Las Vegas, Nevada, USA", USA,Blue,FALSE,Featherweight,MALE
Gerald Meerschaert,Oskar Piechota,180,-220,7/6/2018,"Las Vegas, Nevada, USA", USA,Red,FALSE,Middleweight,MALE
Donald Cerrone,Leon Edwards,215,-255,6/23/2018,"Kallang, Singapore", Singapore,Blue,FALSE,Welterweight,MALE
Ovince Saint Preux,Tyson Pedro,125,-145,6/23/2018,"Kallang, Singapore", Singapore,Red,FALSE,Light Heavyweight,MALE
Jessica-Rose Clark,Jessica Eye,-165,145,6/23/2018,"Kallang, Singapore", Singapore,Blue,FALSE,Women's Flyweight,FEMALE
Li Jingliang,Daichi Abe,-245,205,6/23/2018,"Kallang, Singapore", Singapore,Red,FALSE,Welterweight,MALE
Teruto Ishihara,Petr Yan,450,-600,6/23/2018,"Kallang, Singapore", Singapore,Blue,FALSE,Bantamweight,MALE
Felipe Arantes,Song Yadong,-105,-115,6/23/2018,"Kallang, Singapore", Singapore,Blue,FALSE,Bantamweight,MALE
Rolando Dy,Shane Young,145,-165,6/23/2018,"Kallang, Singapore", Singapore,Blue,FALSE,Featherweight,MALE
Song Kenan,Hector Aldana,-290,245,6/23/2018,"Kallang, Singapore", Singapore,Red,FALSE,Welterweight,MALE
Shinsho Anzai,Jake Matthews,450,-600,6/23/2018,"Kallang, Singapore", Singapore,Blue,FALSE,Welterweight,MALE
Viviane Pereira,Yan Xiaonan,-165,145,6/23/2018,"Kallang, Singapore", Singapore,Blue,FALSE,Women's Strawweight,FEMALE
Matt Schnell,Naoki Inoue,165,-190,6/23/2018,"Kallang, Singapore", Singapore,Red,FALSE,Flyweight,MALE
Jenel Lausa,Ulka Sasaki,200,-240,6/23/2018,"Kallang, Singapore", Singapore,Blue,FALSE,Flyweight,MALE
Ji Yeon Kim,Melinda Fabian,-170,150,6/23/2018,"Kallang, Singapore", Singapore,Red,FALSE,Women's Flyweight,FEMALE
Robert Whittaker,Yoel Romero,-275,235,6/9/2018,"Chicago, Illinois, USA", USA,Red,FALSE,Middleweight,MALE
Rafael Dos Anjos,Colby Covington,115,-135,6/9/2018,"Chicago, Illinois, USA", USA,Blue,TRUE,Welterweight,MALE
Holly Holm,Megan Anderson,-145,125,6/9/2018,"Chicago, Illinois, USA", USA,Red,FALSE,Women's Featherweight,FEMALE
Andrei Arlovski,Tai Tuivasa,190,-230,6/9/2018,"Chicago, Illinois, USA", USA,Blue,FALSE,Heavyweight,MALE
CM Punk,Mike Jackson,165,-190,6/9/2018,"Chicago, Illinois, USA", USA,Blue,FALSE,Welterweight,MALE
