R_fighter,B_fighter,finish,finish_details,date
Glover Teixeira,Jared Cannonier,U-DEC,,2/11/2017
Dustin Poirier,Jim Miller,M-DEC,,2/11/2017
Belal Muhammad,Randy Brown,U-DEC,,2/11/2017
Wilson Reis,Yuta Sasaki,U-DEC,,2/11/2017
Islam Makhachev,Nik Lentz,U-DEC,,2/11/2017
Rick Glenn,Phillipe Nover,S-DEC,,2/11/2017
Ryan LaFlare,Roan Carneiro,U-DEC,,2/11/2017
Chan Sung Jung,Dennis Bermudez,KO/TKO,Punch,2/4/2017
Felice Herrig,Alexa Grasso,U-DEC,,2/4/2017
James Vick,Abel Trujillo,SUB,D'Arce Choke,2/4/2017
Volkan Oezdemir,Ovince Saint Preux,S-DEC,,2/4/2017
Marcel Fortuna,Anthony Hamilton,KO/TKO,Punch,2/4/2017
Jessica Andrade,Angela Hill,U-DEC,,2/4/2017
Adam Milstead,Curtis Blaydes,Overturned,,2/4/2017
Chas Skelly,Chris Gruetzemacher,SUB,Rear Naked Choke,2/4/2017
Ricardo Ramos,Michinori Tanaka,U-DEC,,2/4/2017
Tecia Torres,Bec Rawlings,U-DEC,,2/4/2017
Alex Morono,Niko Price,Overturned,Punch,2/4/2017
Khalil Rountree Jr.,Daniel Jolly,KO/TKO,Knees,2/4/2017
Valentina Shevchenko,Julianna Pena,SUB,Armbar,1/28/2017
Jorge Masvidal,Donald Cerrone,KO/TKO,Punches,1/28/2017
Francis Ngannou,Andrei Arlovski,KO/TKO,Punch,1/28/2017
Jason Knight,Alex Caceres,SUB,Rear Naked Choke,1/28/2017
Sam Alvey,Nate Marquardt,U-DEC,,1/28/2017
Raphael Assuncao,Aljamain Sterling,S-DEC,,1/28/2017
Jingliang Li,Bobby Nash,KO/TKO,Punch,1/28/2017
Jordan Johnson,Henrique da Silva,U-DEC,,1/28/2017
Eric Spicely,Alessio Di Chirico,SUB,Triangle Choke,1/28/2017
Marcos Rogerio de Lima,Jeremy Kimball,KO/TKO,Punches,1/28/2017
Alexandre Pantoja,Eric Shelton,S-DEC,,1/28/2017
Jason Gonzalez,JC Cottrell,SUB,D'Arce Choke,1/28/2017
Yair Rodriguez,BJ Penn,KO/TKO,Punches,1/15/2017
Joe Lauzon,Marcin Held,S-DEC,,1/15/2017
Ben Saunders,Court McGee,U-DEC,,1/15/2017
Sergio Pettis,John Moraga,U-DEC,,1/15/2017
Drakkar Klose,Devin Powell,U-DEC,,1/15/2017
Augusto Mendes,Frankie Saenz,S-DEC,,1/15/2017
Aleksei Oleinik,Viktor Pesta,SUB,Other - Choke,1/15/2017
Anthony Rocco Martin,Alex White,U-DEC,,1/15/2017
Nina Ansaroff,Jocelyn Jones-Lybarger,SUB,Rear Naked Choke,1/15/2017
Walt Harris,Chase Sherman,KO/TKO,Knee,1/15/2017
Joachim Christensen,Bojan Mihajlovic,KO/TKO,Punches,1/15/2017
Cyril Asker,Dmitrii Smoliakov,KO/TKO,Punches,1/15/2017
Amanda Nunes,Ronda Rousey,KO/TKO,Punches,12/30/2016
Cody Garbrandt,Dominick Cruz,U-DEC,,12/30/2016
TJ Dillashaw,John Lineker,U-DEC,,12/30/2016
Dong Hyun Kim,Tarec Saffiedine,S-DEC,,12/30/2016
Ray Borg,Louis Smolka,U-DEC,,12/30/2016
Neil Magny,Johny Hendricks,U-DEC,,12/30/2016
Antonio Carlos Junior,Marvin Vettori,U-DEC,,12/30/2016
Alex Garcia,Mike Pyle,KO/TKO,Punch,12/30/2016
Niko Price,Brandon Thatch,SUB,Arm Triangle,12/30/2016
Alex Oliveira,Tim Means,CNC,,12/30/2016
Michelle Waterson,Paige VanZant,SUB,Rear Naked Choke,12/17/2016
Mickey Gall,Sage Northcutt,SUB,Rear Naked Choke,12/17/2016
Urijah Faber,Brad Pickett,U-DEC,,12/17/2016
Alan Jouban,Mike Perry,U-DEC,,12/17/2016
Paul Craig,Henrique da Silva,SUB,Armbar,12/17/2016
Mizuto Hirota,Cole Miller,U-DEC,,12/17/2016
Colby Covington,Bryan Barberena,U-DEC,,12/17/2016
Alex Morono,James Moontasri,U-DEC,,12/17/2016
Josh Emmett,Scott Holtzman,U-DEC,,12/17/2016
Leslie Smith,Irene Aldana,U-DEC,,12/17/2016
Eddie Wineland,Takeya Mizugaki,KO/TKO,Punches,12/17/2016
Hector Sandoval,Fredy Serrano,U-DEC,,12/17/2016
Sultan Aliev,Bojan Velickovic,S-DEC,,12/17/2016
Max Holloway,Anthony Pettis,KO/TKO,Punches,12/10/2016
Donald Cerrone,Matt Brown,KO/TKO,Kick,12/10/2016
Cub Swanson,Dooho Choi,U-DEC,,12/10/2016
Kelvin Gastelum,Tim Kennedy,KO/TKO,Punches,12/10/2016
Emil Meek,Jordan Mein,U-DEC,,12/10/2016
Misha Cirkunov,Nikita Krylov,SUB,Guillotine Choke,12/10/2016
Olivier Aubin-Mercier,Drew Dober,SUB,Rear Naked Choke,12/10/2016
Viviane Pereira,Valerie Letourneau,S-DEC,,12/10/2016
Matthew Lopez,Mitch Gagnon,U-DEC,,12/10/2016
Lando Vannata,John Makdessi,KO/TKO,Kick,12/10/2016
Rustam Khabilov,Jason Saggo,U-DEC,,12/10/2016
Dustin Ortiz,Zach Makovsky,S-DEC,,12/10/2016
Derrick Lewis,Shamil Abdurakhimov,KO/TKO,Punches,12/9/2016
Francis Ngannou,Anthony Hamilton,SUB,Kimura,12/9/2016
Corey Anderson,Sean O'Connell,KO/TKO,Punches,12/9/2016
Gian Villante,Saparbeg Safarov,KO/TKO,Punches,12/9/2016
Justine Kish,Ashley Yoder,U-DEC,,12/9/2016
Randy Brown,Brian Camozzi,KO/TKO,Knee,12/9/2016
Gerald Meerschaert,Joseph Gigliotti,SUB,Anaconda Choke,12/9/2016
Andrew Sanchez,Trevor Smith,U-DEC,,12/9/2016
Shane Burgos,Tiago dos Santos e Silva,U-DEC,,12/9/2016
Marc Diakiese,Frankie Perez,U-DEC,,12/9/2016
Ryan Janes,Keith Berish,U-DEC,,12/9/2016
Juliana Lima,JJ Aldrich,U-DEC,,12/9/2016
Demetrious Johnson,Tim Elliott,U-DEC,,12/3/2016
Joseph Benavidez,Henry Cejudo,S-DEC,,12/3/2016
Jorge Masvidal,Jake Ellenberger,KO/TKO,Punches,12/3/2016
Jared Cannonier,Ion Cutelaba,U-DEC,,12/3/2016
Sara McMann,Alexis Davis,SUB,Arm Triangle,12/3/2016
Brandon Moreno,Ryan Benoit,S-DEC,,12/3/2016
Ryan Hall,Gray Maynard,U-DEC,,12/3/2016
Rob Font,Matt Schnell,KO/TKO,Punch,12/3/2016
Dong Hyun Ma,Brendan O'Reilly,U-DEC,,12/3/2016
Jamie Moyle,Kailin Curran,U-DEC,,12/3/2016
Anthony Smith,Elvis Mutapcic,KO/TKO,Elbow,12/3/2016
Devin Clark,Josh Stansbury,U-DEC,,12/3/2016
Robert Whittaker,Derek Brunson,KO/TKO,Kick,11/26/2016
Andrew Holbrook,Jake Matthews,S-DEC,,11/26/2016
Omari Akhmedov,Kyle Noke,U-DEC,,11/26/2016
Alexander Volkanovski,Yusuke Kasuya,KO/TKO,Punches,11/26/2016
Tyson Pedro,Khalil Rountree Jr.,SUB,Rear Naked Choke,11/26/2016
Danielle Taylor,Seo Hee Ham,S-DEC,,11/26/2016
Daniel Kelly,Chris Camozzi,U-DEC,,11/26/2016
Damien Brown,Jon Tuck,S-DEC,,11/26/2016
Jonathan Meunier,Richard Walsh,U-DEC,,11/26/2016
Ben Nguyen,Geane Herrera,U-DEC,,11/26/2016
Jason Knight,Dan Hooker,U-DEC,,11/26/2016
Marlon Vera,Guangyou Ning,U-DEC,,11/26/2016
Jenel Lausa,Yao Zhikui,U-DEC,,11/26/2016
Ryan Bader,Rogerio Nogueira,KO/TKO,Punches,11/19/2016
Thomas Almeida,Albert Morales,KO/TKO,Punches,11/19/2016
Claudia Gadelha,Cortney Casey,U-DEC,,11/19/2016
Krzysztof Jotko,Thales Leites,U-DEC,,11/19/2016
Kamaru Usman,Warlley Alves,U-DEC,,11/19/2016
Sergio Moraes,Zak Ottow,S-DEC,,11/19/2016
Cezar Ferreira,Jack Hermansson,SUB,Arm Triangle,11/19/2016
Gadzhimurad Antigulov,Marcos Rogerio de Lima,SUB,Guillotine Choke,11/19/2016
Johnny Eduardo,Manvel Gamburyan,KO/TKO,Punch,11/19/2016
Luis Henrique,Christian Colombo,SUB,Guillotine Choke,11/19/2016
Pedro Munhoz,Justin Scoggins,SUB,Guillotine Choke,11/19/2016
Francimar Barroso,Darren Stewart,Overturned,,11/19/2016
Gegard Mousasi,Uriah Hall,KO/TKO,Punches,11/19/2016
Stevie Ray,Ross Pearson,S-DEC,,11/19/2016
Alexander Volkov,Timothy Johnson,S-DEC,,11/19/2016
Artem Lobov,Teruto Ishihara,U-DEC,,11/19/2016
Jack Marshman,Magnus Cedenblad,KO/TKO,Punch,11/19/2016
Kyoji Horiguchi,Ali Bagautinov,U-DEC,,11/19/2016
Kevin Lee,Magomed Mustafaev,SUB,Rear Naked Choke,11/19/2016
Amanda Cooper,Anna Elmose,U-DEC,,11/19/2016
Justin Ledet,Mark Godbeer,SUB,Rear Naked Choke,11/19/2016
Zak Cummings,Alexander Yakovlev,SUB,Armbar,11/19/2016
Marion Reneau,Milana Dudieva,KO/TKO,Elbows,11/19/2016
Brett Johns,Kwan Ho Kwak,U-DEC,,11/19/2016
Abdul Razak Alhassan,Charlie Ward,KO/TKO,Punch,11/19/2016
Conor McGregor,Eddie Alvarez,KO/TKO,Punches,11/12/2016
Tyron Woodley,Stephen Thompson,M-DEC,,11/12/2016
Joanna Jedrzejczyk,Karolina Kowalkiewicz,U-DEC,,11/12/2016
Yoel Romero,Chris Weidman,KO/TKO,Flying Knee,11/12/2016
Raquel Pennington,Miesha Tate,U-DEC,,11/12/2016
Frankie Edgar,Jeremy Stephens,U-DEC,,11/12/2016
Khabib Nurmagomedov,Michael Johnson,SUB,Kimura,11/12/2016
Tim Boetsch,Rafael Natal,KO/TKO,Punches,11/12/2016
Vicente Luque,Belal Muhammad,KO/TKO,Punches,11/12/2016
Jim Miller,Thiago Alves,U-DEC,,11/12/2016
Liz Carmouche,Katlyn Chookagian,S-DEC,,11/12/2016
Tony Ferguson,Rafael Dos Anjos,U-DEC,,11/5/2016
Diego Sanchez,Marcin Held,U-DEC,,11/5/2016
Ricardo Lamas,Charles Oliveira,SUB,Guillotine Choke,11/5/2016
Martin Bravo,Claudio Puelles,KO/TKO,Punch,11/5/2016
Beneil Dariush,Rashid Magomedov,U-DEC,,11/5/2016
Alexa Grasso,Heather Clark,U-DEC,,11/5/2016
Erik Perez,Felipe Arantes,S-DEC,,11/5/2016
Joe Soto,Marco Beltran,SUB,Heel Hook,11/5/2016
Max Griffin,Erick Montano,KO/TKO,Punch,11/5/2016
Douglas Silva de Andrade,Henry Briones,KO/TKO,Spinning Back Fist,11/5/2016
Sam Alvey,Alex Nicholson,U-DEC,,11/5/2016
Marco Polo Reyes,Jason Novelli,S-DEC,,11/5/2016
Enrique Barzola,Chris Avila,U-DEC,,11/5/2016
Michael Bisping,Dan Henderson,U-DEC,,10/8/2016
Gegard Mousasi,Vitor Belfort,KO/TKO,Punches,10/8/2016
Jimi Manuwa,Ovince Saint Preux,KO/TKO,Punch,10/8/2016
Stefan Struve,Daniel Omielanczuk,SUB,D'Arce Choke,10/8/2016
Mirsad Bektic,Russell Doane,SUB,Rear Naked Choke,10/8/2016
Iuri Alcantara,Brad Pickett,SUB,Triangle Choke,10/8/2016
Damian Stasiak,Davey Grant,SUB,Armbar,10/8/2016
Leon Edwards,Albert Tumenov,SUB,Rear Naked Choke,10/8/2016
Marc Diakiese,Lukasz Sajewski,KO/TKO,Punches,10/8/2016
Mike Perry,Danny Roberts,KO/TKO,Knee,10/8/2016
Leonardo Santos,Adriano Martins,S-DEC,,10/8/2016
John Lineker,John Dodson,S-DEC,,10/1/2016
Alex Oliveira,Will Brooks,KO/TKO,Punches,10/1/2016
Zak Ottow,Joshua Burkman,S-DEC,,10/1/2016
Brandon Moreno,Louis Smolka,SUB,Guillotine Choke,10/1/2016
Henrique da Silva,Joachim Christensen,SUB,Armbar,10/1/2016
Andre Fili,Hacran Dias,U-DEC,,10/1/2016
Shamil Abdurakhimov,Walt Harris,S-DEC,,10/1/2016
Elizeu Zaleski dos Santos,Keita Nakamura,U-DEC,,10/1/2016
Nate Marquardt,Tamdan McCrory,KO/TKO,Kick,10/1/2016
Ion Cutelaba,Jonathan Wilson,U-DEC,,10/1/2016
Curtis Blaydes,Cody East,KO/TKO,Elbows,10/1/2016
Ketlen Vieira,Kelly Faszholz,S-DEC,,10/1/2016
Cristiane Justino,Lina Lansberg,KO/TKO,Punches,9/24/2016
Renan Barao,Phillipe Nover,U-DEC,,9/24/2016
Roy Nelson,Antonio Silva,KO/TKO,Punch,9/24/2016
Francisco Trinaldo,Paul Felder,KO/TKO,,9/24/2016
Eric Spicely,Thiago Santos,SUB,Rear Naked Choke,9/24/2016
Godofredo Pepey,Mike de la Torre,SUB,Rear Naked Choke,9/24/2016
Michel Prazeres,Gilbert Burns,U-DEC,,9/24/2016
Rani Yahya,Michinori Tanaka,U-DEC,,9/24/2016
Jussier Formiga,Dustin Ortiz,U-DEC,,9/24/2016
Erick Silva,Luan Chagas,SUB,Rear Naked Choke,9/24/2016
Alan Patrick,Stevie Ray,U-DEC,,9/24/2016
Vicente Luque,Hector Urbina,KO/TKO,Punch,9/24/2016
Gregor Gillespie,Glaico Franca Moreira,U-DEC,,9/24/2016
Michael Johnson,Dustin Poirier,KO/TKO,Punches,9/17/2016
Derek Brunson,Uriah Hall,KO/TKO,Punches,9/17/2016
Evan Dunham,Rick Glenn,U-DEC,,9/17/2016
Roan Carneiro,Kenny Robertson,S-DEC,,9/17/2016
Islam Makhachev,Chris Wade,U-DEC,,9/17/2016
Chas Skelly,Maximo Blanco,SUB,D'Arce Choke,9/17/2016
Gabriel Benitez,Sam Sicilia,SUB,Guillotine Choke,9/17/2016
Belal Muhammad,Augusto Montano,KO/TKO,Punches,9/17/2016
Antonio Carlos Junior,Leonardo Guimaraes,SUB,Rear Naked Choke,9/17/2016
Jose Quinonez,Joey Gomez,U-DEC,,9/17/2016
Randy Brown,Erick Montano,SUB,Guillotine Choke,9/17/2016
Alejandro Perez,Albert Morales,M-DEC,,9/17/2016
Stipe Miocic,Alistair Overeem,KO/TKO,Punch,9/10/2016
Fabricio Werdum,Travis Browne,U-DEC,,9/10/2016
Mickey Gall,CM Punk,SUB,Rear Naked Choke,9/10/2016
Jimmie Rivera,Urijah Faber,U-DEC,,9/10/2016
Jessica Andrade,Joanne Calderwood,SUB,Guillotine Choke,9/10/2016
Bethe Correia,Jessica Eye,S-DEC,,9/10/2016
Brad Tavares,Caio Magalhaes,S-DEC,,9/10/2016
Nik Lentz,Michael McBride,KO/TKO,Punches,9/10/2016
Drew Dober,Jason Gonzalez,KO/TKO,Punch,9/10/2016
Yancy Medeiros,Sean Spencer,SUB,Rear Naked Choke,9/10/2016
Josh Barnett,Andrei Arlovski,SUB,Rear Naked Choke,9/3/2016
Alexander Gustafsson,Jan Blachowicz,U-DEC,,9/3/2016
Ryan Bader,Ilir Latifi,KO/TKO,Knee,9/3/2016
Nick Hein,Tae Hyun Bang,U-DEC,,9/3/2016
Jessin Ayari,Jim Wallhead,S-DEC,,9/3/2016
Peter Sobotta,Nicolas Dalby,U-DEC,,9/3/2016
Ashlee Evans-Smith,Veronica Macedo,KO/TKO,Elbows,9/3/2016
Taylor Lapilus,Leandro Issa,U-DEC,,9/3/2016
Jarjis Danho,Christian Colombo,M-DEC,,9/3/2016
Jack Hermansson,Scott Askham,U-DEC,,9/3/2016
Rustam Khabilov,Leandro Silva,U-DEC,,9/3/2016
Demian Maia,Carlos Condit,SUB,Rear Naked Choke,8/27/2016
Anthony Pettis,Charles Oliveira,SUB,Guillotine Choke,8/27/2016
Paige VanZant,Bec Rawlings,KO/TKO,Kick,8/27/2016
Jim Miller,Joe Lauzon,S-DEC,,8/27/2016
Sam Alvey,Kevin Casey,KO/TKO,Punches,8/27/2016
Kyle Bochniak,Enrique Barzola,S-DEC,,8/27/2016
Alessio Di Chirico,Garreth McLellan,S-DEC,,8/27/2016
Felipe Silva,Shane Campbell,KO/TKO,Punch,8/27/2016
Chad Laprise,Thibault Gouti,KO/TKO,Punch,8/27/2016
Jeremy Kennedy,Alex Ricci,U-DEC,,8/27/2016
Conor McGregor,Nate Diaz,M-DEC,,8/20/2016
Anthony Johnson,Glover Teixeira,KO/TKO,Punch,8/20/2016
Donald Cerrone,Rick Story,KO/TKO,Kick,8/20/2016
Mike Perry,Hyun Gyu Lim,KO/TKO,Punch,8/20/2016
Tim Means,Sabah Homasi,KO/TKO,Punches,8/20/2016
Cody Garbrandt,Takeya Mizugaki,KO/TKO,Punch,8/20/2016
Raquel Pennington,Elizabeth Phillips,U-DEC,,8/20/2016
Artem Lobov,Chris Avila,U-DEC,,8/20/2016
Cortney Casey,Randa Markos,SUB,Armbar,8/20/2016
Lorenz Larkin,Neil Magny,KO/TKO,Elbows,8/20/2016
Colby Covington,Max Griffin,KO/TKO,Punches,8/20/2016
Marvin Vettori,Alberto Uda,SUB,Guillotine Choke,8/20/2016
Yair Rodriguez,Alex Caceres,S-DEC,,8/6/2016
Dennis Bermudez,Rony Jason,U-DEC,,8/6/2016
Thales Leites,Chris Camozzi,SUB,Rear Naked Choke,8/6/2016
Santiago Ponzinibbio,Zak Cummings,U-DEC,,8/6/2016
Trevor Smith,Joseph Gigliotti,U-DEC,,8/6/2016
Maryna Moroz,Danielle Taylor,S-DEC,,8/6/2016
Court McGee,Dominique Steele,U-DEC,,8/6/2016
Marcin Tybura,Viktor Pesta,KO/TKO,Kick,8/6/2016
David Teymur,Jason Novelli,KO/TKO,Punches,8/6/2016
Teruto Ishihara,Horacio Gutierrez,KO/TKO,Punches,8/6/2016
Cub Swanson,Tatsuya Kawajiri,U-DEC,,8/6/2016
Justin Ledet,Chase Sherman,U-DEC,,8/6/2016
Tyron Woodley,Robbie Lawler,KO/TKO,Punch,7/30/2016
Karolina Kowalkiewicz,Rose Namajunas,S-DEC,,7/30/2016
Jake Ellenberger,Matt Brown,KO/TKO,Kick,7/30/2016
Erik Perez,Francisco Rivera,U-DEC,,7/30/2016
Ryan Benoit,Fredy Serrano,S-DEC,,7/30/2016
Nikita Krylov,Ed Herman,KO/TKO,Kick,7/30/2016
Jorge Masvidal,Ross Pearson,U-DEC,,7/30/2016
Anthony Hamilton,Damian Grabowski,KO/TKO,Punches,7/30/2016
Wilson Reis,Hector Sandoval,SUB,Rear Naked Choke,7/30/2016
Michael Graves,Bojan Velickovic,M-DEC,,7/30/2016
Damien Brown,Cesar Arzamendia,KO/TKO,Punches,7/30/2016
Valentina Shevchenko,Holly Holm,U-DEC,,7/23/2016
Edson Barboza,Gilbert Melendez,U-DEC,,7/23/2016
Francis Ngannou,Bojan Mihajlovic,KO/TKO,Punches,7/23/2016
Felice Herrig,Kailin Curran,SUB,Rear Naked Choke,7/23/2016
Eddie Wineland,Frankie Saenz,KO/TKO,Punches,7/23/2016
Darren Elkins,Godofredo Pepey,U-DEC,,7/23/2016
Kamaru Usman,Alexander Yakovlev,U-DEC,,7/23/2016
Michel Prazeres,JC Cottrell,U-DEC,,7/23/2016
Alex Oliveira,James Moontasri,U-DEC,,7/23/2016
Jason Knight,Jim Alers,S-DEC,,7/23/2016
Luis Henrique,Dmitrii Smoliakov,SUB,Rear Naked Choke,7/23/2016
John Lineker,Michael McDonald,KO/TKO,Punch,7/13/2016
Tony Ferguson,Lando Vannata,SUB,D'Arce Choke,7/13/2016
Tim Boetsch,Josh Samman,KO/TKO,Punches,7/13/2016
Daniel Omielanczuk,Aleksei Oleinik,M-DEC,,7/13/2016
Keita Nakamura,Kyle Noke,SUB,Rear Naked Choke,7/13/2016
Louis Smolka,Ben Nguyen,KO/TKO,Elbows,7/13/2016
Katlyn Chookagian,Lauren Murphy,U-DEC,,7/13/2016
Sam Alvey,Eric Spicely,SUB,Guillotine Choke,7/13/2016
Cortney Casey,Cristina Stanciu,KO/TKO,Elbows,7/13/2016
Scott Holtzman,Cody Pfister,U-DEC,,7/13/2016
Rani Yahya,Matthew Lopez,SUB,Arm Triangle,7/13/2016
Alex Nicholson,Devin Clark,KO/TKO,Punch,7/13/2016
Amanda Nunes,Miesha Tate,SUB,Rear Naked Choke,7/9/2016
Brock Lesnar,Mark Hunt,Overturned,,7/9/2016
Daniel Cormier,Anderson Silva,U-DEC,,7/9/2016
Jose Aldo,Frankie Edgar,U-DEC,,7/9/2016
Cain Velasquez,Travis Browne,KO/TKO,Punches,7/9/2016
Julianna Pena,Cat Zingano,U-DEC,,7/9/2016
Kelvin Gastelum,Johny Hendricks,U-DEC,,7/9/2016
TJ Dillashaw,Raphael Assuncao,U-DEC,,7/9/2016
Sage Northcutt,Enrique Marin,U-DEC,,7/9/2016
Joe Lauzon,Diego Sanchez,KO/TKO,Punches,7/9/2016
Gegard Mousasi,Thiago Santos,KO/TKO,Punch,7/9/2016
Jim Miller,Takanori Gomi,KO/TKO,Punches,7/9/2016
Joanna Jedrzejczyk,Claudia Gadelha,U-DEC,,7/8/2016
Andrew Sanchez,Khalil Rountree Jr.,U-DEC,,7/8/2016
Tatiana Suarez,Amanda Cooper,SUB,D'Arce Choke,7/8/2016
Will Brooks,Ross Pearson,U-DEC,,7/8/2016
Dooho Choi,Thiago Tavares,KO/TKO,Punch,7/8/2016
Joaquim Silva,Andrew Holbrook,KO/TKO,Punch,7/8/2016
Gray Maynard,Fernando Bruno,U-DEC,,7/8/2016
Matheus Nicolau Pereira,John Moraga,S-DEC,,7/8/2016
Josh Stansbury,Cory Hendricks,M-DEC,,7/8/2016
Cezar Ferreira,Anthony Smith,U-DEC,,7/8/2016
Kevin Lee,Jake Matthews,KO/TKO,Punches,7/8/2016
Jingliang Li,Anton Zafir,KO/TKO,Punches,7/8/2016
Eddie Alvarez,Rafael Dos Anjos,KO/TKO,Punches,7/7/2016
Derrick Lewis,Roy Nelson,S-DEC,,7/7/2016
Alan Jouban,Belal Muhammad,U-DEC,,7/7/2016
Joe Duffy,Mitch Clarke,SUB,Rear Naked Choke,7/7/2016
Alberto Mina,Mike Pyle,KO/TKO,Flying Knee,7/7/2016
John Makdessi,Mehdi Baghdad,S-DEC,,7/7/2016
Anthony Birchak,Dileno Lopes,S-DEC,,7/7/2016
Pedro Munhoz,Russell Doane,SUB,Guillotine Choke,7/7/2016
Felipe Arantes,Jerrod Sanders,SUB,Armbar,7/7/2016
Gilbert Burns,Lukasz Sajewski,SUB,Armbar,7/7/2016
Marco Beltran,Reginaldo Vieira,SUB,Rear Naked Choke,7/7/2016
Vicente Luque,Alvaro Herrera Mendoza,SUB,D'Arce Choke,7/7/2016
Stephen Thompson,Rory MacDonald,U-DEC,,6/18/2016
Donald Cerrone,Patrick Cote,KO/TKO,Punches,6/18/2016
Steve Bosse,Sean O'Connell,U-DEC,,6/18/2016
Olivier Aubin-Mercier,Thibault Gouti,SUB,Rear Naked Choke,6/18/2016
Joanne Calderwood,Valerie Letourneau,KO/TKO,Kick,6/18/2016
Jason Saggo,Leandro Silva,S-DEC,,6/18/2016
Misha Cirkunov,Ion Cutelaba,SUB,Arm Triangle,6/18/2016
Krzysztof Jotko,Tamdan McCrory,KO/TKO,Punch,6/18/2016
Joe Soto,Chris Beal,SUB,Rear Naked Choke,6/18/2016
Elias Theodorou,Sam Alvey,U-DEC,,6/18/2016
Randa Markos,Jocelyn Jones-Lybarger,U-DEC,,6/18/2016
Colby Covington,Jonathan Meunier,SUB,Rear Naked Choke,6/18/2016
Ali Bagautinov,Geane Herrera,U-DEC,,6/18/2016
Michael Bisping,Luke Rockhold,KO/TKO,Punch,6/4/2016
Dominick Cruz,Urijah Faber,U-DEC,,6/4/2016
Max Holloway,Ricardo Lamas,U-DEC,,6/4/2016
Dan Henderson,Hector Lombard,KO/TKO,Elbow,6/4/2016
Dustin Poirier,Bobby Green,KO/TKO,Punch,6/4/2016
Brian Ortega,Clay Guida,KO/TKO,Knee,6/4/2016
Beneil Dariush,James Vick,KO/TKO,Punch,6/4/2016
Jessica Andrade,Jessica Penne,KO/TKO,Punches,6/4/2016
Alex Caceres,Cole Miller,U-DEC,,6/4/2016
Sean Strickland,Tom Breese,S-DEC,,6/4/2016
Henrique da Silva,Jonathan Wilson,KO/TKO,Punches,6/4/2016
Kevin Casey,Elvis Mutapcic,S-DEC,,6/4/2016
Marco Polo Reyes,Dong Hyun Ma,KO/TKO,Punch,6/4/2016
Cody Garbrandt,Thomas Almeida,KO/TKO,Punches,5/29/2016
Jeremy Stephens,Renan Barao,U-DEC,,5/29/2016
Rick Story,Tarec Saffiedine,U-DEC,,5/29/2016
Chris Camozzi,Vitor Miranda,U-DEC,,5/29/2016
Lorenz Larkin,Jorge Masvidal,S-DEC,,5/29/2016
Paul Felder,Joshua Burkman,U-DEC,,5/29/2016
Sara McMann,Jessica Eye,U-DEC,,5/29/2016
Abel Trujillo,Jordan Rinaldi,U-DEC,,5/29/2016
Jake Collier,Alberto Uda,KO/TKO,Spinning Back Kick,5/29/2016
Erik Koch,Shane Campbell,SUB,Rear Naked Choke,5/29/2016
Bryan Caraway,Aljamain Sterling,S-DEC,,5/29/2016
Adam Milstead,Chris de la Rocha,KO/TKO,Punches,5/29/2016
Stipe Miocic,Fabricio Werdum,KO/TKO,Punch,5/14/2016
Jacare Souza,Vitor Belfort,KO/TKO,Punches,5/14/2016
Cristiane Justino,Leslie Smith,KO/TKO,Punch,5/14/2016
Mauricio Rua,Corey Anderson,S-DEC,,5/14/2016
Bryan Barberena,Warlley Alves,U-DEC,,5/14/2016
Demian Maia,Matt Brown,SUB,Rear Naked Choke,5/14/2016
Thiago Santos,Nate Marquardt,KO/TKO,Punch,5/14/2016
Francisco Trinaldo,Yancy Medeiros,U-DEC,,5/14/2016
John Lineker,Rob Font,U-DEC,,5/14/2016
Rogerio Nogueira,Patrick Cummins,KO/TKO,Punches,5/14/2016
Sergio Moraes,Luan Chagas,S-DEC,,5/14/2016
Renato Moicano,Zubaira Tukhugov,S-DEC,,5/14/2016
Alistair Overeem,Andrei Arlovski,KO/TKO,Punch,5/8/2016
Stefan Struve,Antonio Silva,KO/TKO,Punch,5/8/2016
Gunnar Nelson,Albert Tumenov,SUB,Rear Naked Choke,5/8/2016
Germaine de Randamie,Anna Elmose,KO/TKO,Knee,5/8/2016
Nikita Krylov,Francimar Barroso,SUB,Rear Naked Choke,5/8/2016
Karolina Kowalkiewicz,Heather Clark,U-DEC,,5/8/2016
Rustam Khabilov,Chris Wade,U-DEC,,5/8/2016
Magnus Cedenblad,Garreth McLellan,KO/TKO,Kick,5/8/2016
Josh Emmett,Jon Tuck,S-DEC,,5/8/2016
Reza Madadi,Yan Cabral,KO/TKO,Punch,5/8/2016
Kyoji Horiguchi,Neil Seery,U-DEC,,5/8/2016
Leon Edwards,Dominic Waters,U-DEC,,5/8/2016
Yuta Sasaki,Willie Gates,SUB,Rear Naked Choke,5/8/2016
Jon Jones,Ovince Saint Preux,U-DEC,,4/23/2016
Demetrious Johnson,Henry Cejudo,KO/TKO,Knees,4/23/2016
Edson Barboza,Anthony Pettis,U-DEC,,4/23/2016
Robert Whittaker,Rafael Natal,U-DEC,,4/23/2016
Yair Rodriguez,Andre Fili,KO/TKO,Kick,4/23/2016
Sergio Pettis,Chris Kelades,U-DEC,,4/23/2016
Danny Roberts,Dominique Steele,U-DEC,,4/23/2016
Carla Esparza,Juliana Lima,U-DEC,,4/23/2016
James Vick,Glaico Franca Moreira,U-DEC,,4/23/2016
Walt Harris,Cody East,KO/TKO,Punches,4/23/2016
