R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details
Aspen Ladd,Yana Kunitskaya,-210,175,47.61904762,175.0,12/7/2019,"Washington, DC, USA", USA,Red,False,Women's Bantamweight,FEMALE,3,0,2,0,,0.5072,0.45,3.14,,2,1,7,1,0,0,2,0,0,0,2,Orthodox,167.64,173.99,135,1,0,0,,0.5534,1.71,2.29,,3,1,7,0,0,0,1,2,0,0,3,Orthodox,167.64,167.64,135,24,30,1,2,-1,-1,0,0,1,-2,0,0.0,6.35,-6,0.0,-1.26,0.85,0,1,7.0,5.0,,,,5.0,,,,,,,,,,,,,7.0,,,,,,,,,,Red,KO/TKO,Punches
Rob Font,Ricky Simon,-145,125,68.96551724,125.0,12/7/2019,"Washington, DC, USA", USA,Red,False,Bantamweight,MALE,3,1,0,0,,0.4115,0.25,6.66,,3,1,10,0,0,0,3,0,2,0,3,Orthodox,167.64,175.26,135,0,1,0,,0.4048,0.92,1.29,,2,3,18,0,0,0,1,4,1,0,6,Orthodox,172.72,181.61,135,32,27,-1,-1,1,-3,2,-8,0,-4,1,-5.08,-6.35,5,0.0,-0.67,5.37,0,1,,10.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,Red,U-DEC,
Thiago Alves,Tim Means,225,-265,225.0,37.73584906,12/7/2019,"Washington, DC, USA", USA,Blue,False,Welterweight,MALE,3,1,0,0,,0.4563,0.16,0.88,,4,8,42,0,0,1,3,7,1,0,10,Orthodox,187.96,190.5,170,1,0,0,,0.4169,0.31,0.71,,7,11,64,1,0,1,3,7,1,0,12,Orthodox,175.26,177.8,170,36,35,0,0,-3,-2,3,-22,-1,0,0,12.7,12.7,1,0.0,-0.15,0.17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke
Billy Quarantillo,Jacob Kilburn,-320,260,31.25,260.0,12/7/2019,"Washington, DC, USA", USA,Red,False,Featherweight,MALE,3,0,0,0,,0.5714,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,145,0,0,0,,0.7888,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,30,24,0,0,0,0,0,0,0,0,0,-2.54,5.08,6,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Triangle Choke
Bryce Mitchell,Matt Sayles,110,-130,110.0,76.92307692,12/7/2019,"Washington, DC, USA", USA,Red,False,Featherweight,MALE,3,0,1,0,,0.4199,0.5,0.0,,1,1,6,0,0,0,0,0,1,0,1,Orthodox,170.18,173.99,145,0,2,0,,0.48,1.5,1.5,,2,0,6,0,1,0,1,0,0,0,2,Southpaw,177.8,177.8,145,25,25,0,-1,-1,-1,-1,0,0,0,1,-7.62,-3.81,0,0.0,-1.0,-1.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Other - Lock
Joe Solecki,Matt Wiman,-400,325,25.0,325.0,12/7/2019,"Washington, DC, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,,0.5028,1.68,2.34,,4,6,36,0,0,0,5,2,3,0,10,Orthodox,177.8,172.72,155,0,0,0,,0.65,3.93,3.93,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,179.07,155,26,36,-1,0,4,10,-6,36,0,2,3,2.54,-6.35,-10,0.0,-2.25,-1.59,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Mallory Martin,Virna Jandiroba,215,-255,215.0,39.21568627,12/7/2019,"Washington, DC, USA", USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,,0.4595,0.0,3.0,,0,1,3,0,0,0,0,0,0,0,0,Orthodox,160.02,162.56,115,0,0,0,,0.6667,0.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,160.02,115,25,31,-1,0,0,0,-1,3,0,0,0,-2.54,2.54,-6,0.0,0.0,-2.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke
Makhmud Muradov,Trevor Smith,-500,400,20.0,400.0,12/7/2019,"Washington, DC, USA", USA,Red,False,Light Heavyweight,MALE,3,2,0,0,,0.5753,0.78,1.86,,2,6,29,0,0,1,4,0,0,0,5,Orthodox,190.5,190.5,205,0,1,0,,0.3195,0.0,0.0,,1,0,3,0,0,0,1,0,0,0,1,Orthodox,187.96,191.77,205,29,38,-2,-1,1,4,-6,26,0,0,0,2.54,-1.27,-9,0.0,0.78,1.86,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch
Henry Cejudo,Marlon Moraes,145,-165,145.0,60.60606061,6/8/2019,"Chicago, Illinois, USA", USA,Red,True,Bantamweight,MALE,5,0,4,0,22.6,0.466,0.4,0.2,0.1,4,1,9,0,0,1,0,2,1,0,4,Orthodox,167.64,170.18,135,0,4,0,44.0,0.466,0.1,1.9,0.45799999999999996,4,2,27,3,0,2,4,2,0,0,8,Orthodox,162.56,162.56,135,32,31,0,0,0,-4,1,-18,-3,0,1,5.08,7.62,1,-21.4,0.3,-1.7,0,1,1.0,,,,,,,,,,,,,0.0,4.0,,,,,,,,,,,1.0,,,Blue,KO/TKO,Punches
Valentina Shevchenko,Jessica Eye,-1100,700,9.090909091,700.0,6/8/2019,"Chicago, Illinois, USA", USA,Red,True,Women's Flyweight,FEMALE,5,0,3,0,51.3,0.39899999999999997,0.7,0.5,0.225,3,6,29,0,0,2,1,0,0,1,4,Orthodox,167.64,167.64,125,0,2,0,59.42857143,0.575714286,0.428571429,2.4285714290000002,0.601428571,2,2,25,2,0,1,2,0,2,0,5,Southpaw,165.1,167.64,125,31,32,0,1,1,-1,-4,4,-2,1,-2,2.54,0.0,-1,-8.12857143,0.271428571,-1.928571429,0,1,1.0,0.0,0.0,,,,,,,,,,,,14.0,1.0,,,,,,,,,,,,,Red,KO/TKO,Kick
Tony Ferguson,Donald Cerrone,-210,175,47.61904762,175.0,6/8/2019,"Chicago, Illinois, USA", USA,Red,False,Lightweight,MALE,3,0,3,0,46.77419355,0.496129032,0.35483871,0.677419355,0.295483871,8,8,68,1,0,0,7,10,6,0,23,Orthodox,185.42,185.42,155,0,11,0,55.46666667,0.43,1.0,0.4,0.277333333,11,1,33,2,0,1,3,3,6,1,14,Orthodox,180.34,193.04,155,35,36,0,-8,-3,9,-7,35,-1,6,0,5.08,-7.62,-1,-8.69247312,-0.64516129,0.277419355,0,1,4.0,2.0,,,,,,,,,2.0,,,,12.0,,,,,,,,,4.0,,,,,Red,KO/TKO,
Jimmie Rivera,Petr Yan,300,-360,300.0,27.77777778,6/8/2019,"Chicago, Illinois, USA", USA,Blue,False,Bantamweight,MALE,3,0,4,0,70.25,0.55,0.25,1.25,0.2875,4,0,9,0,0,0,2,2,0,0,4,Switch,170.18,170.18,135,1,0,0,45.75,0.36625,0.0,0.625,0.10375,5,2,20,0,0,1,4,1,0,0,6,Orthodox,162.56,172.72,135,29,26,1,4,-1,-2,2,-11,0,1,0,7.62,-2.54,3,24.5,0.25,0.625,0,1,9.0,7.0,,,,,,,,,,,7.0,,,,,,,,,,,,,9.0,,,Red,U-DEC,
Tai Tuivasa,Blagoy Ivanov,-160,140,62.5,140.0,6/8/2019,"Chicago, Illinois, USA", USA,Blue,False,Heavyweight,MALE,3,0,1,0,61.5,0.31,0.0,0.0,0.0,1,1,8,0,0,0,1,0,0,0,1,Southpaw,180.34,185.42,250,1,0,0,32.5,0.545,0.0,0.0,0.0,3,1,7,0,0,0,1,2,0,0,3,Southpaw,187.96,190.5,264,26,32,1,1,-2,-2,0,1,0,-2,0,-7.62,-5.08,-6,29.0,0.0,0.0,0,1,13.0,11.0,,,,,11.0,,,,,,,,,,,,,13.0,,,,,,,,,Red,U-DEC,
Tatiana Suarez,Nina Ansaroff,-750,525,13.33333333,525.0,6/8/2019,"Chicago, Illinois, USA", USA,Red,False,Women's Strawweight,FEMALE,3,0,4,0,75.16666667,0.47,0.666666667,0.333333333,0.25,4,2,18,0,0,0,3,0,1,0,4,Orthodox,165.1,162.56,115,0,4,0,42.75,0.6375,0.5,4.5,0.8175,4,0,8,1,0,0,1,1,2,0,4,Southpaw,165.1,167.64,115,28,33,0,0,0,0,-2,10,-1,-1,-1,0.0,-5.08,-5,32.41666667,0.166666667,-4.166666667,0,1,3.0,2.0,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,Red,U-DEC,
Aljamain Sterling,Pedro Munhoz,-160,140,62.5,140.0,6/8/2019,"Chicago, Illinois, USA", USA,Red,False,Bantamweight,MALE,3,0,3,0,41.5,0.499166667,0.666666667,0.583333333,0.233333333,4,4,23,0,0,0,2,3,3,0,8,Orthodox,167.64,165.1,135,0,3,0,52.25,0.49,0.75,1.75,0.4175,4,3,32,0,0,0,5,1,3,0,9,Orthodox,170.18,180.34,135,29,32,0,0,0,-1,-1,-9,0,2,0,-2.54,-15.24,-3,-10.75,-0.083333333,-1.166666667,0,1,4.0,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,Red,U-DEC,
Karolina Kowalkiewicz,Alexa Grasso,105,-125,105.0,80.0,6/8/2019,"Chicago, Illinois, USA", USA,Blue,False,Women's Strawweight,FEMALE,3,1,0,0,53.75,0.5025,0.25,0.25,0.125,1,2,10,0,0,1,1,0,0,0,2,Orthodox,165.1,167.64,115,2,0,0,73.55555556,0.38,0.0,0.111111111,0.055555556,3,4,25,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115,33,25,1,0,-2,-3,2,-15,-1,0,0,5.08,5.08,8,-19.80555556,0.25,0.13888888900000002,0,1,13.0,10.0,,,10.0,,,,,,,,,,,,,13.0,,,,,,,,,,,Red,U-DEC,
Ricardo Lamas,Calvin Kattar,155,-175,155.0,57.14285714,6/8/2019,"Chicago, Illinois, USA", USA,Blue,False,Featherweight,MALE,3,0,1,0,56.25,0.42,0.0,0.5,0.165,2,1,10,0,0,0,1,2,0,0,3,Orthodox,180.34,182.88,145,0,1,0,32.26666667,0.478,0.666666667,1.066666667,0.301333333,4,5,34,1,0,0,3,4,3,0,10,Orthodox,172.72,180.34,145,37,31,0,0,-2,-7,4,-24,-1,-2,-3,7.62,2.54,6,23.98333333,-0.666666667,-0.566666667,0,1,15.0,10.0,,,,,,,,,,10.0,,,,,,,,,,,,,15.0,,,,Red,KO/TKO,Punch
Yan Xiaonan,Angela Hill,-220,180,45.45454545,180.0,6/8/2019,"Chicago, Illinois, USA", USA,Red,False,Women's Strawweight,FEMALE,3,0,1,0,74.3,0.48,0.0,0.3,0.25,1,6,26,0,0,0,4,0,0,0,4,Orthodox,160.02,162.56,115,0,3,0,105.66666670000001,0.40333333299999996,0.0,0.0,0.0,3,0,9,0,0,0,3,0,0,0,3,Orthodox,165.1,160.02,115,29,34,0,-2,-2,1,-6,17,0,0,0,-5.08,2.54,-5,-31.366666700000003,0.0,0.3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
Bevon Lewis,Darren Stewart,-170,150,58.82352941,150.0,6/8/2019,"Chicago, Illinois, USA", USA,Blue,False,Middleweight,MALE,3,1,0,0,24.14285714,0.454285714,0.0,1.0,0.241428571,2,5,14,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,1,0,0,68.0,0.43,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,185,28,28,0,0,2,2,-4,11,0,2,0,-7.62,-12.7,0,-43.85714286,0.0,1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Eddie Wineland,Grigorii Popov,-155,135,64.51612903,135.0,6/8/2019,"Chicago, Illinois, USA", USA,Red,False,Bantamweight,MALE,3,0,0,0,,0.37,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,170.18,172.72,135,2,0,0,35.75,0.256666667,0.0,0.166666667,0.110833333,2,7,29,1,0,1,0,4,0,0,5,Orthodox,170.18,175.26,135,34,35,2,0,-2,-5,7,-29,-1,-4,0,0.0,-2.54,-1,-35.75,0.0,-0.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,
Katlyn Chookagian,Joanne Calderwood,-105,-115,95.23809524,86.95652174,6/8/2019,"Chicago, Illinois, USA", USA,Red,False,Women's Flyweight,FEMALE,3,0,2,0,61.375,0.53625,0.5,1.125,0.26,2,3,18,0,0,0,3,1,1,0,5,Orthodox,167.64,165.1,125,1,0,0,61.16666667,0.295,0.166666667,0.0,0.0,3,2,18,0,0,1,3,0,0,0,4,Orthodox,175.26,172.72,125,30,33,1,2,-1,1,-1,0,0,1,1,-7.62,-7.62,-3,0.20833333,0.333333333,1.125,0,1,6.0,2.0,2.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,Red,U-DEC,
Alexander Gustafsson,Anthony Smith,-320,260,31.25,260.0,6/1/2019,"Stockholm, Sweden", Sweden,Blue,False,Light Heavyweight,MALE,5,1,0,0,33.18181818,0.507272727,0.363636364,0.363636364,0.096363636,3,4,27,1,0,0,1,5,1,0,7,Orthodox,193.04,193.04,205,1,0,0,44.2,0.384666667,0.333333333,1.2,0.303333333,6,5,38,3,0,0,3,5,2,0,10,Orthodox,195.58,200.66,205,32,30,0,0,-3,-3,1,-11,-2,0,-1,-2.54,-7.62,2,-11.01818182,0.030303031,-0.836363636,0,1,4.0,2.0,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,,,,Red,SUB,Rear Naked Choke
Jimi Manuwa,Aleksandar Rakic,215,-255,215.0,39.21568627,6/1/2019,"Stockholm, Sweden", Sweden,Blue,False,Light Heavyweight,MALE,3,0,3,0,60.33333333,0.566666667,0.0,1.0,0.25,3,0,7,0,0,0,2,1,0,0,3,Orthodox,193.04,198.12,205,3,0,0,26.09090909,0.5372727270000001,0.181818182,0.272727273,0.090909091,3,5,21,0,0,0,1,3,0,2,6,Orthodox,185.42,200.66,205,39,27,3,3,0,-3,5,-14,0,-4,0,7.62,-2.54,12,34.24242424,-0.181818182,0.727272727,0,1,,11.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Kick
Makwan Amirkhani,Chris Fishgold,-130,110,76.92307692,110.0,6/1/2019,"Stockholm, Sweden", Sweden,Red,False,Featherweight,MALE,3,0,1,0,17.0,0.345,1.0,3.0,0.5,1,1,3,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,145,0,1,0,16.4,0.456,1.0,2.4,0.5,3,1,11,0,0,1,1,1,1,0,4,Southpaw,177.8,182.88,145,30,26,0,0,-2,-3,0,-8,0,-1,0,-5.08,-10.16,4,0.6,0.0,0.6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke
Damir Hadzovic,Christos Giagos,-165,145,60.60606061,145.0,6/1/2019,"Stockholm, Sweden", Sweden,Blue,False,Lightweight,MALE,3,0,1,0,19.8,0.342,0.2,1.2,0.3,1,3,10,0,0,0,1,0,1,0,2,Orthodox,177.8,180.34,155,0,2,0,34.8,0.498,0.2,0.4,0.132,2,2,12,0,0,1,0,2,0,0,3,Orthodox,175.26,177.8,155,32,29,0,-1,-1,-1,-1,-2,0,-2,1,2.54,2.54,3,-15.0,0.0,0.8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Daniel Teymur,Sung Bin Jo,110,-130,110.0,76.92307692,6/1/2019,"Stockholm, Sweden", Sweden,Red,False,Featherweight,MALE,3,0,0,0,,0.33,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,3,0,0,41.0,0.46666666700000003,0.0,0.333333333,0.333333333,0,3,8,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,145,31,26,3,0,0,0,3,-8,0,0,0,17.78,7.62,5,-41.0,0.0,-0.333333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Rostem Akman,Sergey Khandozhko,135,-155,135.0,64.51612903,6/1/2019,"Stockholm, Sweden", Sweden,Blue,False,Welterweight,MALE,3,0,0,0,,0.42,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,170,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,177.8,182.88,170,27,27,0,0,0,0,0,0,0,0,0,7.62,5.08,0,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Tonya Evinger,Lina Lansberg,-400,325,25.0,325.0,6/1/2019,"Stockholm, Sweden", Sweden,Blue,False,Women's Bantamweight,FEMALE,3,1,0,0,43.6,0.562,0.2,0.4,0.228,1,3,13,0,0,0,2,0,0,0,2,Orthodox,170.18,165.1,135,2,0,0,20.5,0.465,0.0,0.5,0.125,0,2,4,1,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,37,37,1,0,1,2,-1,9,-1,0,0,0.0,-12.7,0,23.1,0.2,-0.1,0,1,13.0,12.0,,,,12.0,,,,,,,,,,,,,13.0,,,,,,,,,,Red,U-DEC,
Stevie Ray,Leonardo Santos,135,-155,135.0,64.51612903,6/1/2019,"Stockholm, Sweden", Sweden,Blue,False,Lightweight,MALE,3,0,4,0,25.16666667,0.41,0.333333333,0.833333333,0.35666666700000005,4,1,14,1,0,1,1,1,2,0,5,Orthodox,182.88,190.5,155,0,1,0,40.22222222,0.45,0.5555555560000001,0.5555555560000001,0.231111111,3,3,22,0,1,1,2,2,0,0,6,Southpaw,177.8,177.8,155,29,39,0,3,1,-1,2,-8,1,-1,2,5.08,12.7,-10,-15.05555555,-0.222222223,0.277777777,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch
Nick Hein,Frank Camacho,110,-130,110.0,76.92307692,6/1/2019,"Stockholm, Sweden", Sweden,Blue,False,Lightweight,MALE,3,2,0,0,95.0,0.47,0.0,1.333333333,0.4,1,2,8,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170,2,0,0,34.14285714,0.317142857,0.0,0.7142857140000001,0.15142857099999998,3,3,19,0,0,0,4,0,0,0,4,Southpaw,167.64,167.64,155,35,30,0,0,-2,-3,1,-11,0,0,0,10.16,17.78,5,60.85714286,0.0,0.6190476189999999,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Bea Malecki,Duda Santana,-125,105,80.0,105.0,6/1/2019,"Stockholm, Sweden", Sweden,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,,0.39,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,185.42,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,135,27,23,0,0,0,0,0,0,0,0,0,-5.08,-2.54,4,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke
Darko Stosic,Devin Clark,-110,-110,90.90909091,90.90909091,6/1/2019,"Stockholm, Sweden", Sweden,Blue,False,Light Heavyweight,MALE,3,1,0,0,35.5,0.586666667,0.166666667,2.166666667,0.39333333299999995,2,3,13,0,0,0,3,0,0,0,3,Orthodox,182.88,190.5,205,0,1,0,9.0,0.56,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,182.88,193.04,205,27,29,-1,-1,1,2,-3,12,0,-1,0,0.0,-2.54,-2,26.5,0.166666667,2.166666667,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Joel Alvarez,Danilo Belluardo,-105,-115,95.23809524,86.95652174,6/1/2019,"Stockholm, Sweden", Sweden,Red,False,Lightweight,MALE,3,0,0,0,,0.61,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,155,1,0,0,38.0,0.29,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,155,25,24,1,0,0,0,1,-3,0,0,0,-7.62,-7.62,1,-38.0,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches
Rafael Dos Anjos,Kevin Lee,130,-150,130.0,66.66666667,5/18/2019,"Rochester, New York, USA", USA,Red,False,Welterweight,MALE,5,1,0,0,49.07142857,0.45,0.7857142859999999,2.5,0.455,5,4,36,1,0,1,3,1,4,1,10,Orthodox,175.26,195.58,170,2,0,0,47.92307692,0.45307692299999996,0.615384615,1.730769231,0.296538462,5,9,74,4,0,0,10,4,3,0,17,Southpaw,172.72,177.8,170,34,26,1,0,0,-7,5,-38,-3,-2,1,2.54,17.78,8,1.14835165,0.17032967100000002,0.7692307690000001,0,1,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,7.0,,,,,Red,SUB,Arm Triangle
Antonio Carlos Junior,Ian Heinisch,-160,140,62.5,140.0,5/18/2019,"Rochester, New York, USA", USA,Blue,False,Middleweight,MALE,3,0,1,0,55.0,0.57,2.0,1.0,0.14,1,0,3,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,185,0,4,0,23.0,0.434444444,0.666666667,2.777777778,0.483333333,4,3,21,1,0,0,2,0,4,0,6,Orthodox,187.96,200.66,185,29,30,0,-3,-3,-5,3,-18,-1,0,-4,-7.62,-17.78,-1,32.0,1.333333333,-1.7777777780000001,0,1,,12.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,Red,U-DEC,
Megan Anderson,Felicia Spencer,-220,180,45.45454545,180.0,5/18/2019,"Rochester, New York, USA", USA,Blue,False,Women's Featherweight,FEMALE,3,0,0,0,,0.51,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,145,0,1,0,14.5,0.385,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,182.88,182.88,145,29,28,0,-1,-1,-1,1,-4,0,-1,0,-15.24,-10.16,1,-14.5,0.0,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke
Vicente Luque,Derrick Krantz,-1100,700,9.090909091,700.0,5/18/2019,"Rochester, New York, USA", USA,Red,False,Welterweight,MALE,3,0,0,0,,0.37,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,0,4,0,38.8,0.511,0.6,0.6,0.10800000000000001,4,2,18,0,0,0,0,5,3,0,8,Orthodox,180.34,190.5,170,27,31,0,-4,-4,-8,2,-18,0,-5,-3,-2.54,-7.62,-4,-38.8,-0.6,-0.6,0,1,,15.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch
Charles Oliveira,Nik Lentz,-420,335,23.80952381,335.0,5/18/2019,"Rochester, New York, USA", USA,Red,False,Lightweight,MALE,3,0,2,0,43.90909091,0.525909091,1.0909090909999999,3.0,0.315,4,8,59,0,0,2,7,3,2,0,14,Orthodox,172.72,172.72,155,0,4,0,20.56521739,0.483913043,1.260869565,1.3043478259999999,0.477826087,4,9,42,0,0,0,1,0,13,0,14,Orthodox,177.8,187.96,155,29,34,0,-2,0,0,1,17,0,3,-11,-5.08,-15.24,-5,23.34387352,-0.16996047399999997,1.6956521740000001,0,1,,15.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch
Davi Ramos,Austin Hubbard,-550,425,18.18181818,425.0,5/18/2019,"Rochester, New York, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,,0.41,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,155,0,3,0,25.0,0.505,0.75,1.75,0.6375,3,1,8,0,0,0,0,0,3,0,3,Orthodox,167.64,177.8,155,32,27,0,-3,-3,-3,1,-8,0,0,-3,10.16,2.54,5,-25.0,-0.75,-1.75,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Aspen Ladd,Sijara Eubanks,-260,220,38.46153846,220.0,5/18/2019,"Rochester, New York, USA", USA,Red,False,Women's Bantamweight,FEMALE,3,0,2,0,66.0,0.335,0.0,2.5,0.625,2,0,6,0,0,0,2,0,0,0,2,Orthodox,162.56,170.18,135,0,2,0,38.0,0.555,0.0,0.5,0.5,2,0,3,0,0,0,0,2,0,0,2,Orthodox,167.64,167.64,135,24,34,0,0,0,0,0,3,0,-2,0,-5.08,2.54,-10,28.0,0.0,2.0,0,1,15.0,6.0,,,,6.0,,,,,,,,,,,,,15.0,,,,,,,,,,Red,U-DEC,
Desmond Green,Charles Jourdain,-900,600,11.11111111,600.0,5/18/2019,"Rochester, New York, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,,0.43,,,,0,0,0,0,0,0,0,0,0,0,0,Switch,175.26,175.26,155,0,1,0,44.33333333,0.485,0.0,1.0,0.333333333,1,3,16,0,0,1,1,1,0,0,3,Southpaw,177.8,185.42,155,29,23,0,-1,-1,-3,3,-16,0,-1,0,-2.54,-10.16,6,-44.33333333,0.0,-1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,
Danny Roberts,Michel Pereira,-250,210,40.0,210.0,5/18/2019,"Rochester, New York, USA", USA,Blue,False,Welterweight,MALE,3,0,0,0,,0.44,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,1,0,0,30.875,0.4075,0.25,0.0,0.0,2,3,17,0,0,1,1,2,1,0,5,Southpaw,185.42,187.96,170,31,25,1,0,-2,-5,3,-17,0,-2,-1,0.0,-2.54,6,-30.875,-0.25,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Flying Knee
