R_fighter,B_fighter,round,time,date
Alexander Yakovlev,George Sullivan,1,3:59,1/30/2016
Alex Caceres,Masio Fullen,3,5:00,1/30/2016
Randy Brown,Matt Dwyer,3,5:00,1/30/2016
Damon Jackson,Levan Makashvili,3,5:00,1/30/2016
Anthony Rocco Martin,Felipe Olivieri,3,3:02,1/30/2016
Demetrious Johnson,Joseph Benavidez,1,2:08,12/14/2013
Urijah Faber,Michael McDonald,2,3:22,12/14/2013
Chad Mendes,Nik Lentz,3,5:00,12/14/2013
Joe Lauzon,Mac Danzig,3,5:00,12/14/2013
Ryan LaFlare,Court McGee,3,5:00,12/14/2013
Edson Barboza,Danny Castillo,3,5:00,12/14/2013
Bobby Green,Pat Healy,3,5:00,12/14/2013
Zach Makovsky,Scott Jorgensen,3,5:00,12/14/2013
Sam Stout,Cody McKenzie,3,5:00,12/14/2013
Abel Trujillo,Roger Bowling,2,1:35,12/14/2013
Alptekin Ozkilic,Darren Uyenoyama,3,5:00,12/14/2013
Demetrious Johnson,John Dodson,5,5:00,1/26/2013
Glover Teixeira,Quinton Jackson,3,5:00,1/26/2013
Anthony Pettis,Donald Cerrone,1,2:35,1/26/2013
Ricardo Lamas,Erik Koch,2,2:32,1/26/2013
TJ Grant,Matt Wiman,1,4:51,1/26/2013
Clay Guida,Hatsu Hioki,3,5:00,1/26/2013
Pascal Krauss,Mike Stumpf,3,5:00,1/26/2013
Ryan Bader,Vladimir Matyushenko,1,0:50,1/26/2013
Shawn Jordan,Mike Russow,2,3:48,1/26/2013
Rafael Natal,Sean Spencer,3,2:13,1/26/2013
David Mitchell,Simeon Thoresen,3,5:00,1/26/2013
Demetrious Johnson,John Moraga,5,3:43,7/27/2013
Rory MacDonald,Jake Ellenberger,3,5:00,7/27/2013
Robbie Lawler,Bobby Voelker,2,0:24,7/27/2013
Liz Carmouche,Jessica Andrade,2,3:57,7/27/2013
Jorge Masvidal,Michael Chiesa,2,4:59,7/27/2013
Danny Castillo,Tim Means,3,5:00,7/27/2013
Melvin Guillard,Mac Danzig,2,2:47,7/27/2013
Daron Cruickshank,Yves Edwards,3,5:00,7/27/2013
Ed Herman,Trevor Smith,3,5:00,7/27/2013
Germaine de Randamie,Julie Kedzie,3,5:00,7/27/2013
Justin Salas,Aaron Riley,3,5:00,7/27/2013
Yaotzin Meza,John Albert,2,2:49,7/27/2013
Demetrious Johnson,Wilson Reis,3,4:49,4/15/2017
Rose Namajunas,Michelle Waterson,2,2:47,4/15/2017
Robert Whittaker,Jacare Souza,2,3:28,4/15/2017
Renato Moicano,Jeremy Stephens,3,5:00,4/15/2017
Alexander Volkov,Roy Nelson,3,5:00,4/15/2017
Tom Duquesnoy,Patrick Williams,2,0:28,4/15/2017
Rashid Magomedov,Bobby Green,3,5:00,4/15/2017
Tim Elliott,Louis Smolka,3,5:00,4/15/2017
Aljamain Sterling,Augusto Mendes,3,5:00,4/15/2017
Devin Clark,Jake Collier,3,5:00,4/15/2017
Anthony Smith,Andrew Sanchez,3,3:52,4/15/2017
Zak Cummings,Nathan Coy,1,4:21,4/15/2017
Ketlen Vieira,Ashlee Evans-Smith,3,5:00,4/15/2017
Robbie Lawler,Matt Brown,5,5:00,7/26/2014
Anthony Johnson,Rogerio Nogueira,1,0:44,7/26/2014
Dennis Bermudez,Clay Guida,2,2:57,7/26/2014
Bobby Green,Josh Thomson,3,5:00,7/26/2014
Jorge Masvidal,Daron Cruickshank,3,5:00,7/26/2014
Patrick Cummins,Kyle Kingsbury,3,5:00,7/26/2014
Tim Means,Hernani Perpetuo,3,5:00,7/26/2014
Mike de la Torre,Brian Ortega,1,1:39,7/26/2014
Tiago dos Santos e Silva,Akbarh Arreola,3,5:00,7/26/2014
Gilbert Burns,Andreas Stahl,3,5:00,7/26/2014
Joanna Jedrzejczyk,Juliana Lima,3,5:00,7/26/2014
Noad Lahat,Steven Siler,3,5:00,7/26/2014
Luke Rockhold,Lyoto Machida,2,2:31,4/18/2015
Jacare Souza,Chris Camozzi,1,2:33,4/18/2015
Max Holloway,Cub Swanson,3,3:58,4/18/2015
Paige VanZant,Felice Herrig,3,5:00,4/18/2015
Beneil Dariush,Jim Miller,3,5:00,4/18/2015
Ovince Saint Preux,Patrick Cummins,1,4:54,4/18/2015
Gian Villante,Corey Anderson,3,4:18,4/18/2015
Aljamain Sterling,Takeya Mizugaki,3,2:11,4/18/2015
Tim Means,George Sullivan,3,3:41,4/18/2015
Diego Brandao,Jimy Hettes,1,5:00,4/18/2015
Chris Dempsey,Eddie Gordon,3,5:00,4/18/2015
Demian Maia,Carlos Condit,1,1:52,8/27/2016
Anthony Pettis,Charles Oliveira,3,1:49,8/27/2016
Paige VanZant,Bec Rawlings,2,0:17,8/27/2016
Jim Miller,Joe Lauzon,3,5:00,8/27/2016
Sam Alvey,Kevin Casey,2,4:56,8/27/2016
Kyle Bochniak,Enrique Barzola,3,5:00,8/27/2016
Alessio Di Chirico,Garreth McLellan,3,5:00,8/27/2016
Felipe Silva,Shane Campbell,1,1:13,8/27/2016
Chad Laprise,Thibault Gouti,1,1:36,8/27/2016
Jeremy Kennedy,Alex Ricci,3,5:00,8/27/2016
Valentina Shevchenko,Julianna Pena,2,4:29,1/28/2017
Jorge Masvidal,Donald Cerrone,2,1:00,1/28/2017
Francis Ngannou,Andrei Arlovski,1,1:32,1/28/2017
Jason Knight,Alex Caceres,2,4:21,1/28/2017
Sam Alvey,Nate Marquardt,3,5:00,1/28/2017
Raphael Assuncao,Aljamain Sterling,3,5:00,1/28/2017
Jingliang Li,Bobby Nash,2,4:45,1/28/2017
Jordan Johnson,Henrique da Silva,3,5:00,1/28/2017
Eric Spicely,Alessio Di Chirico,1,2:14,1/28/2017
Marcos Rogerio de Lima,Jeremy Kimball,1,2:27,1/28/2017
Alexandre Pantoja,Eric Shelton,3,5:00,1/28/2017
Jason Gonzalez,JC Cottrell,1,3:54,1/28/2017
Mauricio Rua,Brandon Vera,4,4:09,8/4/2012
Lyoto Machida,Ryan Bader,2,1:32,8/4/2012
Joe Lauzon,Jamie Varner,3,2:44,8/4/2012
Mike Swick,DaMarques Johnson,2,1:20,8/4/2012
Nam Phan,Cole Miller,3,5:00,8/4/2012
Phil Davis,Wagner Prado,1,1:28,8/4/2012
Rani Yahya,Josh Grispi,1,3:15,8/4/2012
Philip De Fries,Oli Thompson,2,4:16,8/4/2012
Manvel Gamburyan,Michihiro Omigawa,3,5:00,8/4/2012
John Moraga,Ulysses Gomez,1,3:46,8/4/2012
Glover Teixeira,Rashad Evans,1,1:48,4/16/2016
Rose Namajunas,Tecia Torres,3,5:00,4/16/2016
Khabib Nurmagomedov,Darrell Horcher,2,3:38,4/16/2016
Cub Swanson,Hacran Dias,3,5:00,4/16/2016
Michael Chiesa,Beneil Dariush,2,1:20,4/16/2016
Raquel Pennington,Bethe Correia,3,5:00,4/16/2016
Santiago Ponzinibbio,Court McGee,1,4:15,4/16/2016
Michael Graves,Randy Brown,2,2:31,4/16/2016
John Dodson,Manvel Gamburyan,1,0:37,4/16/2016
Cezar Ferreira,Oluwale Bamgbose,3,5:00,4/16/2016
Elizeu Zaleski dos Santos,Omari Akhmedov,3,3:03,4/16/2016
Michelle Waterson,Paige VanZant,1,3:21,12/17/2016
Mickey Gall,Sage Northcutt,2,1:40,12/17/2016
Urijah Faber,Brad Pickett,3,5:00,12/17/2016
Alan Jouban,Mike Perry,3,5:00,12/17/2016
Paul Craig,Henrique da Silva,2,1:59,12/17/2016
Mizuto Hirota,Cole Miller,3,5:00,12/17/2016
Colby Covington,Bryan Barberena,3,5:00,12/17/2016
Alex Morono,James Moontasri,3,5:00,12/17/2016
Josh Emmett,Scott Holtzman,3,5:00,12/17/2016
Leslie Smith,Irene Aldana,3,5:00,12/17/2016
Eddie Wineland,Takeya Mizugaki,1,3:04,12/17/2016
Hector Sandoval,Fredy Serrano,3,5:00,12/17/2016
Sultan Aliev,Bojan Velickovic,3,5:00,12/17/2016
Junior Dos Santos,Cain Velasquez,1,1:04,11/12/2011
Benson Henderson,Clay Guida,3,5:00,11/12/2011
Dustin Poirier,Pablo Garza,2,1:32,11/12/2011
Ricardo Lamas,Cub Swanson,2,2:16,11/12/2011
DaMarques Johnson,Clay Harvison,1,1:34,11/12/2011
Darren Uyenoyama,Norifumi Yamamoto,3,5:00,11/12/2011
Mackens Semerzier,Robert Peralta,3,1:54,11/12/2011
Alex Caceres,Cole Escovedo,3,5:00,11/12/2011
Mike Pierce,Paul Bradley,3,5:00,11/12/2011
Aaron Rosa,Matt Lucas,3,5:00,11/12/2011
Fabricio Werdum,Travis Browne,5,5:00,4/19/2014
Miesha Tate,Liz Carmouche,3,5:00,4/19/2014
Donald Cerrone,Edson Barboza,1,3:15,4/19/2014
Yoel Romero,Brad Tavares,3,5:00,4/19/2014
Khabib Nurmagomedov,Rafael Dos Anjos,3,5:00,4/19/2014
Thiago Alves,Seth Baczynski,3,5:00,4/19/2014
Jorge Masvidal,Pat Healy,3,5:00,4/19/2014
Alex White,Estevan Payan,1,1:28,4/19/2014
Caio Magalhaes,Luke Zachrich,1,0:44,4/19/2014
Jordan Mein,Hernani Perpetuo,3,5:00,4/19/2014
Dustin Ortiz,Ray Borg,3,5:00,4/19/2014
Mirsad Bektic,Chas Skelly,3,5:00,4/19/2014
Derrick Lewis,Jack May,1,4:23,4/19/2014
Renan Barao,Michael McDonald,4,3:57,2/16/2013
Cub Swanson,Dustin Poirier,3,5:00,2/16/2013
Jimi Manuwa,Cyrille Diabate,1,5:00,2/16/2013
Gunnar Nelson,Jorge Santiago,3,5:00,2/16/2013
James Te Huna,Ryan Jimmo,3,5:00,2/16/2013
Che Mills,Matthew Riddle,3,5:00,2/16/2013
Renee Forte,Terry Etim,3,5:00,2/16/2013
Danny Castillo,Paul Sass,3,5:00,2/16/2013
Andy Ogle,Josh Grispi,3,5:00,2/16/2013
Tom Watson,Stanislav Nedkov,2,4:42,2/16/2013
Vaughan Lee,Motonobu Tezuka,3,5:00,2/16/2013
Phil Harris,Ulysses Gomez,3,5:00,2/16/2013
Alexander Gustafsson,Thiago Silva,3,5:00,4/14/2012
Brian Stann,Alessio Sakara,1,2:26,4/14/2012
Siyar Bahadurzada,Paulo Thiago,1,0:42,4/14/2012
Dennis Siver,Diego Nunes,3,5:00,4/14/2012
John Maguire,DaMarques Johnson,2,4:40,4/14/2012
Brad Pickett,Damacio Page,2,4:05,4/14/2012
James Head,Papy Abedi,1,4:33,4/14/2012
Cyrille Diabate,Tom DeBlass,3,5:00,4/14/2012
Francis Carmont,Magnus Cedenblad,2,1:42,4/14/2012
Reza Madadi,Yoislandy Izquierdo,2,1:28,4/14/2012
Simeon Thoresen,Besam Yousef,2,2:36,4/14/2012
Jason Young,Eric Wisely,3,5:00,4/14/2012
Chan Sung Jung,Dustin Poirier,4,1:07,5/15/2012
Amir Sadollah,Jorge Lopez,3,5:00,5/15/2012
Donald Cerrone,Jeremy Stephens,3,5:00,5/15/2012
Yves Jabouin,Jeff Hougland,3,5:00,5/15/2012
Igor Pokrajac,Fabio Maldonado,3,5:00,5/15/2012
Tom Lawlor,Jason MacDonald,1,0:50,5/15/2012
Brad Tavares,Dongi Yang,3,5:00,5/15/2012
Cody McKenzie,Marcus LeVesseur,1,3:05,5/15/2012
TJ Grant,Carlo Prater,3,5:00,5/15/2012
Rafael Dos Anjos,Kamal Shalorus,1,1:40,5/15/2012
Johnny Eduardo,Jeff Curran,3,5:00,5/15/2012
Francisco Rivera,Alex Soto,3,5:00,5/15/2012
Gegard Mousasi,Ilir Latifi,3,5:00,4/6/2013
Ross Pearson,Ryan Couture,2,3:45,4/6/2013
Matt Mitrione,Philip De Fries,1,0:19,4/6/2013
Brad Pickett,Mike Easton,3,5:00,4/6/2013
Diego Brandao,Pablo Garza,1,3:27,4/6/2013
Akira Corassani,Robert Peralta,3,5:00,4/6/2013
Reza Madadi,Michael Johnson,3,1:33,4/6/2013
Tor Troeng,Adam Cella,1,3:11,4/6/2013
Adlan Amagov,Chris Spang,3,5:00,4/6/2013
Conor McGregor,Marcus Brimage,1,1:07,4/6/2013
Ryan LaFlare,Ben Alloway,3,5:00,4/6/2013
Tom Lawlor,Michael Kuiper,2,1:05,4/6/2013
Papy Abedi,Besam Yousef,3,5:00,4/6/2013
Chris Weidman,Mark Munoz,2,1:37,7/11/2012
James Te Huna,Joey Beltran,3,5:00,7/11/2012
Aaron Simpson,Kenny Robertson,3,5:00,7/11/2012
Francis Carmont,Karlos Vemola,2,1:39,7/11/2012
TJ Dillashaw,Vaughan Lee,1,2:33,7/11/2012
Rafael Dos Anjos,Anthony Njokuani,3,5:00,7/11/2012
Alex Caceres,Damacio Page,2,1:27,7/11/2012
Chris Cariaso,Josh Ferguson,3,5:00,7/11/2012
Andrew Craig,Rafael Natal,2,4:52,7/11/2012
Marcelo Guimaraes,Dan Stittgen,3,5:00,7/11/2012
Raphael Assuncao,Issei Tamura,2,0:25,7/11/2012
Fabricio Werdum,Antonio Rodrigo Nogueira,2,2:41,6/8/2013
Leonardo Santos,William Macario,2,4:43,6/8/2013
Thiago Silva,Rafael Cavalcante,1,4:29,6/8/2013
Erick Silva,Jason High,1,1:11,6/8/2013
Daniel Sarafian,Eddie Mendez,1,2:20,6/8/2013
Rony Jason,Mike Wilkinson,1,1:24,6/8/2013
Raphael Assuncao,Vaughan Lee,2,1:51,6/8/2013
Felipe Arantes,Godofredo Pepey,1,3:32,6/8/2013
Ildemar Alcantara,Leandro Silva,3,5:00,6/8/2013
Rodrigo Damm,Mizuto Hirota,3,5:00,6/8/2013
Caio Magalhaes,Karlos Vemola,2,2:49,6/8/2013
Antonio Braga Neto,Anthony Smith,1,1:52,6/8/2013
Jake Ellenberger,Diego Sanchez,3,5:00,2/15/2012
Stefan Struve,Dave Herman,2,3:52,2/15/2012
Ronny Markes,Aaron Simpson,3,5:00,2/15/2012
Stipe Miocic,Philip De Fries,1,0:43,2/15/2012
TJ Dillashaw,Walel Watson,3,5:00,2/15/2012
Ivan Menjivar,John Albert,1,3:45,2/15/2012
Jonathan Brookins,Vagner Rocha,1,1:32,2/15/2012
Justin Salas,Anton Kuivanen,3,5:00,2/15/2012
Tim Means,Bernardo Magalhaes,3,5:00,2/15/2012
Wanderlei Silva,Brian Stann,2,4:08,3/2/2013
Mark Hunt,Stefan Struve,3,1:44,3/2/2013
Diego Sanchez,Takanori Gomi,3,5:00,3/2/2013
Yushin Okami,Hector Lombard,3,5:00,3/2/2013
Rani Yahya,Mizuto Hirota,3,5:00,3/2/2013
Dong Hyun Kim,Siyar Bahadurzada,3,5:00,3/2/2013
Brad Tavares,Riki Fukuda,3,5:00,3/2/2013
Takeya Mizugaki,Bryan Caraway,3,5:00,3/2/2013
Kazuki Tokudome,Cristiano Marcello,3,5:00,3/2/2013
Alex Caceres,Kyung Ho Kang,3,5:00,3/2/2013
Hyun Gyu Lim,Marcelo Guimaraes,2,4:00,3/2/2013
Stefan Struve,Stipe Miocic,2,3:50,9/29/2012
Dan Hardy,Amir Sadollah,3,5:00,9/29/2012
Brad Pickett,Yves Jabouin,1,3:40,9/29/2012
Matt Wiman,Paul Sass,1,3:48,9/29/2012
John Hathaway,John Maguire,3,5:00,9/29/2012
Che Mills,Duane Ludwig,1,2:28,9/29/2012
Jimi Manuwa,Kyle Kingsbury,2,5:00,9/29/2012
Akira Corassani,Andy Ogle,3,5:00,9/29/2012
Brad Tavares,Tom Watson,3,5:00,9/29/2012
Gunnar Nelson,DaMarques Johnson,1,3:34,9/29/2012
Robert Peralta,Jason Young,1,0:23,9/29/2012
Martin Kampmann,Thiago Alves,3,4:12,3/2/2012
Joseph Benavidez,Yasuhiro Urushitani,2,0:11,3/2/2012
Demetrious Johnson,Ian McCall,3,5:00,3/2/2012
Constantinos Philippou,Court McGee,3,5:00,3/2/2012
James Te Huna,Aaron Rosa,1,2:08,3/2/2012
Anthony Perosh,Nick Penner,1,4:59,3/2/2012
Steven Siler,Cole Miller,3,5:00,3/2/2012
Andrew Craig,Kyle Noke,3,5:00,3/2/2012
TJ Waldburger,Jake Hecht,1,0:55,3/2/2012
Daniel Pineda,Mackens Semerzier,1,2:05,3/2/2012
Shawn Jordan,Oli Thompson,2,3:53,3/2/2012
Vitor Belfort,Michael Bisping,2,1:27,1/19/2013
CB Dollaway,Daniel Sarafian,3,5:00,1/19/2013
Gabriel Gonzaga,Ben Rothwell,2,1:01,1/19/2013
Khabib Nurmagomedov,Thiago Tavares,1,1:55,1/19/2013
Godofredo Pepey,Milton Vieira,3,5:00,1/19/2013
Ronny Markes,Andrew Craig,3,5:00,1/19/2013
Nik Lentz,Diego Nunes,3,5:00,1/19/2013
Edson Barboza,Lucas Martins,1,2:38,1/19/2013
Iuri Alcantara,Pedro Nobre,1,2:11,1/19/2013
Ildemar Alcantara,Wagner Prado,2,2:39,1/19/2013
Francisco Trinaldo,CJ Keith,2,1:50,1/19/2013
Vitor Belfort,Luke Rockhold,1,2:32,5/18/2013
Jacare Souza,Chris Camozzi,1,3:37,5/18/2013
Rafael Dos Anjos,Evan Dunham,3,5:00,5/18/2013
Rafael Natal,Joao Zeferino,3,5:00,5/18/2013
Nik Lentz,Hacran Dias,3,5:00,5/18/2013
Francisco Trinaldo,Mike Rio,1,3:08,5/18/2013
Gleison Tibau,John Cholish,2,2:34,5/18/2013
Paulo Thiago,Michel Prazeres,3,5:00,5/18/2013
Iuri Alcantara,Iliarde Santos,1,2:31,5/18/2013
Fabio Maldonado,Roger Hollett,3,5:00,5/18/2013
John Lineker,Azamat Gashimov,2,1:07,5/18/2013
Jussier Formiga,Chris Cariaso,3,5:00,5/18/2013
Lucas Martins,Jeremy Larsen,3,0:13,5/18/2013
Antonio Silva,Travis Browne,1,3:27,10/5/2012
Jake Ellenberger,Jay Hieron,3,5:00,10/5/2012
John Dodson,Jussier Formiga,2,4:35,10/5/2012
Justin Edwards,Josh Neer,1,0:45,10/5/2012
Michael Johnson,Danny Castillo,2,1:06,10/5/2012
Mike Pierce,Aaron Simpson,2,0:29,10/5/2012
Marcus LeVesseur,Carlo Prater,3,5:00,10/5/2012
Jacob Volkmann,Shane Roller,1,2:38,10/5/2012
Diego Nunes,Bart Palaszewski,3,5:00,10/5/2012
Darren Uyenoyama,Phil Harris,2,3:38,10/5/2012
Jim Miller,Melvin Guillard,1,3:04,1/20/2012
Josh Neer,Duane Ludwig,1,3:04,1/20/2012
Mike Easton,Jared Papazian,3,5:00,1/20/2012
Pat Barry,Christian Morecraft,1,3:38,1/20/2012
Jorge Rivera,Eric Schafer,2,1:31,1/20/2012
Khabib Nurmagomedov,Kamal Shalorus,3,2:08,1/20/2012
Charlie Brenneman,Daniel Roberts,3,5:00,1/20/2012
Fabricio Camoes,Tommy Hayden,1,4:03,1/20/2012
Daniel Pineda,Pat Schilling,1,1:37,1/20/2012
Nick Denis,Joseph Sandoval,1,0:22,1/20/2012
Demetrious Johnson,Ian McCall,3,5:00,6/8/2012
Erick Silva,Charlie Brenneman,1,4:33,6/8/2012
Mike Pyle,Josh Neer,1,4:56,6/8/2012
Eddie Wineland,Scott Jorgensen,2,4:10,6/8/2012
Mike Pierce,Carlos Eduardo Rocha,3,5:00,6/8/2012
Seth Baczynski,Lance Benoist,3,5:00,6/8/2012
Matt Grice,Leonard Garcia,3,5:00,6/8/2012
Dustin Pague,Jared Papazian,1,3:21,6/8/2012
Tim Means,Justin Salas,1,1:06,6/8/2012
Buddy Roberts,Caio Magalhaes,3,5:00,6/8/2012
Henry Martinez,Bernardo Magalhaes,3,5:00,6/8/2012
Sean Pierson,Jake Hecht,3,5:00,6/8/2012
Gray Maynard,Clay Guida,5,5:00,6/22/2012
Sam Stout,Spencer Fisher,3,5:00,6/22/2012
Brian Ebersole,TJ Waldburger,3,5:00,6/22/2012
Cub Swanson,Ross Pearson,2,4:14,6/22/2012
Ricardo Lamas,Hatsu Hioki,3,5:00,6/22/2012
Ramsey Nijem,CJ Keith,1,2:29,6/22/2012
Rick Story,Brock Jardine,3,5:00,6/22/2012
Steven Siler,Joey Gambino,1,2:47,6/22/2012
Chris Camozzi,Nick Catone,3,1:51,6/22/2012
Matt Brown,Luis Ramos,2,4:20,6/22/2012
Dan Miller,Ricardo Funch,3,3:12,6/22/2012
Ken Stone,Dustin Pague,3,5:00,6/22/2012
Ross Pearson,George Sotiropoulos,3,0:41,12/14/2012
Robert Whittaker,Brad Scott,3,5:00,12/14/2012
Norman Parke,Colin Fletcher,3,5:00,12/14/2012
Hector Lombard,Rousimar Palhares,1,3:38,12/14/2012
Chad Mendes,Yaotzin Meza,1,1:55,12/14/2012
Igor Pokrajac,Joey Beltran,3,5:00,12/14/2012
Mike Pierce,Seth Baczynski,3,5:00,12/14/2012
Ben Alloway,Manuel Rodriguez,1,4:57,12/14/2012
Mike Wilkinson,Brendan Loughnane,3,5:00,12/14/2012
Cody Donovan,Nick Penner,1,4:35,12/14/2012
Anderson Silva,James Irvin,1,1:01,7/19/2008
Brandon Vera,Reese Andy,3,5:00,7/19/2008
Frankie Edgar,Hermes Franca,3,5:00,7/19/2008
Cain Velasquez,Jake O'Brien,1,2:02,7/19/2008
Kevin Burns,Anthony Johnson,3,3:35,7/19/2008
CB Dollaway,Jesse Taylor,1,3:58,7/19/2008
Tim Credeur,Cale Yarbrough,1,1:54,7/19/2008
Rory Markham,Brodie Farber,1,1:37,7/19/2008
Nate Loughran,Johnny Rees,1,4:21,7/19/2008
Brad Blackburn,James Giboo,2,2:29,7/19/2008
Shannon Gugerty,Dale Hartt,1,3:33,7/19/2008
Ken Shamrock,Tito Ortiz,1,2:23,10/10/2006
Chris Price,Kendall Grove,1,3:59,10/10/2006
Ed Herman,Jason MacDonald,1,2:43,10/10/2006
Seth Petruzelli,Matt Hamill,3,5:00,10/10/2006
Crafton Wallace,Nate Marquardt,2,1:14,10/10/2006
Dustin Hazelett,Tony DeSouza,1,3:59,10/10/2006
Josh Haynes,Rory Singer,3,5:00,10/10/2006
John Alessio,Thiago Alves,3,5:00,10/10/2006
Forrest Petz,Marcus Davis,1,4:58,10/10/2006
Rose Namajunas,Carla Esparza,3,1:26,12/12/2014
Jeremy Stephens,Charles Oliveira,3,5:00,12/12/2014
Daron Cruickshank,KJ Noons,2,0:25,12/12/2014
Joe Proctor,Yancy Medeiros,1,4:37,12/12/2014
Randa Markos,Jessica Penne,3,5:00,12/12/2014
Lisa Ellis,Felice Herrig,2,3:05,12/12/2014
Bec Rawlings,Heather Clark,3,5:00,12/12/2014
Seo Hee Ham,Joanne Calderwood,3,5:00,12/12/2014
Angela Magana,Tecia Torres,3,5:00,12/12/2014
Alex Chambers,Aisling Daly,1,4:53,12/12/2014
Emily Kagan,Angela Hill,3,5:00,12/12/2014
Roxanne Modafferi,Nicco Montano,5,5:00,12/1/2017
Terrion Ware,Sean O'Malley,3,5:00,12/1/2017
Barb Honchak,Lauren Murphy,3,5:00,12/1/2017
Eric Spicely,Gerald Meerschaert,2,2:18,12/1/2017
Melinda Fabian,DeAnna Bennett,3,5:00,12/1/2017
Joe Soto,Brett Johns,1,0:30,12/1/2017
Christina Marks,Montana De La Rosa,1,2:00,12/1/2017
Andrew Sanchez,Ryan Janes,3,0:58,12/1/2017
Karine Gevorgyan,Rachael Ostovich,1,1:40,12/1/2017
Ariel Beck,Shana Dobson,2,2:53,12/1/2017
Emily Whitmire,Gillian Robertson,1,2:12,12/1/2017
Jake Ellenberger,Stephen Thompson,1,4:29,7/12/2015
Hayder Hassan,Kamaru Usman,2,1:19,7/12/2015
Vicente Luque,Michael Graves,3,5:00,7/12/2015
Cezar Ferreira,Jorge Masvidal,1,4:22,7/12/2015
Angela Magana,Michelle Waterson,3,2:38,7/12/2015
Mike de la Torre,Maximo Blanco,1,0:16,7/12/2015
Caio Magalhaes,Josh Samman,1,2:52,7/12/2015
Russell Doane,Jerrod Sanders,3,5:00,7/12/2015
Dan Miller,Trevor Smith,3,5:00,7/12/2015
Dominic Waters,George Sullivan,3,5:00,7/12/2015
Darrell Montague,Willie Gates,1,1:36,7/12/2015
Rafael Dos Anjos,Kamaru Usman,5,5:00,11/30/2018
Justin Frazier,Juan Espino,1,3:36,11/30/2018
Pannie Kianzad,Macy Chiasson,2,2:11,11/30/2018
Bryan Caraway,Pedro Munhoz,1,2:39,11/30/2018
Darren Stewart,Edmen Shahbazyan,3,5:00,11/30/2018
Ji Yeon Kim,Antonina Shevchenko,3,5:00,11/30/2018
Rick Glenn,Kevin Aguilar,3,5:00,11/30/2018
Alex Perez,Joseph Benavidez,1,4:19,11/30/2018
Michel Batista,Maurice Greene,1,2:14,11/30/2018
Julija Stoliarenko,Leah Letson,3,5:00,11/30/2018
Darrell Horcher,Roosevelt Roberts,1,4:50,11/30/2018
Ricky Rainey,Tim Means,1,1:18,11/30/2018
Chris Gutierrez,Raoni Barcelos,2,4:12,11/30/2018
Brendan Schaub,Roy Nelson,1,3:45,12/5/2009
Jon Jones,Matt Hamill,1,4:14,12/5/2009
Houston Alexander,Kevin Ferguson,3,5:00,12/5/2009
Matt Veach,Frankie Edgar,2,2:20,12/5/2009
Marcus Jones,Matt Mitrione,2,0:10,12/5/2009
Darrill Schoonover,James McSweeney,3,3:20,12/5/2009
Justin Wren,Jon Madsen,3,5:00,12/5/2009
Rodney Wallace,Brian Stann,3,5:00,12/5/2009
Dennis Hallman,John Howard,3,4:55,12/5/2009
Joe Brammer,Mark Bocek,1,3:36,12/5/2009
Jake Ellenberger,Martin Kampmann,2,1:40,6/1/2012
Al Iaquinta,Michael Chiesa,1,2:47,6/1/2012
Jonathan Brookins,Charles Oliveira,2,2:42,6/1/2012
Pat Schilling,Max Holloway,3,5:00,6/1/2012
John Cofer,Justin Lawrence,3,0:19,6/1/2012
Chris Tickle,Daron Cruickshank,3,5:00,6/1/2012
Chris Saunders,Myles Jury,1,4:03,6/1/2012
Cristiano Marcello,Sam Sicilia,2,2:53,6/1/2012
Jeremy Larsen,Joe Proctor,1,1:59,6/1/2012
John Albert,Erik Perez,1,4:18,6/1/2012
Michael Johnson,Justin Gaethje,2,4:48,7/7/2017
Dhiego Lima,Jesse Taylor,2,0:43,7/7/2017
Marc Diakiese,Drakkar Klose,3,5:00,7/7/2017
Nick Roehrick,Jared Cannonier,3,2:08,7/7/2017
Elias Theodorou,Brad Tavares,3,5:00,7/7/2017
Marcel Fortuna,Jordan Johnson,3,5:00,7/7/2017
Ashley Yoder,Angela Hill,3,5:00,7/7/2017
Tom Gallicchio,James Krause,3,5:00,7/7/2017
Ed Herman,CB Dollaway,3,5:00,7/7/2017
Juliana Lima,Tecia Torres,2,0:53,7/7/2017
Teruto Ishihara,Gray Maynard,3,5:00,7/7/2017
Jason Miller,Michael Bisping,3,3:34,12/3/2011
Dennis Bermudez,Diego Brandao,1,4:51,12/3/2011
TJ Dillashaw,John Dodson,1,1:54,12/3/2011
Yves Edwards,Tony Ferguson,3,5:00,12/3/2011
Louis Gaudinot,Johnny Bedford,3,1:58,12/3/2011
Stephen Bass,Marcus Brimage,3,5:00,12/3/2011
Dustin Pague,John Albert,1,1:09,12/3/2011
Josh Ferguson,Roland Delorme,3,0:22,12/3/2011
Josh Clopton,Steven Siler,3,5:00,12/3/2011
Dustin Neace,Bryan Caraway,2,3:38,12/3/2011
Matt Mitrione,Roy Nelson,1,2:58,12/15/2012
Mike Ricci,Colton Smith,3,5:00,12/15/2012
Shane del Rosario,Pat Barry,2,0:26,12/15/2012
Jonathan Brookins,Dustin Poirier,1,4:15,12/15/2012
James Head,Mike Pyle,1,1:55,12/15/2012
Marcos Vinicius,Johnny Bedford,2,1:00,12/15/2012
Vinc Pichel,Rustam Khabilov,1,2:15,12/15/2012
Nick Catone,TJ Waldburger,2,1:04,12/15/2012
