R_fighter,B_fighter,date,finish,finish_details
Cody Garbrandt,Augusto Mendes,2/21/2016,KO/TKO,Punches
Dennis Bermudez,Tatsuya Kawajiri,2/21/2016,U-DEC,
Chris Camozzi,Joe Riggs,2/21/2016,KO/TKO,Knees
James Krause,Shane Campbell,2/21/2016,U-DEC,
Alex Garcia,Sean Strickland,2/21/2016,KO/TKO,Punches
Daniel Sarafian,Oluwale Bamgbose,2/21/2016,KO/TKO,Kick
Anthony Smith,Leonardo Augusto Leleco,2/21/2016,,
Jonavin Webb,Nathan Coy,2/21/2016,U-DEC,
Marion Reneau,Ashlee Evans-Smith,2/21/2016,S-DEC,
Lauren Murphy,Kelly Faszholz,2/21/2016,KO/TKO,Punches
Anthony Hamilton,Shamil Abdurakhimov,2/21/2016,U-DEC,
Johny Hendricks,Stephen Thompson,2/6/2016,KO/TKO,Punch
Roy Nelson,Jared Rosholt,2/6/2016,U-DEC,
Ovince Saint Preux,Rafael Feijao,2/6/2016,,
Joseph Benavidez,Zach Makovsky,2/6/2016,U-DEC,
Misha Cirkunov,Alex Nicholson,2/6/2016,SUB,Neck Crank
Mike Pyle,Sean Spencer,2/6/2016,KO/TKO,Elbow
Joshua Burkman,KJ Noons,2/6/2016,U-DEC,
Derrick Lewis,Damian Grabowski,2/6/2016,KO/TKO,Punch
Ray Borg,Justin Scoggins,2/6/2016,U-DEC,
Noad Lahat,Diego Rivas,2/6/2016,KO/TKO,Flying Knee
Mickey Gall,Mike Jackson,2/6/2016,SUB,Rear Naked Choke
Artem Lobov,Alex White,2/6/2016,U-DEC,
Anthony Johnson,Ryan Bader,1/30/2016,KO/TKO,Punches
Josh Barnett,Ben Rothwell,1/30/2016,SUB,Guillotine Choke
Iuri Alcantara,Jimmie Rivera,1/30/2016,U-DEC,
Sage Northcutt,Bryan Barberena,1/30/2016,SUB,Arm Triangle
Tarec Saffiedine,Jake Ellenberger,1/30/2016,U-DEC,
Olivier Aubin-Mercier,Diego Ferreira,1/30/2016,U-DEC,
Rafael Natal,Kevin Casey,1/30/2016,KO/TKO,Punches
Dustin Ortiz,Wilson Reis,1/30/2016,U-DEC,
George Sullivan,Alexander Yakovlev,1/30/2016,KO/TKO,Punches
Alex Caceres,Masio Fullen,1/30/2016,U-DEC,
Matt Dwyer,Randy Brown,1/30/2016,U-DEC,
Anthony Rocco Martin,Felipe Olivieri,1/30/2016,SUB,Rear Naked Choke
TJ Dillashaw,Dominick Cruz,1/17/2016,S-DEC,
Anthony Pettis,Eddie Alvarez,1/17/2016,S-DEC,
Travis Browne,Matt Mitrione,1/17/2016,KO/TKO,Punches
Ross Pearson,Francisco Trinaldo,1/17/2016,U-DEC,
Patrick Cote,Ben Saunders,1/17/2016,KO/TKO,Punches
Tim Boetsch,Ed Herman,1/17/2016,KO/TKO,Knee
Chris Wade,Mehdi Baghdad,1/17/2016,SUB,Rear Naked Choke
Maximo Blanco,Luke Sanders,1/17/2016,SUB,Rear Naked Choke
Paul Felder,Daron Cruickshank,1/17/2016,SUB,Rear Naked Choke
Ilir Latifi,Sean O'Connell,1/17/2016,KO/TKO,Punch
Charles Rosa,Kyle Bochniak,1/17/2016,U-DEC,
Rob Font,Joey Gomez,1/17/2016,KO/TKO,Punches
Francimar Barroso,Elvis Mutapcic,1/17/2016,U-DEC,
Robbie Lawler,Carlos Condit,1/2/2016,S-DEC,
Stipe Miocic,Andrei Arlovski,1/2/2016,KO/TKO,Punch
Lorenz Larkin,Albert Tumenov,1/2/2016,S-DEC,
Diego Brandao,Brian Ortega,1/2/2016,SUB,Triangle Choke
Abel Trujillo,Tony Sims,1/2/2016,SUB,Guillotine Choke
Michael McDonald,Masanori Kanehara,1/2/2016,SUB,Rear Naked Choke
Kyle Noke,Alex Morono,1/2/2016,S-DEC,
Justine Kish,Nina Ansaroff,1/2/2016,U-DEC,
Scott Holtzman,Drew Dober,1/2/2016,U-DEC,
Dustin Poirier,Joe Duffy,1/2/2016,U-DEC,
Joe Soto,Michinori Tanaka,1/2/2016,S-DEC,
Sheldon Westcott,Edgar Garcia,1/2/2016,KO/TKO,Punches
Rafael Dos Anjos,Donald Cerrone,12/19/2015,KO/TKO,Punches
Junior Dos Santos,Alistair Overeem,12/19/2015,KO/TKO,Punches
Michael Johnson,Nate Diaz,12/19/2015,U-DEC,
Randa Markos,Karolina Kowalkiewicz,12/19/2015,U-DEC,
Charles Oliveira,Myles Jury,12/19/2015,SUB,Guillotine Choke
CB Dollaway,Nate Marquardt,12/19/2015,KO/TKO,Punch
Sarah Kaufman,Valentina Shevchenko,12/19/2015,S-DEC,
Josh Samman,Tamdan McCrory,12/19/2015,SUB,Triangle Choke
Nik Lentz,Danny Castillo,12/19/2015,S-DEC,
Kamaru Usman,Leon Edwards,12/19/2015,U-DEC,
Hayder Hassan,Vicente Luque,12/19/2015,SUB,Anaconda Choke
Francis Ngannou,Luis Henrique,12/19/2015,KO/TKO,Punch
Jose Aldo,Conor McGregor,12/12/2015,KO/TKO,Punch
Chris Weidman,Luke Rockhold,12/12/2015,KO/TKO,Punches
Jacare Souza,Yoel Romero,12/12/2015,S-DEC,
Demian Maia,Gunnar Nelson,12/12/2015,U-DEC,
Max Holloway,Jeremy Stephens,12/12/2015,U-DEC,
Urijah Faber,Frankie Saenz,12/12/2015,U-DEC,
Tecia Torres,Jocelyn Jones-Lybarger,12/12/2015,U-DEC,
Warlley Alves,Colby Covington,12/12/2015,SUB,Guillotine Choke
Leonardo Santos,Kevin Lee,12/12/2015,KO/TKO,Punches
Joe Proctor,Magomed Mustafaev,12/12/2015,KO/TKO,Knee
John Makdessi,Yancy Medeiros,12/12/2015,S-DEC,
Court McGee,Marcio Alexandre Junior,12/12/2015,U-DEC,
Frankie Edgar,Chad Mendes,12/11/2015,KO/TKO,Punch
Artem Lobov,Ryan Hall,12/11/2015,U-DEC,
Edson Barboza,Tony Ferguson,12/11/2015,SUB,D'Arce Choke
Joe Lauzon,Evan Dunham,12/11/2015,U-DEC,
Tatsuya Kawajiri,Jason Knight,12/11/2015,U-DEC,
Julian Erosa,Marcin Wrzosek,12/11/2015,S-DEC,
Gabriel Gonzaga,Konstantin Erokhin,12/11/2015,U-DEC,
Ryan LaFlare,Mike Pierce,12/11/2015,U-DEC,
Joby Sanchez,Geane Herrera,12/11/2015,KO/TKO,Punch
Chris Gruetzemacher,Abner Lloveras,12/11/2015,U-DEC,
Rose Namajunas,Paige VanZant,12/10/2015,SUB,Rear Naked Choke
Jim Miller,Michael Chiesa,12/10/2015,SUB,Rear Naked Choke
Sage Northcutt,Cody Pfister,12/10/2015,SUB,Guillotine Choke
Elias Theodorou,Thiago Santos,12/10/2015,U-DEC,
Tim Means,John Howard,12/10/2015,KO/TKO,Punch
Omari Akhmedov,Sergio Moraes,12/10/2015,KO/TKO,Punches
Aljamain Sterling,Johnny Eduardo,12/10/2015,SUB,Guillotine Choke
Santiago Ponzinibbio,Andreas Stahl,12/10/2015,KO/TKO,Punch
Danny Roberts,Nathan Coy,12/10/2015,SUB,Triangle Choke
Zubaira Tukhugov,Phillipe Nover,12/10/2015,S-DEC,
Kailin Curran,Emily Peters Kagan,12/10/2015,,
Benson Henderson,Jorge Masvidal,11/28/2015,S-DEC,
Dong Hyun Kim,Dominic Waters,11/28/2015,KO/TKO,Punches
Yoshihiro Akiyama,Alberto Mina,11/28/2015,S-DEC,
Dooho Choi,Sam Sicilia,11/28/2015,KO/TKO,Punch
Dongi Yang,Jake Collier,11/28/2015,KO/TKO,Punches
Yui Chul Nam,Mike de la Torre,11/28/2015,S-DEC,
Tae Hyun Bang,Leo Kuntz,11/28/2015,S-DEC,
Seohee Ham,Cortney Casey,11/28/2015,,
Yao Zhikui,Fredy Serrano,11/28/2015,KO/TKO,
Ning Guangyou,Marco Beltran,11/28/2015,,
Dominique Steele,Dong Hyun Ma,11/28/2015,KO/TKO,Slam
Neil Magny,Kelvin Gastelum,11/21/2015,S-DEC,
Ricardo Lamas,Diego Sanchez,11/21/2015,U-DEC,
Jussier Formiga,Henry Cejudo,11/21/2015,S-DEC,
Erick Montano,Enrique Marin,11/21/2015,S-DEC,
Horacio Gutierrez,Enrique Barzola,11/21/2015,U-DEC,
Efrain Escudero,Leandro Silva,11/21/2015,U-DEC,
Erik Perez,Taylor Lapilus,11/21/2015,U-DEC,
Hector Urbina,Bartosz Fabinski,11/21/2015,U-DEC,
Alejandro Perez,Scott Jorgensen,11/21/2015,KO/TKO,
Gabriel Benitez,Andre Fili,11/21/2015,KO/TKO,Punches
Vernon Ramos,Alvaro Herrera,11/21/2015,,
Cesar Arzamendia,Polo Reyes,11/21/2015,,
Valmir Lazaro,Michel Prazeres,11/21/2015,S-DEC,
Ronda Rousey,Holly Holm,11/14/2015,KO/TKO,Kick
Joanna Jedrzejczyk,Valerie Letourneau,11/14/2015,U-DEC,
Mark Hunt,Antonio Silva,11/14/2015,KO/TKO,Punch
Uriah Hall,Robert Whittaker,11/14/2015,U-DEC,
Stefan Struve,Jared Rosholt,11/14/2015,U-DEC,
Jake Matthews,Akbarh Arreola,11/14/2015,KO/TKO,
Kyle Noke,Peter Sobotta,11/14/2015,KO/TKO,Kick
Anthony Perosh,Gian Villante,11/14/2015,KO/TKO,Punch
Richie Vaculik,Danny Martinez,11/14/2015,U-DEC,
Daniel Kelly,Steve Montgomery,11/14/2015,U-DEC,
Richard Walsh,Steve Kennedy,11/14/2015,U-DEC,
James Moontasri,Anton Zafir,11/14/2015,KO/TKO,Spinning Back Kick
Ben Nguyen,Ryan Benoit,11/14/2015,SUB,Rear Naked Choke
Vitor Belfort,Dan Henderson,11/7/2015,KO/TKO,Kick
Glover Teixeira,Patrick Cummins,11/7/2015,KO/TKO,Punches
Thomas Almeida,Anthony Birchak,11/7/2015,KO/TKO,Punches
Alex Oliveira,Piotr Hallmann,11/7/2015,KO/TKO,Punch
Gilbert Burns,Rashid Magomedov,11/7/2015,U-DEC,
Fabio Maldonado,Corey Anderson,11/7/2015,U-DEC,
Gleison Tibau,Abel Trujillo,11/7/2015,DQ,Rear Naked Choke
Yan Cabral,Johnny Case,11/7/2015,U-DEC,
Clay Guida,Thiago Tavares,11/7/2015,SUB,Guillotine Choke
Kevin Souza,Chas Skelly,11/7/2015,,
Viscardi Andrade,Gasan Umalatov,11/7/2015,U-DEC,
Pedro Munhoz,Jimmie Rivera,11/7/2015,S-DEC,
Bruno Korea,Matheus Nicolau,11/7/2015,,
Paddy Holohan,Louis Smolka,10/24/2015,SUB,Rear Naked Choke
Norman Parke,Reza Madadi,10/24/2015,U-DEC,
Neil Seery,Jon Delos Reyes,10/24/2015,SUB,Guillotine Choke
Stevie Ray,Mickael Lebout,10/24/2015,U-DEC,
Aisling Daly,Ericka Almeida,10/24/2015,U-DEC,
Scott Askham,Krzysztof Jotko,10/24/2015,S-DEC,
Cathal Pendred,Tom Breese,10/24/2015,KO/TKO,Punches
Darren Elkins,Rob Whiteford,10/24/2015,,
Bubba Bush,Garreth McLellan,10/24/2015,KO/TKO,Punches
Daniel Cormier,Alexander Gustafsson,10/3/2015,S-DEC,
Ryan Bader,Rashad Evans,10/3/2015,U-DEC,
Shawn Jordan,Ruslan Magomedov,10/3/2015,U-DEC,
Joseph Benavidez,Ali Bagautinov,10/3/2015,U-DEC,
Jessica Eye,Julianna Pena,10/3/2015,U-DEC,
Yair Rodriguez,Dan Hooker,10/3/2015,U-DEC,
Alan Jouban,Albert Tumenov,10/3/2015,KO/TKO,Punches
Adriano Martins,Islam Makhachev,10/3/2015,KO/TKO,Punch
Rose Namajunas,Angela Hill,10/3/2015,SUB,Rear Naked Choke
Francisco Trevino,Sage Northcutt,10/3/2015,KO/TKO,Punches
Chris Cariaso,Sergio Pettis,10/3/2015,U-DEC,
Derrick Lewis,Viktor Pesta,10/3/2015,KO/TKO,Punches
Josh Barnett,Roy Nelson,9/26/2015,U-DEC,
Gegard Mousasi,Uriah Hall,9/26/2015,KO/TKO,Spinning Back Kick
Kyoji Horiguchi,Chico Camus,9/26/2015,U-DEC,
Takeya Mizugaki,George Roop,9/26/2015,U-DEC,
Katsunori Kikuno,Diego Brandao,9/26/2015,KO/TKO,Punch
Keita Nakamura,Li Jingliang,9/26/2015,,
Nick Hein,Yusuke Kasuya,9/26/2015,U-DEC,
Naoyuki Kotani,Kajan Johnson,9/26/2015,U-DEC,
Shinsho Anzai,Roger Zapata,9/26/2015,KO/TKO,
Demetrious Johnson,John Dodson,9/5/2015,U-DEC,
Andrei Arlovski,Frank Mir,9/5/2015,U-DEC,
Anthony Johnson,Jimi Manuwa,9/5/2015,KO/TKO,Punch
Jan Blachowicz,Corey Anderson,9/5/2015,U-DEC,
Paige VanZant,Alex Chambers,9/5/2015,SUB,Armbar
Ross Pearson,Paul Felder,9/5/2015,S-DEC,
Francisco Rivera,John Lineker,9/5/2015,SUB,Guillotine Choke
Jessica Andrade,Raquel Pennington,9/5/2015,SUB,Rear Naked Choke
Clay Collard,Tiago Trator,9/5/2015,,
Joe Riggs,Ron Stallings,9/5/2015,DQ,
Joaquim Silva,Nazareno Malegarie,9/5/2015,S-DEC,
Max Holloway,Charles Oliveira,8/23/2015,KO/TKO,
Neil Magny,Erick Silva,8/23/2015,U-DEC,
Patrick Cote,Joshua Burkman,8/23/2015,KO/TKO,Punches
Chad Laprise,Francisco Trinaldo,8/23/2015,KO/TKO,Punches
Olivier Aubin-Mercier,Tony Sims,8/23/2015,U-DEC,
Maryna Moroz,Valerie Letourneau,8/23/2015,U-DEC,
Sam Stout,Frankie Perez,8/23/2015,KO/TKO,Punches
Yves Jabouin,Felipe Arantes,8/23/2015,SUB,Armbar
Marcos Rogerio de Lima,Nikita Krylov,8/23/2015,SUB,Rear Naked Choke
Chris Kelades,Chris Beal,8/23/2015,S-DEC,
Shane Campbell,Elias Silverio,8/23/2015,U-DEC,
Misha Cirkunov,Daniel Jolly,8/23/2015,KO/TKO,Punches
Glover Teixeira,Ovince Saint Preux,8/8/2015,SUB,Rear Naked Choke
Michael Johnson,Beneil Dariush,8/8/2015,S-DEC,
Derek Brunson,Sam Alvey,8/8/2015,KO/TKO,Punches
Jared Rosholt,Tim Johnson,8/8/2015,,
Sara McMann,Amanda Nunes,8/8/2015,SUB,Rear Naked Choke
Ray Borg,Geane Herrera,8/8/2015,U-DEC,
Uriah Hall,Oluwale Bamgbose,8/8/2015,KO/TKO,Punches
Chris Camozzi,Tom Watson,8/8/2015,U-DEC,
Dustin Ortiz,Willie Gates,8/8/2015,KO/TKO,Punches
Frankie Saenz,Sirwan Kakai,8/8/2015,S-DEC,
Chris Dempsey,Jonathan Wilson,8/8/2015,KO/TKO,Punch
Marlon Vera,Roman Salazar,8/8/2015,SUB,Armbar
Anthony Christodoulou,Scott Holtzman,8/8/2015,SUB,Rear Naked Choke
Ronda Rousey,Bethe Correia,8/1/2015,KO/TKO,Punch
Mauricio Rua,Rogerio Nogueira,8/1/2015,U-DEC,
Glaico Franca,Fernando Bruno,8/1/2015,,
Reginaldo Vieira,Dileno Lopes,8/1/2015,U-DEC,
Stefan Struve,Minotauro Nogueira,8/1/2015,,
Antonio Silva,Soa Palelei,8/1/2015,KO/TKO,Punches
Claudia Gadelha,Jessica Aguilar,8/1/2015,U-DEC,
Demian Maia,Neil Magny,8/1/2015,SUB,Rear Naked Choke
Rafael Feijao,Patrick Cummins,8/1/2015,,
Warlley Alves,Nordine Taleb,8/1/2015,SUB,Guillotine Choke
Iuri Alcantara,Leandro Issa,8/1/2015,U-DEC,
Vitor Miranda,Clint Hester,8/1/2015,KO/TKO,Elbows
Hugo Viana,Guido Cannetti,8/1/2015,U-DEC,
TJ Dillashaw,Renan Barao,7/25/2015,KO/TKO,Punches
Miesha Tate,Jessica Eye,7/25/2015,U-DEC,
Edson Barboza,Paul Felder,7/25/2015,U-DEC,
Joe Lauzon,Takanori Gomi,7/25/2015,KO/TKO,Punches
Gian Villante,Tom Lawlor,7/25/2015,KO/TKO,Punch
Jim Miller,Danny Castillo,7/25/2015,S-DEC,
Kenny Robertson,Ben Saunders,7/25/2015,S-DEC,
Eddie Wineland,Bryan Caraway,7/25/2015,U-DEC,
Daron Cruickshank,James Krause,7/25/2015,SUB,Rear Naked Choke
Ramsey Nijem,Andrew Holbrook,7/25/2015,S-DEC,
Jessamyn Duke,Elizabeth Phillips,7/25/2015,U-DEC,
Zak Cummings,Dominique Steele,7/25/2015,KO/TKO,Punches
Michael Bisping,Thales Leites,7/18/2015,S-DEC,
Ross Pearson,Evan Dunham,7/18/2015,U-DEC,
Joe Duffy,Ivan Jorge,7/18/2015,SUB,Triangle Choke
Joanne Calderwood,Cortney Casey,7/18/2015,U-DEC,
Leon Edwards,Pawel Pawlak,7/18/2015,U-DEC,
Stevie Ray,Leonardo Mafra,7/18/2015,KO/TKO,Punches
Paddy Holohan,Vaughan Lee,7/18/2015,U-DEC,
Ilir Latifi,Hans Stringer,7/18/2015,KO/TKO,Punch
Mickael Lebout,Teemu Packalen,7/18/2015,U-DEC,
Rob Whiteford,Paul Redmond,7/18/2015,,
Marcus Brimage,Jimmie Rivera,7/18/2015,KO/TKO,Punches
Daniel Omielanczuk,Chris de la Rocha,7/18/2015,KO/TKO,Punch
Frank Mir,Todd Duffee,7/15/2015,KO/TKO,Punch
Josh Thomson,Tony Ferguson,7/15/2015,U-DEC,
Holly Holm,Marion Reneau,7/15/2015,U-DEC,
Scott Jorgensen,Manvel Gamburyan,7/15/2015,U-DEC,
Kevin Lee,James Moontasri,7/15/2015,SUB,Rear Naked Choke
Alan Jouban,Matt Dwyer,7/15/2015,U-DEC,
Sam Sicilia,Yaotzin Meza,7/15/2015,U-DEC,
Jessica Andrade,Sarah Moras,7/15/2015,U-DEC,
Rani Yahya,Masanori Kanehara,7/15/2015,S-DEC,
Igor Araujo,Sean Strickland,7/15/2015,U-DEC,
Kevin Casey,Ildemar Alcantara,7/15/2015,U-DEC,
Andrew Craig,Lyman Good,7/15/2015,KO/TKO,Punch
Jake Ellenberger,Stephen Thompson,7/12/2015,KO/TKO,Kick
Kamaru Usman,Hayder Hassan,7/12/2015,SUB,Arm Triangle
Michael Graves,Vicente Luque,7/12/2015,U-DEC,
Jorge Masvidal,Cezar Ferreira,7/12/2015,KO/TKO,Elbow
Angela Magana,Michelle Waterson,7/12/2015,SUB,Rear Naked Choke
Maximo Blanco,Mike de la Torre,7/12/2015,KO/TKO,Punch
Josh Samman,Caio Magalhaes,7/12/2015,SUB,Rear Naked Choke
Russell Doane,Jerrod Sanders,7/12/2015,U-DEC,
Dan Miller,Trevor Smith,7/12/2015,U-DEC,
George Sullivan,Dominic Waters,7/12/2015,U-DEC,
Darrell Montague,Willie Gates,7/12/2015,KO/TKO,Punches
Chad Mendes,Conor McGregor,7/11/2015,KO/TKO,Punch
Robbie Lawler,Rory MacDonald,7/11/2015,KO/TKO,Punch
Dennis Bermudez,Jeremy Stephens,7/11/2015,KO/TKO,Flying Knee
Gunnar Nelson,Brandon Thatch,7/11/2015,SUB,Rear Naked Choke
Brad Pickett,Thomas Almeida,7/11/2015,KO/TKO,Flying Knee
Matt Brown,Tim Means,7/11/2015,SUB,Guillotine Choke
Mike Swick,Alex Garcia,7/11/2015,U-DEC,
Cathal Pendred,John Howard,7/11/2015,S-DEC,
Cody Garbrandt,Henry Briones,7/11/2015,U-DEC,
Neil Seery,Louis Smolka,7/11/2015,U-DEC,
Yosdenis Cedeno,Cody Pfister,7/11/2015,U-DEC,
Lyoto Machida,Yoel Romero,6/27/2015,KO/TKO,Elbows
Santiago Ponzinibbio,Lorenz Larkin,6/27/2015,KO/TKO,Punches
Antonio Carlos Junior,Eddie Gordon,6/27/2015,SUB,Rear Naked Choke
Thiago Santos,Steve Bosse,6/27/2015,KO/TKO,Kick
Hacran Dias,Levan Makashvili,6/27/2015,S-DEC,
Alex Oliveira,Joe Merritt,6/27/2015,U-DEC,
Leandro Silva,Lewis Gonzalez,6/27/2015,U-DEC,
Steve Montgomery,Tony Sims,6/27/2015,KO/TKO,Punch
Danny Martinez,Sirwan Kakai,6/27/2015,U-DEC,
Joanna Jedrzejczyk,Jessica Penne,6/20/2015,KO/TKO,Punches
Dennis Siver,Tatsuya Kawajiri,6/20/2015,U-DEC,
Peter Sobotta,Steve Kennedy,6/20/2015,SUB,Rear Naked Choke
Nick Hein,Lukasz Sajewski,6/20/2015,U-DEC,
Makwan Amirkhani,Masio Fullen,6/20/2015,SUB,Rear Naked Choke
Mairbek Taisumov,Alan Patrick,6/20/2015,KO/TKO,Kick
Alan Omer,Arnold Allen,6/20/2015,SUB,Guillotine Choke
Niklas Backstrom,Noad Lahat,6/20/2015,M-DEC,
Scott Askham,Antonio Dos Santos,6/20/2015,KO/TKO,Punch
Piotr Hallmann,Magomed Mustafaev,6/20/2015,KO/TKO,
Taylor Lapilus,Ulka Sasaki,6/20/2015,,
Cain Velasquez,Fabricio Werdum,6/13/2015,SUB,Guillotine Choke
Gilbert Melendez,Eddie Alvarez,6/13/2015,S-DEC,
Kelvin Gastelum,Nate Marquardt,6/13/2015,KO/TKO,
Yair Rodriguez,Charles Rosa,6/13/2015,S-DEC,
Tecia Torres,Angela Hill,6/13/2015,U-DEC,
Henry Cejudo,Chico Camus,6/13/2015,U-DEC,
Efrain Escudero,Drew Dober,6/13/2015,SUB,Guillotine Choke
Alejandro Perez,Patrick Williams,6/13/2015,SUB,Guillotine Choke
Francisco Trevino,Johnny Case,6/13/2015,U-DEC,
Augusto Montano,Cathal Pendred,6/13/2015,U-DEC,
Gabriel Benitez,Clay Collard,6/13/2015,U-DEC,
Tim Boetsch,Dan Henderson,6/6/2015,KO/TKO,Punch
Ben Rothwell,Matt Mitrione,6/6/2015,SUB,Guillotine Choke
Dustin Poirier,Yancy Medeiros,6/6/2015,KO/TKO,Punches
Thiago Tavares,Brian Ortega,6/6/2015,KO/TKO,Punch
Joe Soto,Anthony Birchak,6/6/2015,KO/TKO,Punch
Francisco Rivera,Alex Caceres,6/6/2015,KO/TKO,Punch
Shawn Jordan,Derrick Lewis,6/6/2015,KO/TKO,Kick
Brian Ebersole,Omari Akhmedov,6/6/2015,KO/TKO,
Chris Wade,Christos Giagos,6/6/2015,U-DEC,
Joe Proctor,Justin Edwards,6/6/2015,SUB,Guillotine Choke
Ricardo Abreu,Jake Collier,6/6/2015,S-DEC,
Jose Quinonez,Leonardo Morales,6/6/2015,SUB,Rear Naked Choke
Carlos Condit,Thiago Alves,5/30/2015,KO/TKO,
Nik Lentz,Charles Oliveira,5/30/2015,SUB,Guillotine Choke
KJ Noons,Alex Oliveira,5/30/2015,SUB,Rear Naked Choke
Francimar Barroso,Ryan Jimmo,5/30/2015,U-DEC,
Francisco Trinaldo,Norman Parke,5/30/2015,U-DEC,
Wendell Oliveira,Darren Till,5/30/2015,,
Jussier Formiga,Wilson Reis,5/30/2015,U-DEC,
Elizeu Zaleski dos Santos,Nicolas Dalby,5/30/2015,S-DEC,
Lucas Martins,Mirsad Bektic,5/30/2015,KO/TKO,Punches
Juliana Lima,Ericka Almeida,5/30/2015,U-DEC,
Luiz Dutra,Tom Breese,5/30/2015,KO/TKO,Punches
Anthony Johnson,Daniel Cormier,5/23/2015,SUB,Rear Naked Choke
Chris Weidman,Vitor Belfort,5/23/2015,KO/TKO,Punches
Donald Cerrone,John Makdessi,5/23/2015,KO/TKO,Kick
Travis Browne,Andrei Arlovski,5/23/2015,KO/TKO,Punches
Joseph Benavidez,John Moraga,5/23/2015,U-DEC,
John Dodson,Zach Makovsky,5/23/2015,U-DEC,
Dong Hyun Kim,Joshua Burkman,5/23/2015,SUB,Arm Triangle
Uriah Hall,Rafael Natal,5/23/2015,S-DEC,
Mike Pyle,Colby Covington,5/23/2015,U-DEC,
Islam Makhachev,Leo Kuntz,5/23/2015,SUB,Rear Naked Choke
Justin Scoggins,Joshua Sampo,5/23/2015,,
Frankie Edgar,Urijah Faber,5/16/2015,U-DEC,
Gegard Mousasi,Costas Philippou,5/16/2015,,
Mark Munoz,Luke Barnatt,5/16/2015,U-DEC,
Hyun Gyu Lim,Neil Magny,5/16/2015,KO/TKO,Punches
Phillipe Nover,Yui Chul Nam,5/16/2015,S-DEC,
Mark Eddiva,Levan Makashvili,5/16/2015,S-DEC,
Tae Hyun Bang,Jon Tuck,5/16/2015,SUB,Rear Naked Choke
Zhang Lipeng,Kajan Johnson,5/16/2015,,
Li Jingliang,Dhiego Lima,5/16/2015,,
Ning Guangyou,Royston Wee,5/16/2015,,
Roldan Sangcha-an,Jon Delos Reyes,5/16/2015,,
Nolan Ticman,Yao Zhikui,5/16/2015,S-DEC,
Stipe Miocic,Mark Hunt,5/9/2015,KO/TKO,Punches
Brad Tavares,Robert Whittaker,5/9/2015,KO/TKO,Punch
Anthony Perosh,Sean O'Connell,5/9/2015,KO/TKO,Punches
Jake Matthews,James Vick,5/9/2015,SUB,Guillotine Choke
Hatsu Hioki,Dan Hooker,5/9/2015,KO/TKO,Kick
Kyle Noke,Jonavin Webb,5/9/2015,S-DEC,
Daniel Kelly,Sam Alvey,5/9/2015,KO/TKO,Punch
Bec Rawlings,Lisa Ellis,5/9/2015,SUB,Rear Naked Choke
Dylan Andrews,Bradley Scott,5/9/2015,,
Alex Chambers,Kailin Curran,5/9/2015,SUB,Armbar
Vik Grujic,Brendan O'Reilly,5/9/2015,U-DEC,
Alptekin Ozkilic,Ben Nguyen,5/9/2015,KO/TKO,Punch
Demetrious Johnson,Kyoji Horiguchi,4/25/2015,SUB,Armbar
Rampage Jackson,Fabio Maldonado,4/25/2015,,
Michael Bisping,CB Dollaway,4/25/2015,U-DEC,
John Makdessi,Shane Campbell,4/25/2015,KO/TKO,Punch
Yves Jabouin,Thomas Almeida,4/25/2015,KO/TKO,Punches
Patrick Cote,Joe Riggs,4/25/2015,U-DEC,
Alexis Davis,Sarah Kaufman,4/25/2015,SUB,Armbar
Chad Laprise,Bryan Barberena,4/25/2015,U-DEC,
Olivier Aubin-Mercier,David Michaud,4/25/2015,SUB,Rear Naked Choke
Nordine Taleb,Chris Clements,4/25/2015,U-DEC,
Jessica Rakoczy,Valerie Letourneau,4/25/2015,U-DEC,
Randa Markos,Aisling Daly,4/25/2015,U-DEC,
Lyoto Machida,Luke Rockhold,4/18/2015,SUB,Rear Naked Choke
Jacare Souza,Chris Camozzi,4/18/2015,SUB,Armbar
Cub Swanson,Max Holloway,4/18/2015,SUB,Guillotine Choke
Felice Herrig,Paige VanZant,4/18/2015,U-DEC,
Jim Miller,Beneil Dariush,4/18/2015,U-DEC,
Ovince Saint Preux,Patrick Cummins,4/18/2015,KO/TKO,Punch
Corey Anderson,Gian Villante,4/18/2015,KO/TKO,Punch
Takeya Mizugaki,Aljamain Sterling,4/18/2015,SUB,Arm Triangle
George Sullivan,Tim Means,4/18/2015,SUB,Arm Triangle
Diego Brandao,Jimy Hettes,4/18/2015,KO/TKO,
Eddie Gordon,Chris Dempsey,4/18/2015,S-DEC,
Gabriel Gonzaga,Mirko Cro Cop,4/11/2015,,
Jimi Manuwa,Jan Blachowicz,4/11/2015,U-DEC,
Pawel Pawlak,Sheldon Westcott,4/11/2015,U-DEC,
Joanne Calderwood,Maryna Moroz,4/11/2015,SUB,Armbar
Seth Baczynski,Leon Edwards,4/11/2015,KO/TKO,Punch
Bartosz Fabinski,Garreth McLellan,4/11/2015,U-DEC,
Sergio Moraes,Mickael Lebout,4/11/2015,U-DEC,
Damian Stasiak,Yaotzin Meza,4/11/2015,U-DEC,
Daniel Omielanczuk,Anthony Hamilton,4/11/2015,U-DEC,
Izabela Badurek,Alexandra Albu,4/11/2015,,
Marcin Bandel,Stevie Ray,4/11/2015,KO/TKO,Punches
Taylor Lapilus,Rocky Lee,4/11/2015,U-DEC,
